name,min_probability,max_probability,validation_rows,raw_avg_probability,actual_win_rate,calibrated_avg_probability,calibration_value,raw_delta,smoothed_delta,shrinkage_weight,used_segment_calibrator,fallback_used
very_low,0.0,0.25,21,0.22156787557261332,0.14285714285714285,0.2211136994733248,,0.0004541760992885502,0.0004541760992885502,1.0,False,True
low,0.25,0.35,151,0.31027024333050707,0.33774834437086093,0.32030640851949455,,-0.027478101040353864,-0.010036165188987423,1.0,True,False
dog_zone,0.35,0.45,448,0.4020798493708883,0.37723214285714285,0.39057160446310524,,0.02484770651374546,0.011508244907783155,1.0,True,False
coinflip_low,0.45,0.5,404,0.47678596467369855,0.452970297029703,0.46265601505028586,,0.023815667643995564,0.014129949623412713,1.0,True,False
coinflip_high,0.5,0.55,363,0.5239856602731815,0.5399449035812672,0.5324638272667134,,-0.015959243308085735,-0.008478166993531627,1.0,True,False
favorite_zone,0.55,0.65,447,0.5961140883582283,0.6219239373601789,0.6118707688523186,,-0.025809849001950602,-0.01575668049409029,1.0,True,False
high,0.65,0.75,164,0.6874790486039185,0.6829268292682927,0.6930475187141514,,0.004552219335625773,-0.005568470110233019,1.0,True,False
very_high,0.75,1.0,22,0.7838202362710779,0.8181818181818182,0.7833660601717892,,0.0004541760992885502,0.0004541760992885502,1.0,False,True
