threshold,accuracy,positive_pick_rate,negative_pick_rate,roc_auc,log_loss,brier_score
0.54,0.6108490566037735,40.40880503144654,59.59119496855345,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.51,0.610062893081761,47.9559748427673,52.044025157232696,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.52,0.6096698113207547,45.40094339622642,54.599056603773576,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.5,0.6080974842767296,50.117924528301884,49.882075471698116,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.53,0.6080974842767296,43.278301886792455,56.72169811320755,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.55,0.6080974842767296,38.325471698113205,61.6745283018868,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.47,0.6053459119496856,56.5251572327044,43.4748427672956,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.49,0.6053459119496856,52.437106918238996,47.562893081761004,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.46,0.6041666666666666,58.608490566037744,41.391509433962256,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.48,0.6033805031446541,54.67767295597484,45.32232704402516,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.56,0.6022012578616353,35.770440251572325,64.22955974842768,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.45,0.601808176100629,60.96698113207547,39.03301886792453,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.57,0.60062893081761,33.9622641509434,66.03773584905662,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.44,0.5982704402515723,63.12893081761006,36.87106918238994,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.58,0.5947327044025157,31.800314465408807,68.1996855345912,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.42,0.5939465408805031,67.2562893081761,32.7437106918239,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.43,0.5931603773584906,65.52672955974843,34.47327044025157,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.59,0.592374213836478,29.992138364779876,70.00786163522012,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.6,0.5904088050314465,28.223270440251575,71.77672955974843,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.41,0.5884433962264151,69.45754716981132,30.542452830188683,0.6447869694632333,0.6650584994616476,0.2357299936016317
0.4,0.5833333333333334,71.54088050314465,28.459119496855344,0.6447869694632333,0.6650584994616476,0.2357299936016317
