style_cluster,snapshot_count,fighter_count,splm_mean,splm_median,splm_std,sapm_mean,sapm_median,sapm_std,str_acc_mean,str_acc_median,str_acc_std,str_def_mean,str_def_median,str_def_std,kd_avg_mean,kd_avg_median,kd_avg_std,td_avg_mean,td_avg_median,td_avg_std,td_acc_mean,td_acc_median,td_acc_std,td_def_mean,td_def_median,td_def_std,sub_avg_mean,sub_avg_median,sub_avg_std,ctrl_per_min_mean,ctrl_per_min_median,ctrl_per_min_std,ctrl_against_per_min_mean,ctrl_against_per_min_median,ctrl_against_per_min_std,finish_rate_mean,finish_rate_median,finish_rate_std,finish_loss_rate_mean,finish_loss_rate_median,finish_loss_rate_std,avg_fight_time_mean,avg_fight_time_median,avg_fight_time_std,ko_rate_mean,ko_rate_median,ko_rate_std,sub_win_rate_mean,sub_win_rate_median,sub_win_rate_std,decision_win_rate_mean,decision_win_rate_median,decision_win_rate_std,decision_loss_rate_mean,decision_loss_rate_median,decision_loss_rate_std,career_ko_losses_mean,career_ko_losses_median,career_ko_losses_std,recent_ko_losses_3_mean,recent_ko_losses_3_median,recent_ko_losses_3_std,last_fight_ko_loss_mean,last_fight_ko_loss_median,last_fight_ko_loss_std,days_since_last_ko_loss_mean,days_since_last_ko_loss_median,days_since_last_ko_loss_std
0,1647,403,3.129836222441716,2.99217698176329,1.1669888553348597,2.0501275739598603,1.9553817592921752,0.8660109375947755,0.4914555711637483,0.48914093206064013,0.09191359633388452,0.5879452624937694,0.590239035275942,0.08515766016934717,0.20128966316889632,0.16228070175438597,0.22381937471558483,3.726799815609997,3.534956794972506,1.5220814264304394,0.5412893096101022,0.5209800469483568,0.1618854620550936,0.6952602233579457,0.7222222222222222,0.2348824541693936,0.9234062321506182,0.773219084817782,0.7905069207069834,26.999112332933887,26.187404714808903,8.337065368708465,7.541526162089706,6.648823109843082,5.229644089713768,0.4870826040248209,0.5,0.2429976764793639,0.5633621923909077,0.6,0.4172862428517376,613.7534647935028,626.3333333333334,150.35710444935327,0.26363487275460634,0.25,0.2369569228775649,0.2234477312702146,0.21428571428571427,0.2088981916501135,0.508877079548706,0.5,0.24291757733197836,0.22128666411587228,0.0,0.317415122098453,0.6314511232544019,0.0,0.7838322345638288,0.2082574377656345,0.0,0.41797964775023033,0.029751062537947785,0.0,0.169951386687378,2381.576806314511,3650.0,1416.8242391653653
1,2197,520,4.28300033008076,4.123322454351482,1.5165746620165028,3.539674672182442,3.411971442609472,1.3103702347365689,0.47457966296698517,0.47215204099982017,0.08269977665040683,0.5672130360850302,0.5736498259904391,0.07972851281968288,0.5223464236276926,0.5,0.26619633659978914,0.8846197640632977,0.7356549096576805,0.7995324319714471,0.38118949703259986,0.375,0.2679894276193456,0.6710344141541486,0.6779953917050692,0.19121581083330982,0.416258792990925,0.231185412323871,0.5595583372395957,8.289106201962369,7.294599436908114,5.671038471061322,12.16741928610467,10.573052696266707,8.07499831881346,0.7618526307414326,0.75,0.18937343646127724,0.3698300435214409,0.3333333333333333,0.3498437283801872,566.5186815602484,581.5714285714286,154.7430800584413,0.66951596710965,0.6666666666666666,0.2204050003688449,0.09233666363178268,0.0,0.14158243965564846,0.23719404907447797,0.25,0.1886989259975317,0.5121681358140165,0.5,0.37168227086866595,0.5038689121529358,0.0,0.7358925519514526,0.09922621756941284,0.0,0.299033571296326,0.0013654984069185253,0.0,0.03693581979051102,2686.1684114701866,3650.0,1306.180212869453
2,1380,363,2.6428269115063117,2.579710144927536,1.0306011385824947,2.8494741501558765,2.732207478890229,1.126920775781312,0.46240241470230226,0.4552238805970149,0.0917878181108993,0.5226664854738658,0.5265188042430087,0.08973045008726531,0.137597187944153,0.1111111111111111,0.15312925453902398,1.9850487790786717,1.8185492018589615,1.2810623834429473,0.4213123204852826,0.4,0.22063653239411685,0.46733406001196737,0.5,0.24651981252499972,2.1728210547021374,1.8152480839048004,1.576337752103446,16.023946359014392,15.250327376622003,7.8156678871526974,18.620993338749148,18.163965345046734,8.368312844788276,0.8574065096247169,1.0,0.1710019175462672,0.5164333009393751,0.5,0.3721851498432236,492.6771136050979,499.4076923076923,151.3500262052612,0.18244139774947873,0.14285714285714285,0.20668454484996754,0.6749651118752381,0.6666666666666666,0.24085081664605473,0.13789311426186354,0.0,0.16732706608071643,0.4430232207997553,0.5,0.36840138762982616,0.9594202898550724,1.0,1.1076003290574292,0.3695652173913043,0.0,0.5462786884556219,0.10869565217391304,0.0,0.3113698152318242,1961.2021739130435,1348.0,1481.8921886336698
3,2837,701,3.71958108685745,3.6103151862464182,1.1549308293162768,3.217277220553349,3.103448275862069,1.0833292880274927,0.44018629171437623,0.4392033542976939,0.06883245754799303,0.5894655075878255,0.5919610231425092,0.06933300404626054,0.17124426087966704,0.14285714285714285,0.18499618991243896,1.4472628882349825,1.2933512167081818,1.041049844696286,0.3877475562462572,0.3793103448275862,0.19461274546383175,0.6493862812312742,0.6666666666666667,0.1772928626032298,0.4644848715781729,0.3333333333333333,0.4980891663394466,12.178892900998814,11.714781407116924,6.514162633522767,11.453387645784108,10.647185680949816,6.659300077625445,0.2831579647736748,0.3333333333333333,0.20818163681283391,0.21029065322332857,0.0,0.26648441336856094,794.4205757407913,784.3333333333334,107.07687580615784,0.15930159790094467,0.14285714285714285,0.17173766061300993,0.12385636687273015,0.0,0.1703275707830553,0.701651999218734,0.6666666666666666,0.22181844799107542,0.7250518447205088,0.8,0.3212919164544784,0.312301727176595,0.0,0.5953808649703967,0.06415227352837505,0.0,0.24506719252019543,0.0021149101163200562,0.0,0.04594759440218501,3059.8234050052874,3650.0,1089.1217040451056
4,2272,746,3.8116798237097727,3.634431455897981,1.3126566689932415,3.5550433887380546,3.356854838709677,1.29723378355955,0.46226092729736373,0.46134282807731436,0.07745209531155589,0.5462012981177459,0.550694152292806,0.07804811335820462,0.2860222242300166,0.25,0.22666441788210248,1.393306303224446,1.1558768967321504,1.1389085359772748,0.39661948858643387,0.3888888888888889,0.21697732453986493,0.663731645041295,0.6744186046511628,0.1962238355988744,0.5242690981927821,0.3563650762225302,0.58738546925207,11.676647204739862,10.691699604743082,7.281244005986951,11.354557059034489,10.265982267848809,7.1441672159761955,0.5571700242182916,0.5714285714285714,0.2820011031982802,0.7312672091060324,0.7142857142857143,0.23686090132448687,573.8563501267266,583.25,153.53309960226537,0.41968547228206404,0.4166666666666667,0.2846059438151042,0.13748455193622763,0.0,0.18204410899075446,0.4245453548617441,0.4166666666666667,0.2779133652586862,0.2670511575331969,0.25,0.2362847970373667,2.183538732394366,2.0,1.2881713575140092,1.1703345070422535,1.0,0.5221136065365706,0.5585387323943662,1.0,0.4966707073523195,409.0761443661972,315.0,315.1270010396551
