style_matchup_key,fights,underdog_win_rate,underdog_profit,underdog_roi,red_underdog_rate
cluster_1_vs_cluster_4,74,0.2972972972972973,-263.0,-0.03554054054054054,0.16216216216216217
cluster_3_vs_cluster_0,123,0.37398373983739835,-505.5238095238095,-0.04109949670925281,0.5772357723577236
cluster_1_vs_cluster_1,65,0.36923076923076925,577.2773109243697,0.08881189398836456,0.2923076923076923
cluster_3_vs_cluster_5,67,0.3582089552238806,-273.0,-0.04074626865671642,0.373134328358209
cluster_4_vs_cluster_1,75,0.4,1076.2773109243697,0.14350364145658262,0.4266666666666667
cluster_3_vs_cluster_2,66,0.30303030303030304,-1030.0,-0.15606060606060607,0.3333333333333333
cluster_0_vs_cluster_4,121,0.36363636363636365,-252.3039608366711,-0.020851567011295133,0.34710743801652894
cluster_4_vs_cluster_4,228,0.3026315789473684,-4352.919218396282,-0.1909175095787843,0.38596491228070173
cluster_4_vs_cluster_0,148,0.3783783783783784,318.48743413449296,0.021519421225303578,0.36486486486486486
cluster_4_vs_cluster_2,89,0.30337078651685395,-1657.0,-0.18617977528089888,0.30337078651685395
cluster_0_vs_cluster_3,88,0.26136363636363635,-2121.8528138528136,-0.24111963793781974,0.17045454545454544
cluster_0_vs_cluster_5,92,0.31521739130434784,-1381.8528138528138,-0.15020139281008846,0.2391304347826087
cluster_3_vs_cluster_4,198,0.30303030303030304,-4403.281130634072,-0.22238793589060968,0.48484848484848486
cluster_4_vs_cluster_5,56,0.25,-2136.0,-0.38142857142857145,0.25
cluster_4_vs_cluster_3,125,0.304,-2050.931216931217,-0.16407449735449736,0.288
cluster_5_vs_cluster_5,96,0.3541666666666667,-861.136567834681,-0.0897017258161126,0.3958333333333333
cluster_5_vs_cluster_3,80,0.35,-1233.6556444308367,-0.15420695555385458,0.4875
cluster_0_vs_cluster_2,70,0.4142857142857143,1729.0,0.247,0.2571428571428571
cluster_0_vs_cluster_0,196,0.39285714285714285,646.3254738788719,0.03297578948361591,0.4030612244897959
cluster_1_vs_cluster_0,76,0.2894736842105263,-830.4845938375349,-0.10927428866283355,0.11842105263157894
cluster_2_vs_cluster_4,69,0.391304347826087,442.29437229437224,0.06410063366585105,0.4057971014492754
cluster_5_vs_cluster_0,127,0.3937007874015748,616.7789944260533,0.04856527515165774,0.5196850393700787
cluster_5_vs_cluster_4,76,0.3157894736842105,-1066.7619047619048,-0.14036340852130327,0.5263157894736842
cluster_2_vs_cluster_3,53,0.33962264150943394,-159.33490347961856,-0.030063189335777087,0.37735849056603776
cluster_0_vs_cluster_1,77,0.3246753246753247,-1339.7619047619048,-0.17399505256648115,0.5194805194805194
cluster_3_vs_cluster_1,58,0.41379310344827586,817.0,0.14086206896551723,0.6724137931034483
cluster_3_vs_cluster_3,111,0.3333333333333333,-1051.6080586080586,-0.09473946473946473,0.4144144144144144
