fight_id,red_id,red_primary_style,red_primary_style_score,red_style_score_spread,red_control_wrestler_score,red_ko_finisher_score,red_submission_grappler_score,red_decision_technician_score,red_all_round_finisher_score,blue_id,blue_primary_style,blue_primary_style_score,blue_style_score_spread,blue_control_wrestler_score,blue_ko_finisher_score,blue_submission_grappler_score,blue_decision_technician_score,blue_all_round_finisher_score,control_wrestler_score_diff,control_wrestler_score_abs_diff,ko_finisher_score_diff,ko_finisher_score_abs_diff,submission_grappler_score_diff,submission_grappler_score_abs_diff,decision_technician_score_diff,decision_technician_score_abs_diff,all_round_finisher_score_diff,all_round_finisher_score_abs_diff,primary_style_matchup,same_primary_style,style_edge_ko_finisher_vs_decision_technician,style_edge_ko_finisher_vs_decision_technician_reverse,style_edge_ko_finisher_vs_decision_technician_net,style_edge_decision_technician_vs_submission_grappler,style_edge_decision_technician_vs_submission_grappler_reverse,style_edge_decision_technician_vs_submission_grappler_net,style_edge_control_wrestler_vs_ko_finisher,style_edge_control_wrestler_vs_ko_finisher_reverse,style_edge_control_wrestler_vs_ko_finisher_net
b1f2ec122beda7a5,009341ed974bad72,ko_finisher,1.301611329755677,1.9897165497953022,0.009226165501288214,1.301611329755677,0.35176990201227093,-0.688105220039625,-0.21943909327707073,e5549c82bfb5582d,all_round_finisher,0.6841688757673077,1.4073009515151154,0.15529574574702146,0.6516998709424845,-0.16414162646078256,-0.7231320757478077,0.6841688757673077,-0.14606958024573324,0.14606958024573324,0.6499114588131926,0.6499114588131926,0.5159115284730535,0.5159115284730535,0.03502685570818265,0.03502685570818265,-0.9036079690443783,0.9036079690443783,ko_finisher_vs_all_round_finisher,False,-0.9412369027030869,-0.44843808309467353,-0.4927988196084134,0.11294670999345872,-0.25437609942773637,0.3673228094211951,0.006012690866483532,0.20213470212718013,-0.1961220112606966
eda1e8c285a0a788,009341ed974bad72,all_round_finisher,1.3429085538275403,2.4264910042916186,-0.2117405789830334,1.0825054917554144,0.3366984452197078,-1.0835824504640783,1.3429085538275403,333b9e5c723ac873,all_round_finisher,0.7198558483466702,1.4080447094405049,0.191780273757867,-0.051965853338899366,-0.6881888610938347,0.14001538308571704,0.7198558483466702,-0.4035208527409004,0.4035208527409004,1.1344713450943138,1.1344713450943138,1.0248873063135426,1.0248873063135426,-1.2235978335497952,1.2235978335497952,0.6230527054808701,0.6230527054808701,all_round_finisher_vs_all_round_finisher,True,0.15156742112052685,0.05630928670142148,0.09525813441910536,0.7457093724861406,0.047142961791802704,0.6985664106943379,0.011003279873325951,0.20760319955324782,-0.19659991967992188
959fea398ffa5778,009341ed974bad72,all_round_finisher,1.7736310139760636,2.9699959829875864,-0.16096551778988094,1.0422601685262434,0.22521303542757598,-1.196364969011523,1.7736310139760636,5444c5a201d3ee5a,all_round_finisher,1.3091975794170527,2.124229946664999,-0.6144344805760558,0.8109189789222163,-0.40128470949998507,-0.8150323672479464,1.3091975794170527,0.4534689627861748,0.4534689627861748,0.23134118960402705,0.23134118960402705,0.626497744927561,0.626497744927561,-0.38133260176357664,0.38133260176357664,0.46443343455901087,0.46443343455901087,all_round_finisher_vs_all_round_finisher,True,-0.8494757724421876,-0.9701550590891332,0.1206792866469456,0.48008296904574765,-0.18355591339963287,0.6636388824453805,-0.1305299933278561,-0.6404005852735347,0.5098705919456786
2560ea97b2cce4ef,009341ed974bad72,ko_finisher,1.315986942280515,2.4822721614953913,-0.19439625632418753,1.315986942280515,0.0830197837597152,-1.1662852192148763,0.9821472529490605,749f572d1d3161fb,ko_finisher,1.1054385971479745,1.903803818714139,-0.7983652215661645,1.1054385971479745,-0.15055657409654122,-0.4208638908370678,0.7878121337149292,0.603968965241977,0.603968965241977,0.2105483451325405,0.2105483451325405,0.2335763578562564,0.2335763578562564,-0.7454213283778084,0.7454213283778084,0.19433511923413127,0.19433511923413127,ko_finisher_vs_ko_finisher,True,-0.5538513848189534,-1.2892566966033108,0.7354053117843574,0.17559190702442534,-0.03494002920956575,0.21053193623399108,-0.21489312488182793,-1.0506382067519628,0.8357450818701349
a031f062b7ffefee,009341ed974bad72,ko_finisher,1.3836949263691252,2.504642686702426,-0.20245839008543265,1.3836949263691252,0.006265212967535905,-1.120947760333301,0.9343619817128382,9014c02eff8b3d62,ko_finisher,1.0048566426883017,1.8533024120581367,-0.046354616332657056,1.0048566426883017,-0.6121551518593843,-0.8484457693698352,0.2630813096679866,-0.1561037737527756,0.1561037737527756,0.3788382836808235,0.3788382836808235,0.6184203648269202,0.6184203648269202,-0.2725019909634657,0.2725019909634657,0.6712806720448516,0.6712806720448516,ko_finisher_vs_ko_finisher,True,-1.1739901063763898,-1.1263918030774918,-0.047598303298898026,0.6861939464532685,-0.005315693436506869,0.6915096398897753,-0.2034416581453264,-0.06414064743328496,-0.13930101071204143
8a39075a9ffaa971,00debc804e2b1cd4,all_round_finisher,1.5033581447259514,2.8333473282176183,0.3928651173883858,0.39188926485948217,0.5987722232927775,-1.329989183491667,1.5033581447259514,34e552520a934063,submission_grappler,0.6509362563625567,1.3394781281583739,-0.5772021385716913,-0.015734246713950503,0.6509362563625567,0.20323379084382362,-0.6885418717958173,0.9700672559600771,0.9700672559600771,0.4076235115734327,0.4076235115734327,-0.052164033069779236,0.052164033069779236,-1.5332229743354906,1.5332229743354906,2.191900016521769,2.191900016521769,all_round_finisher_vs_submission_grappler,False,0.0796451408883918,0.020926377939943477,0.058718762948448314,-0.8657381801047592,0.12169074879177559,-0.9874289288965348,-0.006181436682293988,-0.22619932176018107,0.22001788507788708
3d741cee0dffe165,00e11b5c8b7bfeeb,submission_grappler,0.44818336157353456,1.7181355207302667,0.09881471206409609,0.41798570385990286,0.44818336157353456,-1.269952159156732,0.422473927612395,2b93ebd9f5417ad2,decision_technician,0.3433676495986606,0.7455685566208043,-0.2054669186820171,0.2654652033486625,-0.4022009070221438,0.3433676495986606,-0.10929605596256764,0.3042816307461132,0.3042816307461132,0.15252050051124033,0.15252050051124033,0.8503842685956784,0.8503842685956784,-1.6133198087553926,1.6133198087553926,0.5317699835749626,0.5317699835749626,submission_grappler_vs_decision_technician,False,0.14352276870021666,-0.3371281081736149,0.48065087687383157,0.5107759102875675,0.15389166745273122,0.35688424283483633,0.026231867631934806,-0.08588223462522834,0.11211410225716315
812ff38f0ed409ca,00e11b5c8b7bfeeb,submission_grappler,0.5637499916986578,1.7518588973587352,0.4103841163212293,0.47332131879692324,0.5637499916986578,-1.1881089056600773,0.19818744672222982,2b93ebd9f5417ad2,decision_technician,0.4197113169169709,0.9037341260860703,-0.2566836586054449,0.1879036347216002,-0.48402280916909934,0.4197113169169709,-0.08112414858084567,0.6670677749266742,0.6670677749266742,0.28541768407532303,0.28541768407532303,1.0477728008677571,1.0477728008677571,-1.6078202225770482,1.6078202225770482,0.2793115953030755,0.2793115953030755,submission_grappler_vs_decision_technician,False,0.19865831403713405,-0.22324998181863134,0.4219082958557654,0.5750718101164151,0.23661225142777506,0.33845955868863997,0.07711266708877096,-0.1214938478047484,0.19860651489351935
24438a644b975751,00e11b5c8b7bfeeb,all_round_finisher,1.156877073309792,2.33696268202983,0.3307219627984628,0.4782142966843124,0.517427669525779,-1.1800856087200382,1.156877073309792,d2c55d1d2e67773b,control_wrestler,0.6769290476169151,2.0243215086943223,0.6769290476169151,-1.3473924610774073,-0.42468735712656713,0.6231730081656024,-0.15839350059699686,-0.3462070848184523,0.3462070848184523,1.8256067577617197,1.8256067577617197,0.9421150266523461,0.9421150266523461,-1.8032586168856406,1.8032586168856406,1.3152705739067887,1.3152705739067887,all_round_finisher_vs_control_wrestler,False,0.2980102418125608,1.5900384526153226,-1.2920282108027619,0.5011674383504092,0.3224469573264969,0.1787204810239123,-0.4456122793873715,0.3237171484113045,-0.769329427798676
dad759ec50508147,01641ba5df0c69b0,all_round_finisher,1.2425991844446092,2.173185647514885,0.49735119496000413,-0.22418679144695533,0.8814536410295406,-0.9305864630702758,1.2425991844446092,1497e735d9f2560a,decision_technician,1.044634511556975,2.252156447624064,-0.3588583041806618,-0.300584135908153,-1.2075219360670888,1.044634511556975,-0.4719072586066934,0.8562094991406659,0.8562094991406659,0.0763973444611977,0.0763973444611977,2.0889755770966296,2.0889755770966296,-1.9752209746272509,1.9752209746272509,1.7145064430513026,1.7145064430513026,all_round_finisher_vs_decision_technician,False,-0.2341932593807156,0.2797195278898032,-0.5139127872705188,1.1237035675644438,0.9207968937570113,0.20290667380743244,-0.1494958791799402,0.08045129179835808,-0.22994717097829828
