style_matchup_key,fights,red_win_rate,avg_r_odds,avg_b_odds,flat_bet_red_profit,flat_bet_blue_profit,underdog_win_rate,underdog_profit,red_underdog_rate,flat_bet_red_roi,flat_bet_blue_roi,underdog_roi
cluster_1_vs_cluster_4,74,0.7567567567567568,-314.77027027027026,222.14864864864865,1400.266256512125,-1951.4186557514893,0.2972972972972973,-263.0,0.16216216216216217,0.1892251697989358,-0.2637052237502013,-0.03554054054054054
cluster_3_vs_cluster_0,123,0.5691056910569106,16.73170731707317,-77.01626016260163,1898.4383107564345,-2928.478420326991,0.37398373983739835,-505.5238095238095,0.5772357723577236,0.1543445781102792,-0.23808767644934886,-0.04109949670925281
cluster_1_vs_cluster_1,65,0.676923076923077,-192.3230769230769,131.55384615384617,884.8667817061822,-1137.299817097784,0.36923076923076925,577.2773109243697,0.2923076923076923,0.13613335103172033,-0.1749692026304283,0.08881189398836456
cluster_3_vs_cluster_5,67,0.5970149253731343,-87.17910447761194,35.91044776119403,743.161969921657,-1227.052795031024,0.3582089552238806,-273.0,0.373134328358209,0.1109196970032324,-0.18314220821358568,-0.04074626865671642
cluster_4_vs_cluster_1,75,0.5733333333333334,-58.8,8.4,783.6245018220002,-587.4635752655365,0.4,1076.2773109243697,0.4266666666666667,0.10448326690960003,-0.07832847670207153,0.14350364145658262
cluster_3_vs_cluster_2,66,0.6363636363636364,-124.07575757575758,70.22727272727273,621.2051736337888,-1575.2201899050312,0.30303030303030304,-1030.0,0.3333333333333333,0.09412199600511952,-0.23866972574318654,-0.15606060606060607
cluster_0_vs_cluster_4,121,0.5867768595041323,-105.74380165289256,47.247933884297524,974.1586699513506,-1605.093521886132,0.36363636363636365,-252.3039608366711,0.34710743801652894,0.08050898098771493,-0.13265235718067206,-0.020851567011295133
cluster_4_vs_cluster_4,228,0.6008771929824561,-118.57456140350877,51.18859649122807,978.9772971717723,-4732.24321221766,0.3026315789473684,-4352.919218396282,0.38596491228070173,0.04293760075314791,-0.20755452685165174,-0.1909175095787843
cluster_4_vs_cluster_0,148,0.5675675675675675,-94.14864864864865,36.12837837837838,627.763901717785,-1439.3523886732096,0.3783783783783784,318.48743413449296,0.36486486486486486,0.04241647984579628,-0.09725353977521686,0.021519421225303578
cluster_4_vs_cluster_2,89,0.6404494382022472,-131.56179775280899,80.79775280898876,286.00345189281603,-1921.4275101992419,0.30337078651685395,-1657.0,0.30337078651685395,0.032135219313799555,-0.21589073148306087,-0.18617977528089888
cluster_0_vs_cluster_3,88,0.6590909090909091,-195.72727272727272,137.1931818181818,52.75640149534544,-1452.4162700909508,0.26136363636363635,-2121.8528138528136,0.17045454545454544,0.005995045624471073,-0.16504730341942622,-0.24111963793781974
cluster_0_vs_cluster_5,92,0.6195652173913043,-162.9673913043478,114.72826086956522,-80.54069574609555,-1110.0718922124051,0.31521739130434784,-1381.8528138528138,0.2391304347826087,-0.00875442345066256,-0.12065998828395708,-0.15020139281008846
cluster_3_vs_cluster_4,198,0.5252525252525253,-24.782828282828284,-30.964646464646464,-224.99495680653823,-3304.3586371817673,0.30303030303030304,-4403.281130634072,0.48484848484848486,-0.01136338165689587,-0.16688679985766502,-0.22238793589060968
