k,silhouette_score,sample_count,min_cluster_size,min_cluster_share,max_cluster_size
4,0.09934282672151414,10333,2277,0.2203619471595858,2795
5,0.0942489386754482,10333,1652,0.1598761250362915,2450
7,0.08881724289971579,10333,1065,0.10306784089809348,1994
6,0.08820779707609491,10333,1193,0.11545533726894416,2140
8,0.08552685141253888,10333,850,0.08226071808768025,1706
