era,style_matchup_key,fights,red_win_rate,avg_r_odds,avg_b_odds,flat_bet_red_profit,flat_bet_blue_profit,underdog_win_rate,underdog_profit,red_underdog_rate,flat_bet_red_roi,flat_bet_blue_roi,underdog_roi
2010-2016,cluster_1_vs_cluster_1,42,0.7619047619047619,-224.5952380952381,178.04761904761904,1182.9730323734184,-1338.6084175957135,0.35714285714285715,269.23809523809524,0.21428571428571427,0.2816602458031949,-0.3187162899037413,0.06410430839002268
2010-2016,cluster_2_vs_cluster_4,25,0.56,-102.48,60.48,504.2477407013737,281.98051948051943,0.52,1425.909090909091,0.32,0.20169909628054947,0.11279220779220778,0.5703636363636364
2010-2016,cluster_3_vs_cluster_0,29,0.6551724137931034,-69.55172413793103,25.06896551724138,578.086659924593,-1085.8492280598375,0.3793103448275862,-370.0,0.4482758620689655,0.1993402275602045,-0.3744307682964957,-0.12758620689655173
2010-2016,cluster_0_vs_cluster_4,37,0.6756756756756757,-172.16216216216216,115.94594594594595,561.8550992568763,-1294.070640818681,0.2702702702702703,-1013.0,0.32432432432432434,0.15185272952888548,-0.3497488218428868,-0.27378378378378376
2010-2016,cluster_1_vs_cluster_2,24,0.7083333333333334,-207.0,167.41666666666666,324.7221421532189,-544.5714285714286,0.375,32.0,0.16666666666666666,0.1353008925638412,-0.2269047619047619,0.013333333333333334
2010-2016,cluster_3_vs_cluster_4,63,0.5873015873015873,-55.904761904761905,3.7142857142857144,797.0455074835949,-1810.9197091234907,0.30158730158730157,-1203.484593837535,0.4603174603174603,0.12651515991803092,-0.28744757287674455,-0.19102930060913254
2010-2016,cluster_0_vs_cluster_5,25,0.68,-170.4,134.4,254.70456528829578,-623.3701883701883,0.32,-379.0909090909091,0.16,0.10188182611531832,-0.24934807534807532,-0.15163636363636365
2010-2016,cluster_1_vs_cluster_4,34,0.7058823529411765,-337.55882352941177,247.5,329.9128551041235,-642.5159642401022,0.3235294117647059,50.0,0.14705882352941177,0.09703319267768337,-0.18897528360003008,0.014705882352941176
2010-2016,cluster_4_vs_cluster_2,35,0.6857142857142857,-194.22857142857143,154.8,151.37519169838578,-947.5974842767296,0.3142857142857143,-637.0,0.22857142857142856,0.04325005477096736,-0.2707421383647799,-0.182
2010-2016,cluster_3_vs_cluster_2,28,0.6428571428571429,-191.32142857142858,135.96428571428572,69.87580915710785,-603.7832729813862,0.32142857142857145,-428.0,0.32142857142857145,0.02495564612753852,-0.2156368832076379,-0.15285714285714286
2010-2016,cluster_5_vs_cluster_0,31,0.5161290322580645,-81.51612903225806,44.58064516129032,65.80864333707312,772.8155028922292,0.45161290322580644,1135.0,0.3548387096774194,0.021228594624862297,0.24929532351362232,0.36612903225806454
