era,style_matchup_key,fights,red_win_rate,flat_bet_red_profit,flat_bet_red_roi,underdog_win_rate,underdog_profit,underdog_roi
2010-2016,cluster_1_vs_cluster_1,42,0.7619047619047619,1182.9730323734184,0.2816602458031949,0.35714285714285715,269.23809523809524,0.06410430839002268
2017-2020,cluster_3_vs_cluster_0,36,0.6388888888888888,1610.262472223861,0.4472951311732947,0.3888888888888889,225.23809523809524,0.06256613756613756
2021-present,cluster_1_vs_cluster_4,23,0.8695652173913043,963.5398900160557,0.4189303869635025,0.2608695652173913,-178.0,-0.07739130434782608
