r_style_label,b_style_label,style_matchup_key,fights,red_wins,blue_wins,red_win_rate,same_style_matchup,blue_win_rate
cluster_1,cluster_1,cluster_1_vs_cluster_1,466,272,194,0.5836909871244635,True,0.41630901287553645
cluster_2,cluster_2,cluster_2_vs_cluster_2,398,222,176,0.5577889447236181,True,0.44221105527638194
cluster_1,cluster_2,cluster_1_vs_cluster_2,309,154,155,0.49838187702265374,False,0.5016181229773462
cluster_2,cluster_1,cluster_2_vs_cluster_1,290,168,122,0.5793103448275863,False,0.42068965517241375
cluster_3,cluster_3,cluster_3_vs_cluster_3,240,161,79,0.6708333333333333,True,0.3291666666666667
cluster_0,cluster_0,cluster_0_vs_cluster_0,228,164,64,0.7192982456140351,True,0.2807017543859649
cluster_3,cluster_1,cluster_3_vs_cluster_1,209,137,72,0.6555023923444976,False,0.3444976076555024
cluster_1,cluster_0,cluster_1_vs_cluster_0,204,136,68,0.6666666666666666,False,0.33333333333333337
cluster_1,cluster_3,cluster_1_vs_cluster_3,203,104,99,0.5123152709359606,False,0.48768472906403937
cluster_2,cluster_0,cluster_2_vs_cluster_0,195,116,79,0.5948717948717949,False,0.40512820512820513
cluster_0,cluster_1,cluster_0_vs_cluster_1,191,103,88,0.5392670157068062,False,0.46073298429319376
cluster_3,cluster_0,cluster_3_vs_cluster_0,189,148,41,0.783068783068783,False,0.21693121693121697
cluster_0,cluster_3,cluster_0_vs_cluster_3,175,107,68,0.6114285714285714,False,0.38857142857142857
cluster_0,cluster_2,cluster_0_vs_cluster_2,168,96,72,0.5714285714285714,False,0.4285714285714286
cluster_3,cluster_2,cluster_3_vs_cluster_2,166,115,51,0.6927710843373494,False,0.30722891566265065
cluster_2,cluster_3,cluster_2_vs_cluster_3,164,89,75,0.5426829268292683,False,0.45731707317073167
