style_name,source_cluster,feature,cluster_mean,global_mean,global_std,z_score,abs_z_score,direction,rank,weight_abs,signed_weight
control_wrestler,0,td_acc,0.5412893096101022,0.4172599550292422,0.055349908122388804,2.240823133917556,2.240823133917556,1,1,0.1620675634199524,0.1620675634199524
control_wrestler,0,td_avg,3.726799815609997,1.7509332205491033,0.9179358694858322,2.15251049745735,2.15251049745735,1,2,0.15568035079542217,0.15568035079542217
control_wrestler,0,ctrl_per_min,26.999112332933887,14.117159771876116,6.04142818068951,2.1322694197098855,2.1322694197098855,1,3,0.1542164145740077,0.1542164145740077
control_wrestler,0,sapm,2.0501275739598603,3.1249369737960455,0.5233116724214275,-2.053860933127881,2.053860933127881,-1,4,0.14854551972316088,-0.14854551972316088
control_wrestler,0,str_acc,0.4914555711637483,0.4634916785006902,0.01733194900988,1.613430356108099,1.613430356108099,1,5,0.11669137229277027,0.11669137229277027
control_wrestler,0,ctrl_against_per_min,7.541526162089706,11.917206905760514,3.032451056297083,-1.4429518110719117,1.4429518110719117,-1,6,0.1043615092209398,-0.1043615092209398
control_wrestler,0,decision_loss_rate,0.2212866641158722,0.46112231571406226,0.19280280033656141,-1.2439427808077834,1.2439427808077834,-1,7,0.08996817841973187,-0.08996817841973187
control_wrestler,0,splm,3.129836222441716,3.6218214675612925,0.5196920053892502,-0.9466861910855806,0.9466861910855806,-1,8,0.0684690915540148,-0.0684690915540148
ko_finisher,1,kd_avg,0.5223464236276926,0.2714280217631237,0.13915885745601858,1.8031076602067684,1.8031076602067684,1,1,0.19090068926005582,0.19090068926005582
ko_finisher,1,ko_rate,0.66951596710965,0.34475625378213953,0.19408687643679476,1.673269822719157,1.673269822719157,1,2,0.17715434830913454,0.17715434830913454
ko_finisher,1,splm,4.28300033008076,3.6218214675612925,0.5196920053892502,1.2722513636211197,1.2722513636211197,1,3,0.13469726050604572,0.13469726050604572
ko_finisher,1,finish_rate,0.7618526307414326,0.5543835965292547,0.20575733841041066,1.008319002447208,1.008319002447208,1,4,0.10675390982428114,0.10675390982428114
ko_finisher,1,decision_win_rate,0.2371940490744779,0.43595104437667176,0.20130382731327165,-0.9873483179874452,0.9873483179874452,-1,5,0.10453367738560092,-0.10453367738560092
ko_finisher,1,ctrl_per_min,8.289106201962369,14.117159771876116,6.04142818068951,-0.9646814288949453,0.9646814288949453,-1,6,0.10213386241801144,-0.10213386241801144
ko_finisher,1,td_avg,0.8846197640632977,1.7509332205491033,0.9179358694858322,-0.9437625059483272,0.9437625059483272,-1,7,0.09991911013381923,-0.09991911013381923
ko_finisher,1,sapm,3.539674672182442,3.1249369737960455,0.5233116724214275,0.7925252201376554,0.7925252201376554,1,8,0.08390714216305117,0.08390714216305117
submission_grappler,2,td_def,0.4673340600119673,0.6401417183751731,0.06943482980954177,-2.4887748531567433,2.4887748531567433,-1,1,0.15283257225074326,-0.15283257225074326
submission_grappler,2,sub_win_rate,0.6749651118752381,0.20962734274711534,0.1871872681189535,2.4859477559788443,2.4859477559788443,1,2,0.15265896372478396,0.15265896372478396
submission_grappler,2,sub_avg,2.1728210547021374,0.7686776986164092,0.5762624150804349,2.436638793959411,2.436638793959411,1,3,0.14963096161728692,0.14963096161728692
submission_grappler,2,ctrl_against_per_min,18.620993338749148,11.917206905760514,3.032451056297083,2.21068248375115,2.21068248375115,1,4,0.13575526528356138,0.13575526528356138
submission_grappler,2,splm,2.642826911506312,3.6218214675612925,0.5196920053892502,-1.883797606856992,1.883797606856992,-1,5,0.11568167104009876,-0.11568167104009876
submission_grappler,2,str_def,0.5226664854738658,0.5660578372118614,0.02377447137186225,-1.8251237244900615,1.8251237244900615,-1,6,0.11207858080688562,-0.11207858080688562
submission_grappler,2,decision_win_rate,0.1378931142618635,0.43595104437667176,0.20130382731327165,-1.4806371746274185,1.4806371746274185,-1,7,0.09092408969069954,-0.09092408969069954
submission_grappler,2,finish_rate,0.8574065096247169,0.5543835965292547,0.20575733841041066,1.4727198331611493,1.4727198331611493,1,8,0.09043789558594048,0.09043789558594048
