paths,p_red_win,p_blue_win,p_ko_tko,p_sub,p_dec,mean_finish_round,mean_red_sig_att,mean_red_sig_landed,mean_red_td_att,mean_red_td_landed,mean_red_control_seconds,mean_red_ground_control_seconds,mean_red_clinch_control_seconds,mean_red_sub_att,mean_red_reversals,mean_red_knockdowns_scored,mean_red_distance_segments,mean_red_clinch_segments,mean_red_ground_segments,mean_red_distance_occupancy,mean_red_clinch_occupancy,mean_red_ground_occupancy,mean_blue_sig_att,mean_blue_sig_landed,mean_blue_td_att,mean_blue_td_landed,mean_blue_control_seconds,mean_blue_ground_control_seconds,mean_blue_clinch_control_seconds,mean_blue_sub_att,mean_blue_reversals,mean_blue_knockdowns_scored,mean_blue_distance_segments,mean_blue_clinch_segments,mean_blue_ground_segments,mean_blue_distance_occupancy,mean_blue_clinch_occupancy,mean_blue_ground_occupancy,td_success_rate,bout_id,event_date,red_name,blue_name,red_fighter_id,blue_fighter_id,red_age,blue_age,scheduled_rounds,actual_red_win,winner_correct,winner_brier
10,0.1,0.9,0.8,0.0,0.2,1.625,78.2,25.9,1.1,0.4,51.0,29.0,22.0,0.0,0.0,0.0,42.4,3.1,4.2,0.8531187122736419,0.06237424547283703,0.08450704225352114,102.9,59.3,0.5,0.3,22.0,13.0,9.0,0.0,0.0,0.3,42.4,3.1,4.2,0.8531187122736419,0.06237424547283703,0.08450704225352114,0.43749999999999994,b88b170a7fe40544,2020-01-25,Hannah Cifers,Angela Hill,2244d9a2b64b8c3b,f0feeb2192937424,27.581108829568787,35.03353867214237,3,0,1,0.010000000000000002
10,0.7,0.3,0.0,0.0,1.0,,110.0,60.1,0.9,0.6,39.0,35.0,4.0,0.4,0.3,0.2,49.5,7.9,32.6,0.55,0.08777777777777779,0.3622222222222222,85.4,40.2,7.8,2.1,366.0,291.0,75.0,0.8,0.4,0.0,49.5,7.9,32.6,0.55,0.08777777777777779,0.3622222222222222,0.31034482758620696,ed94cdc0f2b97e15,2020-01-25,Arnold Allen,Nik Lentz,040a74bb0a465c54,6fb1ba67bef41b37,26.00684462696783,35.449691991786445,3,1,1,0.09000000000000002
10,0.2,0.8,0.4,0.2,0.4,1.8333333333333333,76.5,36.0,1.4,0.9,110.0,92.0,18.0,0.0,0.1,0.2,45.8,1.9,13.9,0.7435064935064936,0.030844155844155844,0.22564935064935068,122.7,62.3,2.8,0.9,48.0,47.0,1.0,0.3,0.1,0.3,45.8,1.9,13.9,0.7435064935064936,0.030844155844155844,0.22564935064935068,0.42857142857142866,11f7bac5037a184c,2020-02-08,Trevin Giles,James Krause,b27a1fcb56a3035a,8f6a18831a120817,27.50718685831622,33.68104038329911,3,1,0,0.6400000000000001
10,0.8,0.2,0.3,0.1,0.6,2.0,141.4,62.3,0.9,0.4,34.0,28.0,6.0,0.0,0.1,0.4,57.5,6.9,7.8,0.796398891966759,0.09556786703601108,0.10803324099722991,91.6,39.8,2.2,0.7,113.0,50.0,63.0,0.2,0.0,0.2,57.5,6.9,7.8,0.796398891966759,0.09556786703601108,0.10803324099722991,0.3548387096774194,326b843cb2b7fd94,2020-02-08,Andre Ewell,Jonathan Martinez,5f6f049d54728e88,f2477cf43c4975cc,32.049281314168375,25.804243668720055,3,1,1,0.03999999999999998
10,0.8,0.2,0.0,0.2,0.8,2.5,84.7,32.4,3.3,1.8,190.0,164.0,26.0,0.4,0.0,0.0,49.8,4.7,29.1,0.5956937799043063,0.05622009569377991,0.34808612440191394,83.6,35.2,4.6,1.2,148.0,127.0,21.0,0.4,0.1,0.2,49.8,4.7,29.1,0.5956937799043063,0.05622009569377991,0.34808612440191394,0.379746835443038,be822403f364fff3,2020-02-08,Mirsad Bektic,Dan Ige,cbd3e590a85b18c5,82a5152216251682,28.97741273100616,28.50924024640657,3,0,0,0.6400000000000001
10,0.1,0.9,0.1,0.0,0.9,2.0,136.0,37.3,2.5,0.9,135.0,100.0,35.0,0.1,0.1,0.1,60.2,8.6,17.5,0.697566628041715,0.0996523754345307,0.20278099652375436,119.9,59.3,2.5,0.7,126.0,75.0,51.0,0.3,0.1,0.0,60.2,8.6,17.5,0.697566628041715,0.0996523754345307,0.20278099652375436,0.32,cb56e868deaddac4,2020-02-08,Lauren Murphy,Andrea Lee,729d4bd5a6cd0a97,05fa626cb33d15b8,36.53661875427789,30.989733059548254,3,1,0,0.81
10,0.3,0.7,0.5,0.0,0.5,2.0,42.1,20.1,2.6,1.3,189.0,88.0,101.0,0.2,0.1,0.2,37.4,12.0,18.2,0.5532544378698225,0.1775147928994083,0.2692307692307692,58.8,28.5,3.5,1.4,110.0,92.0,18.0,0.2,0.1,0.2,37.4,12.0,18.2,0.5532544378698225,0.1775147928994083,0.2692307692307692,0.4426229508196722,cefb47bcc04f540e,2020-02-08,Derrick Lewis,Ilir Latifi,d3df1add9d9a7efb,e9a3aeb207578eea,35.00068446269678,37.53319644079398,3,1,0,0.48999999999999994
10,0.6,0.4,0.5,0.2,0.3,1.7142857142857142,62.4,39.8,3.3,1.6,246.0,188.0,58.0,0.0,0.1,0.4,37.0,7.5,24.9,0.5331412103746397,0.10806916426512968,0.3587896253602305,73.9,29.2,2.2,0.4,77.0,60.0,17.0,0.5,0.0,0.1,37.0,7.5,24.9,0.5331412103746397,0.10806916426512968,0.3587896253602305,0.36363636363636365,fae99a4089f8abb0,2020-02-08,Jon Jones,Dominick Reyes,07f72a2a7591b409,2e19380f34871c6a,32.558521560574945,30.119096509240247,5,1,1,0.16000000000000003
10,0.9,0.1,0.4,0.0,0.6,1.5,122.9,57.4,0.7,0.5,35.0,26.0,9.0,0.0,0.0,0.0,47.9,4.3,12.8,0.7369230769230769,0.06615384615384615,0.19692307692307692,102.0,40.8,2.2,0.9,135.0,102.0,33.0,0.2,0.0,0.0,47.9,4.3,12.8,0.7369230769230769,0.06615384615384615,0.19692307692307692,0.4827586206896551,08426f06239d903c,2020-02-15,John Dodson,Nathaniel Wood,99506df1af6c8b3b,329e403448756217,35.38672142368241,26.77344284736482,3,1,1,0.009999999999999995
10,0.6,0.4,0.1,0.1,0.8,3.0,134.3,54.5,11.2,4.5,578.0,540.0,38.0,0.1,0.1,0.0,67.4,11.8,56.9,0.49522409992652466,0.08670095518001471,0.4180749448934607,116.0,60.2,1.8,0.7,109.0,29.0,80.0,0.3,0.0,0.4,67.4,11.8,56.9,0.49522409992652466,0.08670095518001471,0.4180749448934607,0.4,801b3f24c670f19a,2020-02-15,Corey Anderson,Jan Blachowicz,5e4eec08896c9423,99df7d0a2a08a8a8,30.39835728952772,36.97467488021903,5,0,0,0.36
