layoff_bucket,ko_loss_with_next_fight_count,unique_fighters,won_next_fight_rate,lost_next_by_ko_tko_rate,avg_days_to_next_fight,avg_fighter_age
0-120,244,226,0.4918032786885246,0.20901639344262296,97.56147540983606,31.0631500993032
121-180,507,416,0.4970414201183432,0.20315581854043394,150.87179487179486,30.943097613037796
181-270,550,455,0.4163636363636364,0.25272727272727274,216.63636363636363,31.39697337589992
271-365,256,233,0.453125,0.19140625,310.55078125,31.239561943874058
366-540,184,168,0.391304347826087,0.2554347826086957,437.6032608695652,31.702258726899384
541+,121,115,0.32231404958677684,0.2727272727272727,854.9173553719008,30.713096995717866
