career_ko_loss_bucket,ko_loss_with_next_fight_count,unique_fighters,won_next_fight_rate,lost_next_by_ko_tko_rate,avg_days_to_next_fight,avg_fighter_age
1,1080,1080,0.46944444444444444,0.20092592592592592,253.28333333333333,29.866179598690053
2,432,432,0.4166666666666667,0.2569444444444444,269.00925925925924,31.97345805764697
3+,350,216,0.40285714285714286,0.26857142857142857,266.1542857142857,34.3159323359734
