age_bucket,ko_loss_with_next_fight_count,unique_fighters,won_next_fight_rate,lost_next_by_ko_tko_rate,avg_days_to_next_fight,avg_fighter_age
<30,748,579,0.5026737967914439,0.1925133689839572,261.3248663101604,27.25640265439758
30-34,777,543,0.44272844272844275,0.22393822393822393,257.25482625482624,32.32895435770179
35+,334,209,0.32335329341317365,0.3083832335329341,260.58682634730536,37.370056601376305
