candidate,feature_count,oof_n,market_log_loss,model_log_loss,delta_log_loss,market_brier,model_brier,delta_brier
FULL,140,1085,1.5411404799697135,1.5330542420520807,-0.008086237917632744,0.7465134167799795,0.7438810705764096,-0.002632346203569891
TOP75,75,1085,1.5411404799697135,1.5345538560301497,-0.006586623939563774,0.7465134167799795,0.7449021190676033,-0.001611297712376225
TOP100,100,1085,1.5411404799697135,1.5346809708641023,-0.006459509105611216,0.7465134167799795,0.7445525364825475,-0.0019608802974320216
TOP35,35,1085,1.5411404799697135,1.5381250482435374,-0.003015431726176132,0.7465134167799795,0.746304963828215,-0.00020845295176452616
TOP50,50,1085,1.5411404799697135,1.5386702256303821,-0.002470254339331346,0.7465134167799795,0.7460723302691636,-0.000441086510815869
