period,analysis,market_p_bucket,edge_bucket,bets,wins,losses,win_rate,profit_units,roi,avg_market_p,avg_v5_p,avg_edge
2021_2024,market_probability,<30%,ALL,158,34,124,0.21518987341772153,-23.700000000000003,-0.15000000000000002,0.23148594048108867,0.2511089319368184,0.01962299145572967
2021_2024,market_probability,30-40%,ALL,257,83,174,0.3229571984435798,-27.749999999999996,-0.10797665369649805,0.34927096081491044,0.37768354609098204,0.028412585276071548
2021_2024,market_probability,40-50%,ALL,254,122,132,0.48031496062992124,11.746352257075495,0.04624548132706888,0.44473998554563077,0.47335314254975375,0.028613157004123018
2021_2024,market_probability,50-60%,ALL,343,203,140,0.5918367346938775,8.575235766099404,0.025000687364721292,0.5530518059981692,0.585721546371174,0.03266974037300495
2021_2024,market_probability,60-70%,ALL,369,243,126,0.6585365853658537,-8.13752330829717,-0.022052908694572278,0.649414502403369,0.6801595092512739,0.03074500684790499
2021_2024,market_probability,70-80%,ALL,269,221,48,0.8215613382899628,15.539419415365373,0.057767358421432616,0.7454678390263361,0.7745642602590549,0.02909642123271874
2021_2024,market_probability,80%+,ALL,92,81,11,0.8804347826086957,0.33100619000032083,0.0035978933695687046,0.8414755739913052,0.8608671070365531,0.019391533045248006
2021_2024,market_x_edge,<30%,0-2%,96,20,76,0.20833333333333334,-11.85,-0.12343749999999999,0.22223623332074913,0.23228035918965526,0.010044125868906123
2021_2024,market_x_edge,<30%,2-4%,47,11,36,0.23404255319148937,-7.000000000000001,-0.14893617021276598,0.24155932268882457,0.26969723144532853,0.028137908756503942
2021_2024,market_x_edge,<30%,4-6%,12,2,10,0.16666666666666666,-5.15,-0.4291666666666667,0.25925608143812134,0.308278262773327,0.04902218133520558
2021_2024,market_x_edge,<30%,6-7.5%,1,1,0,1.0,2.3,2.3,0.289532293986637,0.3539044399664114,0.06437214597977442
2021_2024,market_x_edge,<30%,7.5%+,2,0,2,0.0,-2.0,-1.0,0.24310337980062746,0.323641646316814,0.0805382665161866
