metric,decile,n,metric_min,metric_mean,metric_max,mean_abs_prob_edge,mean_abs_logit_residual,direction_accuracy,realized_directional_gap
absolute_probability_edge,1,175,5.061346850687709e-05,0.002340065356152442,0.0049543231913791175,0.002340065356152442,0.011160469945889937,0.48,-0.03674539150961601
absolute_probability_edge,2,174,0.004975677039850107,0.007432842105978234,0.009801997923734262,0.007432842105978234,0.03621549870692196,0.5287356321839081,-0.003090633065137124
absolute_probability_edge,3,174,0.009827865800535851,0.012151619835823179,0.014633945422659,0.012151619835823179,0.061056450197847646,0.5344827586206896,0.009555525141100703
absolute_probability_edge,4,174,0.014635085782283008,0.016919756482079874,0.01907620933135648,0.016919756482079874,0.08510301507375487,0.5689655172413793,0.032398503926429074
absolute_probability_edge,5,174,0.019124073943756925,0.021572312228263175,0.0239122386811349,0.021572312228263175,0.1070307528212706,0.5287356321839081,-0.016485001494305037
absolute_probability_edge,6,174,0.0239225303011546,0.026068214749412576,0.028649928812354064,0.026068214749412576,0.1276092129518572,0.6206896551724138,0.057186042955981106
absolute_probability_edge,7,174,0.028658444320356302,0.03184637029514818,0.035198164795045395,0.03184637029514818,0.1521308582246371,0.5229885057471264,-0.03152468384957172
absolute_probability_edge,8,174,0.035399671262174415,0.03935666682628152,0.04431515950705356,0.03935666682628152,0.18365953660177917,0.6551724137931034,0.10355564308536622
absolute_probability_edge,9,174,0.04437266158584319,0.050071293371691035,0.0571283046899852,0.050071293371691035,0.23006176693079192,0.5862068965517241,0.0323548573041026
absolute_probability_edge,10,175,0.05722353244208078,0.07816780073476631,0.22908081111029488,0.07816780073476631,0.3554422881957357,0.64,0.08482517207976492
absolute_logit_residual,1,175,0.00020562257857578703,0.010897103544801497,0.022025273705437387,0.002409039091199138,0.010897103544801497,0.4685714285714286,-0.04360279332819772
absolute_logit_residual,2,174,0.022301892085926922,0.034201608941690054,0.04493725987818517,0.0076851276333603615,0.034201608941690054,0.5344827586206896,0.01753566538335826
absolute_logit_residual,3,174,0.04504826563395714,0.057520983963651545,0.06893674953039566,0.012632503383051814,0.057520983963651545,0.5229885057471264,-0.005930359779211849
absolute_logit_residual,4,174,0.0689569496002351,0.08018065575490704,0.09062374326136369,0.017382324108183356,0.08018065575490704,0.5402298850574713,0.023790780156868047
absolute_logit_residual,5,174,0.09067645017848677,0.10105899618663304,0.11165178414758059,0.022437733776127518,0.10105899618663304,0.5,-0.014372311339975906
absolute_logit_residual,6,174,0.11197739630048104,0.12456316377261398,0.13812797328778204,0.026875792605777035,0.12456316377261398,0.5747126436781609,0.03824125069670411
absolute_logit_residual,7,174,0.13816950596509198,0.15332231739261404,0.16913393139839178,0.03246880699497118,0.15332231739261404,0.5804597701149425,0.01090926927439138
absolute_logit_residual,8,174,0.16936724020755928,0.18779310836754762,0.20816357231509097,0.040042659480403996,0.18779310836754762,0.5919540229885057,0.057663763881053993
absolute_logit_residual,9,174,0.2082827272156218,0.23431782807344634,0.2712365038101936,0.048521975956307875,0.23431782807344634,0.6609195402298851,0.054170936326965353
absolute_logit_residual,10,175,0.27199787790472174,0.36555746405797657,1.1415326791694156,0.07548599523074857,0.36555746405797657,0.6914285714285714,0.09361274039128013
