bucket,n,avg_abs_prob_residual,avg_abs_logit_residual,avg_realized_directional_gap_vs_market,avg_v5_directional_move,direction_accuracy
0-1%,355,0.0049643018158663605,0.023970987735409715,-0.019604982729614626,0.0049643018158663605,0.504225352112676
1-2%,377,0.01507480436537741,0.07518889251067895,0.019033293225258933,0.01507480436537741,0.5543766578249337
2-3%,350,0.024811364005529246,0.12240352741609561,0.014894418947446206,0.024811364005529246,0.5657142857142857
3-4%,241,0.03474362182066822,0.16436956794863955,0.043263598861569795,0.03474362182066822,0.5975103734439834
4-6%,269,0.048755249333655354,0.22497345048964248,0.041193022496893765,0.048755249333655354,0.5985130111524164
6-8%,104,0.06918850071162884,0.3113796679452335,0.09123231856184406,0.06918850071162884,0.6538461538461539
8%+,46,0.10909371686360667,0.499191290336002,0.08688836913513018,0.10909371686360667,0.6086956521739131
