fold,feature,mean_abs_shap,mean_shap,n
2021,age_diff,0.03403154741337241,0.0025970678208574556,469
2021,age_squared_diff,0.010979011683647375,0.0005781395064948845,469
2021,age_x_career_ko_losses_diff,0.0,0.0,469
2021,aggression_index_diff,0.01005055292694172,0.0005215513053288592,469
2021,avg_fight_time_diff,0.0,0.0,469
2021,avg_opponent_elo_diff,0.006249985397497474,-0.0002258475274165302,469
2021,chin_risk_diff,0.005648910348960904,-0.0007158306721192814,469
2021,ctrl_against_per_min_diff,0.0,0.0,469
2021,days_since_last_fight_diff,0.0015914330342367514,-4.4288240802059296e-05,469
2021,elo_diff,0.0034501967069976874,-0.0002023519050560272,469
2021,ewm_best_win_elo_diff,0.0038089010296568178,0.00021165781128190474,469
2021,ewm_days_since_last_fight_diff,0.009616943187952073,-0.000554360099323491,469
2021,ewm_elo_diff,0.0025391132915332944,-0.00012295655082109004,469
2021,ewm_finish_loss_rate_diff,0.002722852168602746,-0.00021669714386934346,469
2021,ewm_kd_avg_diff,0.01981137558095046,-0.0016439225552464598,469
2021,ewm_recent_sapm_diff,0.0,0.0,469
2021,ewm_recent_splm_diff,0.008702790841206051,0.0013872057493370987,469
2021,ewm_recent_td_avg_diff,0.0,0.0,469
2021,ewm_recent_win_pct_diff,0.003128263633698225,-0.0001380147009309548,469
2021,ewm_sapm_diff,0.06169100214582262,-0.0055120939940913145,469
2021,ewm_str_def_diff,0.009664312995938477,9.225648659061014e-05,469
2021,ewm_td_acc_diff,0.02916131007508921,0.000783425982672173,469
2021,ewm_td_avg_diff,0.005678788355704564,9.529207989986518e-05,469
2021,ewm_win_pct_diff,0.0,0.0,469
2021,ko_dependency_diff,0.002058409824609947,-8.991431258221679e-05,469
2021,losses_diff,0.002968657834788979,-0.00040272643803549346,469
2021,market_overround,0.0,0.0,469
2021,pressure_striking_adv_diff,0.009050052247143217,-0.0012865108105220965,469
2021,reach_diff,0.052298115339995954,-0.04336887669525167,469
2021,recent_avg_fight_time_diff,0.019840475664273508,-0.000980967786838251,469
2021,recent_finish_rate_diff,0.0026345574783522693,0.0001266809271723985,469
2021,recent_form_avg_fight_time_diff,0.00668334856684973,-0.00029290218684655515,469
2021,recent_form_avg_opponent_elo_diff,0.01708370158627534,-0.0012619144328907608,469
2021,recent_form_best_win_elo_diff,0.0,0.0,469
2021,recent_form_kd_absorbed_avg_diff,0.017193781623025057,0.0016095613512689118,469
2021,recent_form_ko_rate_diff,0.007449034478829137,7.183174801263601e-05,469
2021,recent_form_recent_avg_fight_time_diff,0.002403244345651459,-5.04223510190082e-05,469
2021,recent_form_recent_finish_rate_diff,0.001169475685082265,-5.898154827196207e-05,469
2021,recent_form_td_acc_diff,0.01272288229225128,-0.00043129333868813414,469
2021,recent_form_worst_loss_elo_diff,0.006808138969264972,-0.00024978532297000576,469
2021,sapm_diff,0.007813514905300602,-0.00031512782875218115,469
2021,style_all_round_finisher_score_diff,0.0,0.0,469
2021,style_ko_finisher_score_diff,0.011433804478210362,-0.0016350108774692647,469
2021,style_primary_score_diff,0.0,0.0,469
2021,style_score_spread_diff,0.012250010456357683,-0.00019461872862346137,469
2021,sub_avg_diff,0.0015847371716890286,-6.771047658193658e-05,469
2021,td_avg_diff,0.005350821252380099,0.00026192863199756597,469
2021,victory_concentration_index_diff,0.0,0.0,469
2021,weight_diff,0.004927171719893972,-0.0006522873261653538,469
2021,whr_logit_diff,0.006510750515692269,-0.0003066027739536025,469
2021,win_pct_diff,0.015311783496369876,-0.00023560490169282407,469
2021,wrestling_mismatch_diff,0.01163492388705582,-3.8461140128595234e-05,469
2022,age_diff,0.038952317016601436,0.0007821640265281596,477
2022,age_squared_diff,0.009038385793574513,-0.00012018422320859986,477
2022,age_x_career_ko_losses_diff,0.005515327058201441,-0.0006997521314574737,477
2022,aggression_index_diff,0.007296882254467883,-0.00028346252746770716,477
2022,avg_fight_time_diff,0.00506415877948111,-0.0006914452388023556,477
2022,avg_opponent_elo_diff,0.007729672351402994,-0.00024604916951347696,477
2022,chin_risk_diff,0.011767974304937341,-0.001086149921160449,477
2022,ctrl_against_per_min_diff,0.006456901366183968,0.00037037012063794665,477
2022,days_since_last_fight_diff,0.003302134863399672,-0.00046824559909086557,477
