period,strategy,bets,wins,losses,win_rate,profit_units,roi,avg_v5_edge,avg_market_p,avg_predicted_return
2022_2024_meta_oof,roi_meta_predicted_return_gt_0,660,378,282,0.5727272727272728,-6.05280623077663,-0.009170918531479742,0.03823088780200449,0.5507209679290941,0.08857986330986023
2022_2024_meta_oof,v5_edge_ge_7_5pct,43,25,18,0.5813953488372093,2.4592267700861132,0.05719132023456077,0.10055077774138511,0.5506790162516413,0.24930089712142944
2022_2024_meta_oof,all_v5_liked_sides,1273,727,546,0.5710919088766693,-30.955127584889325,-0.024316675243432305,0.028006866219174916,0.5533334069629052,-0.019784441217780113
2025_to_20260328,roi_meta_predicted_return_gt_0,338,225,113,0.665680473372781,11.7570235875278,0.034784093454224264,0.034026146152790045,0.6144900589406703,0.04089559614658356
2025_to_20260328,v5_edge_ge_7_5pct,17,10,7,0.5882352941176471,2.8934629666129785,0.1702037039184105,0.10078633894710472,0.49565117409412496,0.1474599838256836
2025_to_20260328,all_v5_liked_sides,505,320,185,0.6336633663366337,42.21750022659983,0.08359901034970264,0.027846067397230844,0.5676227556609974,-0.015535986982285976
