fight_id,date,fighter,side,american_odds,fair_market_p,model_p,edge,market_overround
17d31249c9ab18af,2026-06-20,Kevin Borjas,blue,455,0.17287630402384502,0.11055983603000641,-0.06231646799383861,1.0422491456974214
17d31249c9ab18af,2026-06-20,Andre Lima,red,-625,0.827123695976155,0.8843174576759338,0.057193761699778856,1.0422491456974214
33afdd7ad43a2756,2026-06-20,Kyoji Horiguchi,blue,130,0.4170073589533933,0.45023173093795776,0.03322437198456446,1.0426257459505541
33afdd7ad43a2756,2026-06-20,Manel Kape,red,-155,0.5829926410466066,0.532609224319458,-0.05038341672714863,1.0426257459505541
3b4803afa824fea3,2026-06-20,Mitch Raposo,blue,140,0.4003612281757977,0.5337233543395996,0.1333621261638019,1.0407268170426065
3b4803afa824fea3,2026-06-20,Allan Nascimento,red,-166,0.5996387718242023,0.489700585603714,-0.10993818622048834,1.0407268170426065
571a3eabff5c7ba7,2026-06-20,Andre Fili,blue,235,0.28644876973925815,0.2417231649160385,-0.044725604823219633,1.0420972062763108
571a3eabff5c7ba7,2026-06-20,Vinicius Oliveira,red,-290,0.7135512302607419,0.755476713180542,0.04192548291980014,1.0420972062763108
6658fe4531c86674,2026-06-20,Levan Chokheli,blue,-360,0.7508125677139762,0.7893742918968201,0.03856172418284387,1.0423489553924337
6658fe4531c86674,2026-06-20,Leon Shahbazyan,red,285,0.2491874322860238,0.18278880417346954,-0.06639862811255426,1.0423489553924337
8b809ba1880aded0,2026-06-20,Michael Aswell Jr.,blue,-425,0.7768331562167907,0.7794514894485474,0.002618333231756642,1.0420819490586932
8b809ba1880aded0,2026-06-20,Gaston Bolanos,red,330,0.22316684378320936,0.19048598408699036,-0.032680859696219006,1.0420819490586932
9efa4de316b8bf43,2026-06-20,Otari Tanzilovi,blue,180,0.34252477380439467,0.3188318610191345,-0.023692912785260145,1.0426774483378256
9efa4de316b8bf43,2026-06-20,Shane Collins,red,-218,0.6574752261956054,0.6657073497772217,0.00823212358161629,1.0426774483378256
aaec28fa3c0c576d,2026-06-20,Christian Rodriguez,blue,-198,0.6369041816941223,0.6843646168708801,0.0474604351767578,1.043217408989221
aaec28fa3c0c576d,2026-06-20,Hyder Amil,red,164,0.3630958183058778,0.2903260290622711,-0.07276978924360666,1.043217408989221
afc021700481ac4e,2026-06-20,Navajo Stirling,blue,-310,0.725752508361204,0.6863335967063904,-0.03941891165481359,1.0418118466898956
afc021700481ac4e,2026-06-20,Ion Cutelaba,red,250,0.27424749163879597,0.3148898184299469,0.04064232679115093,1.0418118466898956
b23a1a5d35eb438a,2026-06-20,Luana Santos,blue,-105,0.4891657638136511,0.544291615486145,0.0551258516724939,1.0470788428814521
b23a1a5d35eb438a,2026-06-20,Karol Rosa,red,-115,0.5108342361863488,0.43327125906944275,-0.07756297711690607,1.0470788428814521
e4849375d1949c74,2026-06-20,Murtazali Magomedov,blue,-325,0.7335423197492164,0.7743521332740784,0.040809813524862015,1.0424836601307188
e4849375d1949c74,2026-06-20,Melsik Baghdasaryan,red,260,0.26645768025078376,0.23810681700706482,-0.028350863243718938,1.0424836601307188
