historical_market_run_id,historical_market_timestamp,fight_id,date,event_name,market_key,bookmaker,outcome_join_key,outcome_fighter_id,outcome_label,outcome_side,canonical_side,legacy_side,american_odds,implied_probability,profit_per_100,won,result_status,source,mapping_method,legacy_row_number,legacy_r_name,legacy_b_name,legacy_winner_side
historical_market_outcomes_20260613_184833,2026-06-13T18:48:33.185521+00:00,9a0ecee6e8ca173f,2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,win_by_decision,legacy_consensus,fighter:6a740daf1b279661,6a740daf1b279661,Maycee Barber,blue,blue,blue,105.0,0.4878048780487805,105.0,False,graded,ufc-master w odds.csv,direct,2.0,Alexa Grasso,Maycee Barber,red
historical_market_outcomes_20260613_184833,2026-06-13T18:48:33.185521+00:00,9a0ecee6e8ca173f,2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,win_by_submission,legacy_consensus,fighter:6a740daf1b279661,6a740daf1b279661,Maycee Barber,blue,blue,blue,800.0,0.1111111111111111,800.0,False,graded,ufc-master w odds.csv,direct,2.0,Alexa Grasso,Maycee Barber,red
historical_market_outcomes_20260613_184833,2026-06-13T18:48:33.185521+00:00,9a0ecee6e8ca173f,2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,win_by_ko_tko_dq,legacy_consensus,fighter:6a740daf1b279661,6a740daf1b279661,Maycee Barber,blue,blue,blue,500.0,0.16666666666666666,500.0,False,graded,ufc-master w odds.csv,direct,2.0,Alexa Grasso,Maycee Barber,red
historical_market_outcomes_20260613_184833,2026-06-13T18:48:33.185521+00:00,6102e7a6dcbc62f0,2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,moneyline,legacy_consensus,fighter:c58f51dedb310998,c58f51dedb310998,Michael Chiesa,red,red,red,-901.0,0.9000999000999002,11.098779134295228,True,graded,ufc-master w odds.csv,direct,3.0,Michael Chiesa,Niko Price,red
historical_market_outcomes_20260613_184833,2026-06-13T18:48:33.185521+00:00,6102e7a6dcbc62f0,2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,win_by_decision,legacy_consensus,fighter:c58f51dedb310998,c58f51dedb310998,Michael Chiesa,red,red,red,225.0,0.3076923076923077,225.0,False,graded,ufc-master w odds.csv,direct,3.0,Michael Chiesa,Niko Price,red
historical_market_outcomes_20260613_184833,2026-06-13T18:48:33.185521+00:00,6102e7a6dcbc62f0,2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,win_by_submission,legacy_consensus,fighter:c58f51dedb310998,c58f51dedb310998,Michael Chiesa,red,red,red,-150.0,0.6,66.66666666666667,True,graded,ufc-master w odds.csv,direct,3.0,Michael Chiesa,Niko Price,red
historical_market_outcomes_20260613_184833,2026-06-13T18:48:33.185521+00:00,6102e7a6dcbc62f0,2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,win_by_ko_tko_dq,legacy_consensus,fighter:c58f51dedb310998,c58f51dedb310998,Michael Chiesa,red,red,red,600.0,0.14285714285714285,600.0,False,graded,ufc-master w odds.csv,direct,3.0,Michael Chiesa,Niko Price,red
historical_market_outcomes_20260613_184833,2026-06-13T18:48:33.185521+00:00,6102e7a6dcbc62f0,2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,moneyline,legacy_consensus,fighter:d8da10db80131bec,d8da10db80131bec,Niko Price,blue,blue,blue,550.0,0.15384615384615385,550.0,False,graded,ufc-master w odds.csv,direct,3.0,Michael Chiesa,Niko Price,red
historical_market_outcomes_20260613_184833,2026-06-13T18:48:33.185521+00:00,6102e7a6dcbc62f0,2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,win_by_decision,legacy_consensus,fighter:d8da10db80131bec,d8da10db80131bec,Niko Price,blue,blue,blue,900.0,0.1,900.0,False,graded,ufc-master w odds.csv,direct,3.0,Michael Chiesa,Niko Price,red
historical_market_outcomes_20260613_184833,2026-06-13T18:48:33.185521+00:00,6102e7a6dcbc62f0,2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,win_by_submission,legacy_consensus,fighter:d8da10db80131bec,d8da10db80131bec,Niko Price,blue,blue,blue,1600.0,0.058823529411764705,1600.0,False,graded,ufc-master w odds.csv,direct,3.0,Michael Chiesa,Niko Price,red
historical_market_outcomes_20260613_184833,2026-06-13T18:48:33.185521+00:00,6102e7a6dcbc62f0,2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,win_by_ko_tko_dq,legacy_consensus,fighter:d8da10db80131bec,d8da10db80131bec,Niko Price,blue,blue,blue,1000.0,0.09090909090909091,1000.0,False,graded,ufc-master w odds.csv,direct,3.0,Michael Chiesa,Niko Price,red
historical_market_outcomes_20260613_184833,2026-06-13T18:48:33.185521+00:00,f9f5071b993a5f4b,2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,moneyline,legacy_consensus,fighter:902ec2cc48c8ae8a,902ec2cc48c8ae8a,Julian Erosa,red,red,red,235.0,0.29850746268656714,235.0,False,graded,ufc-master w odds.csv,direct,4.0,Julian Erosa,Lerryan Douglas,blue
historical_market_outcomes_20260613_184833,2026-06-13T18:48:33.185521+00:00,f9f5071b993a5f4b,2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,win_by_decision,legacy_consensus,fighter:902ec2cc48c8ae8a,902ec2cc48c8ae8a,Julian Erosa,red,red,red,600.0,0.14285714285714285,600.0,False,graded,ufc-master w odds.csv,direct,4.0,Julian Erosa,Lerryan Douglas,blue
historical_market_outcomes_20260613_184833,2026-06-13T18:48:33.185521+00:00,f9f5071b993a5f4b,2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,win_by_submission,legacy_consensus,fighter:902ec2cc48c8ae8a,902ec2cc48c8ae8a,Julian Erosa,red,red,red,600.0,0.14285714285714285,600.0,False,graded,ufc-master w odds.csv,direct,4.0,Julian Erosa,Lerryan Douglas,blue
