fight_id,date,won,market_p,model_p
0165bd3c26f0c076,2021-01-16,1,0.6255648805681084,0.6418549770609367
358f816aff469270,2021-01-16,1,0.4145990075236113,0.3848685473575563
3d903bc35023f50a,2021-01-16,0,0.33880903490759745,0.3619807531326459
3fcd53eb27945231,2021-01-16,0,0.30549898167006106,0.29270302642864243
6b0da0b1cda7799f,2021-01-16,1,0.610215999437135,0.6839682464007258
775c1f401815bbd8,2021-01-16,0,0.6984924623115577,0.6841358160378295
97ad63e644757cf4,2021-01-16,0,0.5,0.4794201415929688
97c80f69ac312030,2021-01-16,0,0.6611909650924026,0.6697055938301524
a4817b7e46028b4a,2021-01-16,1,0.5954042868614491,0.6541952576142378
aeb7ff8ce6e1beac,2021-01-16,0,0.7191400832177531,0.7084821846696503
031e6624f96aceb8,2021-01-20,0,0.599271402550091,0.5705378729545435
11558384f80f6506,2021-01-20,1,0.7998411437648929,0.8373292153693821
4abcf14faa7f92f2,2021-01-20,1,0.7619047619047619,0.7625362226885796
4e451881e0e47b05,2021-01-20,1,0.5776397515527951,0.5827686073834695
4f6d3cdf2c77fb57,2021-01-20,1,0.5459837019790454,0.5421918126353809
57e784028ef2c17d,2021-01-20,1,0.46324269889224573,0.5277371746268408
61bedad39b15db7a,2021-01-20,1,0.4323570432357044,0.44670436971578703
76b61ff4c9760f79,2021-01-20,1,0.5585430102643292,0.5499421214385295
a003e8305d4dbdc8,2021-01-20,0,0.26508226691042047,0.28461310254727273
ac475de5a3d0d7e2,2021-01-20,1,0.4167202986227314,0.49457111357488404
ae38fb2a6b6a0cc1,2021-01-20,0,0.3517587939698492,0.3859031617183894
d27ac1bc677b89cf,2021-01-20,1,0.7191400832177531,0.776335576625024
dd34dd337e637767,2021-01-20,1,0.334855403348554,0.3126893177533652
3d3e7dc7b4bf2bc4,2021-01-23,1,0.2750424448217317,0.34323205396833567
65352221c0bfe52d,2021-01-23,0,0.44145698973567077,0.4343324297027538
83da743f6dda7dcc,2021-01-23,1,0.46324269889224573,0.5333993702068983
92f569a6d9374b86,2021-01-23,1,0.5400039315903282,0.511277519115929
a5075f4eaee6036f,2021-01-23,0,0.5400039315903282,0.5540977436511707
aaf45b095452be23,2021-01-23,1,0.48734604352961025,0.5118700459552354
c597fd8bb66d54d8,2021-01-23,0,0.7293934681181959,0.7386316553876826
cd08b68f0bafafbf,2021-01-23,1,0.27060653188180406,0.26496868370198906
f3ccbfd7036f3cf3,2021-01-23,0,0.1938895417156287,0.1935804244905321
2c81668d1459991f,2021-02-06,1,0.5263157894736842,0.5043297179897741
86d6e09932c5b551,2021-02-06,1,0.3428571428571428,0.308504451179992
8b9bdacca749ec90,2021-02-06,0,0.38263229308005425,0.3964427313582567
9ef858837dfc65eb,2021-02-06,1,0.7619047619047619,0.7512257738666399
af8ea6db042674ef,2021-02-06,0,0.6702870442203258,0.6278637475587086
bbade63ca780668f,2021-02-06,0,0.5324675324675325,0.5080232503529555
d65da3a3bc675449,2021-02-06,0,0.6053006554573952,0.5739250128943295
