view,logit_threshold,method_family,rows,unique_fights,hit_rate,avg_model_prob,model_calibration_gap,avg_fair_market_prob,market_calibration_gap,avg_raw_implied_prob,avg_signed_logit_residual,avg_price_edge,model_binary_log_loss,market_binary_log_loss,log_loss_delta_model_minus_market,model_brier,market_brier,brier_delta_model_minus_market
residual_only,0.0,DEC,2382,1584,0.2774979009235936,0.26699156160712695,0.010506339316466662,0.2295352478706009,0.047962653052992715,0.2809890053348447,0.20697908021642666,-0.013997443727717789,0.555220725799649,0.5599015240493815,-0.004680798249732554,0.18628839840384795,0.1882263974688824,-0.0019379990650344459
residual_only,0.0,KO_TKO,1262,1050,0.20206022187004755,0.2192511214784652,-0.01719089960841766,0.19833997292392572,0.003720248946121829,0.24331690367538056,0.1324329329936441,-0.024065782196915353,0.46567962472954283,0.4645389936401282,0.0011406310894146454,0.1487453432310005,0.14821069664227307,0.0005346465887274277
residual_only,0.0,SUB,365,350,0.13424657534246576,0.15172885315977544,-0.017482277817309683,0.13811364375038224,-0.0038670684079164797,0.16957865749298195,0.11212167615899268,-0.017849804333206515,0.34638362822270924,0.3443221052977782,0.0020615229249310585,0.10374830172219646,0.10343644339720891,0.00031185832498754895
residual_only,0.1,DEC,1869,1483,0.2808988764044944,0.28250621455741987,-0.0016073381529254638,0.23705705531605523,0.043841821088439176,0.2900816286795318,0.24918736158787988,-0.00757541412211204,0.5572823520186282,0.5623750684934247,-0.005092716474796477,0.1870687549984966,0.1892070706376858,-0.0021383156391892033
residual_only,0.1,KO_TKO,690,650,0.2072463768115942,0.2377914966178545,-0.030545119806260318,0.20497031018665815,0.0022760666249360406,0.25150187133050733,0.20407055533728655,-0.01371037471265287,0.47419510688195576,0.472021106761089,0.0021740001208667703,0.15249726663905694,0.1515058358967163,0.0009914307423406488
residual_only,0.1,SUB,157,154,0.12738853503184713,0.17211986544310665,-0.04473133041125951,0.1464844845086454,-0.01909594947679827,0.18035484101276267,0.20387286767113016,-0.008234975569656045,0.3317448906144943,0.3248595959488486,0.0068852946656456915,0.09891139032227206,0.09745572957027401,0.0014556607519980447
residual_only,0.2,DEC,1176,1081,0.29336734693877553,0.30236248427140366,-0.008995137332628134,0.2453114928465869,0.04805585409218863,0.3002045762678916,0.3066078936078851,0.0021579080035120666,0.5618900829832429,0.5673643419892321,-0.0054742590059891905,0.1901194690585699,0.19262811267533084,-0.002508643616760925
residual_only,0.2,KO_TKO,296,293,0.2533783783783784,0.2737502625237244,-0.02037188414534602,0.22545338633212006,0.02792499204625834,0.27663745143505875,0.2826386269253015,-0.0028871889113343697,0.5331032380440085,0.5330272590869101,7.597895709843261e-05,0.17731513954516992,0.17699871926692565,0.00031642027824427266
residual_only,0.2,SUB,61,61,0.16393442622950818,0.19080426586700264,-0.026869839637494453,0.15122709153969022,0.012707334689817967,0.18535831161893773,0.30008536552988946,0.005445954248064931,0.3660593955632539,0.3600236169770363,0.006035778586217622,0.11274295462696016,0.11202389273514755,0.0007190618918126029
residual_only,0.3,DEC,533,521,0.3170731707317073,0.32986156940180633,-0.01278839867009901,0.25717072198556645,0.05990244874614087,0.3151409508355076,0.3792909924364004,0.014720618566298735,0.5706267065144847,0.5782232226320528,-0.007596516117568175,0.19480354052681376,0.19863234911376115,-0.0038288085869473965
