fold,variant,feature,gain,weight,cover,gain_rank,used
2022,ko_specialist_plus_v5_ml,style_submission_grappler_score_diff,0.0,0.0,0.0,131,False
2022,ko_specialist_plus_v5_ml,sub_avg_diff,0.0,0.0,0.0,132,False
2022,ko_specialist_plus_v5_ml,sub_win_rate_diff,0.0,0.0,0.0,133,False
2022,ko_specialist_plus_v5_ml,submission_dependency_diff,0.0,0.0,0.0,134,False
2022,ko_specialist_plus_v5_ml,submission_mismatch_diff,5.17141580581665,5.0,79.21196746826172,15,True
2022,ko_specialist_plus_v5_ml,submission_win_concentration_diff,5.607146739959717,12.0,78.53399658203125,10,True
2022,ko_specialist_plus_v5_ml,td_acc_diff,5.240148544311523,11.0,78.55130004882812,13,True
2022,ko_specialist_plus_v5_ml,td_avg_diff,4.476184368133545,2.0,78.13775634765625,29,True
2022,ko_specialist_plus_v5_ml,td_def_diff,0.0,0.0,0.0,135,False
2022,ko_specialist_plus_v5_ml,victory_concentration_index_diff,0.0,0.0,0.0,137,False
2022,ko_specialist_plus_v5_ml,weight_diff,0.0,0.0,0.0,138,False
2022,ko_specialist_plus_v5_ml,win_method_entropy_diff,5.918756008148193,1.0,77.18157958984375,9,True
2022,ko_specialist_plus_v5_ml,win_pct_diff,0.0,0.0,0.0,139,False
2022,ko_specialist_plus_v5_ml,win_streak_diff,0.0,0.0,0.0,140,False
2022,ko_specialist_plus_v5_ml,wins_diff,0.0,0.0,0.0,141,False
2022,ko_specialist_plus_v5_ml,worst_loss_elo_diff,2.7718513011932373,2.0,77.08831787109375,66,True
2022,ko_specialist_plus_v5_ml,wrestling_mismatch_diff,8.104790687561035,23.0,79.95834350585938,1,True
2022,ko_specialist_plus_v5_ml,v5_ml_p_side,0.0,0.0,0.0,136,False
2023,ko_specialist_no_ml,age_diff,6.126473426818848,2.0,155.35415649414062,34,True
2023,ko_specialist_no_ml,age_squared_diff,5.128796577453613,2.0,155.82635498046875,53,True
2023,ko_specialist_no_ml,age_x_career_ko_losses_diff,0.0,0.0,0.0,69,False
2023,ko_specialist_no_ml,aggression_index_diff,0.0,0.0,0.0,70,False
2023,ko_specialist_no_ml,avg_fight_time_diff,5.974637031555176,2.0,155.43115234375,37,True
2023,ko_specialist_no_ml,avg_opponent_elo_diff,7.002089023590088,3.0,153.92733764648438,20,True
2023,ko_specialist_no_ml,best_win_elo_diff,0.0,0.0,0.0,71,False
2023,ko_specialist_no_ml,career_ko_losses_diff,0.0,0.0,0.0,72,False
2023,ko_specialist_no_ml,chin_risk_diff,5.299417972564697,3.0,150.21531677246094,49,True
2023,ko_specialist_no_ml,ctrl_against_per_min_diff,5.146677017211914,4.0,154.19369506835938,52,True
2023,ko_specialist_no_ml,ctrl_per_min_diff,8.484914779663086,4.0,157.9187774658203,10,True
2023,ko_specialist_no_ml,days_since_last_fight_diff,0.0,0.0,0.0,73,False
2023,ko_specialist_no_ml,days_since_last_ko_loss_diff,0.0,0.0,0.0,74,False
2023,ko_specialist_no_ml,decision_dependency_diff,0.0,0.0,0.0,75,False
2023,ko_specialist_no_ml,decision_loss_rate_diff,0.0,0.0,0.0,76,False
