fight_id,fighter,side,market_key,american_odds,fair_market_p,model_p,edge,actual_hit
17d31249c9ab18af,Andre Lima,red,win_by_ko_tko_dq,260,0.24001832770360265,0.2382846176624298,-0.0017337100411728423,0
17d31249c9ab18af,Andre Lima,red,win_by_submission,410,0.1694247019084254,0.1499842256307602,-0.01944047627766521,0
17d31249c9ab18af,Andre Lima,red,win_by_decision,112,0.4075782923268724,0.40857744216918945,0.0009991498423170264,0
17d31249c9ab18af,Kevin Borjas,blue,win_by_ko_tko_dq,900,0.08640659797329696,0.05017136409878731,-0.03623523387450965,0
17d31249c9ab18af,Kevin Borjas,blue,win_by_submission,2900,0.02880219932443232,0.03377510979771614,0.004972910473283822,0
17d31249c9ab18af,Kevin Borjas,blue,win_by_decision,1175,0.06776988076337016,0.039132699370384216,-0.028637181392985947,1
33afdd7ad43a2756,Manel Kape,red,win_by_ko_tko_dq,180,0.3046741269467163,0.3190329968929291,0.014358869946212771,1
33afdd7ad43a2756,Manel Kape,red,win_by_submission,1550,0.051702276087927615,0.026229534298181534,-0.02547274178974608,0
33afdd7ad43a2756,Manel Kape,red,win_by_decision,260,0.23696876540300155,0.23261459171772003,-0.004354173685281515,0
33afdd7ad43a2756,Kyoji Horiguchi,blue,win_by_ko_tko_dq,675,0.11007581360655555,0.062106598168611526,-0.047969215437944024,0
33afdd7ad43a2756,Kyoji Horiguchi,blue,win_by_submission,790,0.09585253432031524,0.035073280334472656,-0.06077925398584258,0
33afdd7ad43a2756,Kyoji Horiguchi,blue,win_by_decision,325,0.20072648363548365,0.25379690527915955,0.0530704216436759,0
3b4803afa824fea3,Allan Nascimento,red,win_by_ko_tko_dq,1000,0.08031939877876938,0.03910713270306587,-0.04121226607570351,0
3b4803afa824fea3,Allan Nascimento,red,win_by_submission,280,0.23250352278064818,0.24973614513874054,0.017232622358092364,0
3b4803afa824fea3,Allan Nascimento,red,win_by_decision,200,0.29450446218882104,0.3009485602378845,0.006444098049063485,0
3b4803afa824fea3,Mitch Raposo,blue,win_by_ko_tko_dq,900,0.08835133865664632,0.04793174937367439,-0.04041958928297193,0
3b4803afa824fea3,Mitch Raposo,blue,win_by_submission,1400,0.05890089243776421,0.02779422327876091,-0.0311066691590033,0
3b4803afa824fea3,Mitch Raposo,blue,win_by_decision,260,0.24542038515735087,0.3106938600540161,0.06527347489666524,1
8b809ba1880aded0,Gaston Bolanos,red,win_by_ko_tko_dq,850,0.09121448947407508,0.07385595887899399,-0.017358530595081093,0
8b809ba1880aded0,Gaston Bolanos,red,win_by_submission,2800,0.029880608620817702,0.018721526488661766,-0.011159082132155936,0
8b809ba1880aded0,Gaston Bolanos,red,win_by_decision,700,0.10831720625046418,0.14741477370262146,0.039097567452157284,1
8b809ba1880aded0,Michael Aswell Jr.,blue,win_by_ko_tko_dq,190,0.29880608620817706,0.3202119767665863,0.021405890558409246,0
8b809ba1880aded0,Michael Aswell Jr.,blue,win_by_submission,900,0.08665376500037134,0.07545501738786697,-0.011198747612504362,0
8b809ba1880aded0,Michael Aswell Jr.,blue,win_by_decision,125,0.3851278444460948,0.34283772110939026,-0.042290123336704566,0
afc021700481ac4e,Ion Cutelaba,red,win_by_ko_tko_dq,675,0.10804729504172661,0.06950930505990982,-0.03853798998181679,0
afc021700481ac4e,Ion Cutelaba,red,win_by_submission,1100,0.06978054471444843,0.03570740297436714,-0.03407314174008129,0
afc021700481ac4e,Ion Cutelaba,red,win_by_decision,790,0.0940861277048743,0.10431695729494095,0.010230829590066645,0
afc021700481ac4e,Navajo Stirling,blue,win_by_ko_tko_dq,105,0.4084714812553079,0.5444040298461914,0.1359325485908835,1
afc021700481ac4e,Navajo Stirling,blue,win_by_submission,900,0.08373665365733814,0.04804692044854164,-0.035689733208796495,0
afc021700481ac4e,Navajo Stirling,blue,win_by_decision,255,0.2358778976263046,0.2463851422071457,0.010507244580841096,0
