n,wins,win_rate,mean_abs_logit_residual,mean_raw_implied_p,mean_decimal_odds,profit_units,roi,min_decile
1742.0,987.0,0.5665901262916189,0.1350025009169496,0.5662458613486407,2.044385599611292,-23.39550967975658,-0.01343025813992915,1
1567.0,905.0,0.5775366943203574,0.1488623889451091,0.569964195389815,2.0227106598585323,4.293203022701412,0.0027397594273780553,2
1393.0,812.0,0.5829145728643216,0.16318469743081973,0.5739622625582134,2.0121294431749477,2.6539195692807125,0.001905182748945235,3
1219.0,721.0,0.5914684167350287,0.17826713069028427,0.5771120143840518,2.001165364153772,15.697322131884484,0.012877212577427796,4
1045.0,627.0,0.6,0.19459923273694038,0.5837198748711977,1.9677234628964806,11.640480539796894,0.011139215827556836,5
871.0,540.0,0.6199770378874856,0.21328580123263896,0.5929960141116948,1.9372847095004047,22.400260619165962,0.02571786523440409,6
697.0,440.0,0.6312769010043041,0.23543463755694935,0.6015518414463028,1.8965870402085918,19.229690395960937,0.027589225819169207,7
523.0,339.0,0.6481835564053537,0.26275307677032284,0.604499429137704,1.8767578056400347,27.86625558958915,0.053281559444721134,8
349.0,236.0,0.6762177650429799,0.3001256684668354,0.628372384380452,1.7537588216490927,27.630073977182008,0.07916926641026363,9
175.0,121.0,0.6914285714285714,0.36555746405797657,0.6235480319918872,1.7654621980886174,23.716734755461104,0.13552419860263487,10
