market_key,is_synthetic,p_bucket,n,mean_implied_p,realized_win_rate,calibration_error,brier,log_loss,flat_bet_roi
goes_distance,True,05-10%,16.0,0.08199863495765479,0.125,0.04300136504234521,0.10964100760868438,0.37651779688757503,0.40625
goes_distance,True,10-15%,62.0,0.1306423891756755,0.11290322580645161,-0.01773916336922389,0.09984070685877529,0.35086041172214955,-0.15532746822580645
goes_distance,True,15-20%,120.0,0.17634253104477562,0.18333333333333332,0.006990802288557696,0.15085135959095872,0.4803173473370373,0.06013699041666665
goes_distance,True,20-25%,200.0,0.2249865145703231,0.21,-0.0149865145703231,0.16759960515529804,0.5188327892994128,-0.05001182640000001
goes_distance,True,25-30%,261.0,0.27409874797740175,0.26053639846743293,-0.013562349509968818,0.19277369331270425,0.573905194490157,-0.04846473076628353
goes_distance,True,30-35%,321.0,0.32592547663499416,0.3302180685358255,0.004292591900831366,0.22049239027745687,0.6327444904426615,0.010586829657320869
goes_distance,True,35-40%,452.0,0.3755681958910112,0.3495575221238938,-0.02601067376711741,0.22682118006779492,0.646000366889838,-0.07301441201327434
goes_distance,True,40-45%,646.0,0.4251925115811414,0.4024767801857585,-0.02271573139538291,0.24116460914861132,0.6753791901911173,-0.052509518142414856
goes_distance,True,45-50%,557.0,0.47422021826757227,0.466786355475763,-0.007433862791809243,0.2475465640468662,0.6882318388006917,-0.018304263788150806
goes_distance,True,50-55%,530.0,0.5230412147180898,0.49245283018867925,-0.030588384529410595,0.24986882187485607,0.6928820639680503,-0.05996939283931536
goes_distance,True,55-60%,510.0,0.5757196418419244,0.5313725490196078,-0.044347092822316525,0.25053779261621417,0.6942723730946557,-0.07741283710318424
goes_distance,True,60-65%,605.0,0.6261622651373699,0.5107438016528926,-0.11541846348447737,0.26386164326604555,0.7219507373250098,-0.18331745455602058
goes_distance,True,65-70%,607.0,0.6732245698948178,0.5914332784184514,-0.08179129147636643,0.2480803357356707,0.6904710395453949,-0.12159661535773006
goes_distance,True,70-75%,458.0,0.7229806215970843,0.6812227074235808,-0.041757914173503496,0.21797407604250982,0.6278795567193465,-0.05847632545734414
goes_distance,True,75-80%,270.0,0.7726198662273561,0.7148148148148148,-0.05780505141254133,0.20758555089292208,0.6080395038345774,-0.0743430072452155
goes_distance,True,80-85%,122.0,0.8224694232796902,0.7459016393442623,-0.07656778393542785,0.1957809223349449,0.5864558263647381,-0.09267777758141695
goes_distance,True,85-90%,45.0,0.866445408775375,0.8,-0.06644540877537497,0.1614257071116801,0.5044860640104553,-0.07859728094285988
goes_distance,True,90-95%,3.0,0.9023606642900619,0.6666666666666666,-0.23569399762339527,0.2801492992714756,0.8576566239183897,-0.25973930062395806
goes_distance,True,95-100%,2.0,0.9963413203102136,0.5,-0.4963413203102136,0.5000257645577855,6.911426906569508,-0.496314858490566
inside_distance,True,00-05%,1.0,0.04592363261093911,0.0,-0.04592363261093911,0.00210898003218451,0.047011561063586706,-1.0
inside_distance,True,05-10%,15.0,0.09166657711767214,0.06666666666666667,-0.02499991045100547,0.06211070524531718,0.2445715531238898,-0.31573767066666664
inside_distance,True,10-15%,70.0,0.1256633985498183,0.4,0.2743366014501817,0.3132712813946839,0.9026192277738224,2.1493384701428577
inside_distance,True,15-20%,86.0,0.17429667630162637,0.4186046511627907,0.24430797486116435,0.30105555771482356,0.8361503047374292,1.3767683452325579
inside_distance,True,20-25%,52.0,0.2233332023046497,0.34615384615384615,0.12282064384919644,0.24620143720581997,0.6983761657224321,0.6042161709615385
inside_distance,True,25-30%,56.0,0.27483784913438586,0.35714285714285715,0.08230500800847129,0.23679356342741983,0.6689481418116755,0.30365715392857145
inside_distance,True,30-35%,75.0,0.32615214882649396,0.26666666666666666,-0.059485482159827296,0.1978296215978095,0.5853402376571253,-0.1876596153333333
inside_distance,True,35-40%,137.0,0.3770773703881837,0.27007299270072993,-0.10700437768745374,0.20843169272911422,0.6085359928451416,-0.28397736598540146
inside_distance,True,40-45%,213.0,0.4278242247568731,0.2535211267605634,-0.17430309799630972,0.22062820299355085,0.6340350859581025,-0.4044082466197183
inside_distance,True,45-50%,363.0,0.47638130449826693,0.26170798898071623,-0.2146733155175507,0.23881144493977668,0.6707365414080491,-0.45163416077134977
inside_distance,True,50-55%,531.0,0.5256429574190892,0.3879472693032015,-0.13769568811588767,0.256054019701996,0.705275038300255,-0.2623661790328396
inside_distance,True,55-60%,575.0,0.574019046075832,0.44521739130434784,-0.12880165477148414,0.262525564488946,0.7184221148976652,-0.225827454267542
inside_distance,True,60-65%,487.0,0.6236690153608037,0.4784394250513347,-0.14522959030946897,0.2705393891970665,0.7354931931726556,-0.23283646449579753
inside_distance,True,65-70%,440.0,0.6747867829194912,0.4636363636363636,-0.2111504192831276,0.2937857148207417,0.7862001665342627,-0.3122466237006446
inside_distance,True,70-75%,530.0,0.7251550230472057,0.5283018867924528,-0.19685313625475287,0.2889334920323544,0.7816908211274632,-0.27042330274862114
inside_distance,True,75-80%,518.0,0.7742303333972659,0.5714285714285714,-0.20280176196869448,0.28556630319629867,0.7831451737348057,-0.26225719026988553
