logit_threshold,price_edge_threshold,fold,bets,fight_coverage,hit_rate,mean_model_p,mean_raw_p,calibration_gap,mean_price_edge,mean_signed_logit_residual,mean_model_implied_ev_margin,cards,bets_per_card
0.2,0.0,2021,186,0.41333333333333333,0.26344086021505375,0.2829380459602802,0.2640706788565603,-0.019497185745226464,0.018867367103719813,0.3828535189725743,0.07650285467566477,43,4.325581395348837
0.2,0.0,2022,169,0.3903002309468822,0.23668639053254437,0.25850077789034365,0.24318047127607356,-0.02181438735779928,0.015320306614270052,0.3606743364693296,0.07119956685987107,42,4.023809523809524
0.2,0.0,2023,223,0.5807291666666666,0.24663677130044842,0.26812150543179747,0.251208886175793,-0.021484734131349048,0.016912619256004402,0.3293344509540502,0.07803430229056883,42,5.309523809523809
0.2,0.0,2024,145,0.43026706231454004,0.2482758620689655,0.27996048786003014,0.26639636467073075,-0.031684625791064625,0.013564123189299355,0.3436771692776147,0.0585541289135905,41,3.5365853658536586
0.2,0.01,2021,116,0.2577777777777778,0.2672413793103448,0.30378299193649455,0.27652750732774317,-0.036541612626149744,0.027255484608751372,0.42670479262245964,0.10804542456733658,42,2.761904761904762
0.2,0.01,2022,90,0.20785219399538107,0.26666666666666666,0.28197149394287,0.25764063462603043,-0.015304827276203359,0.02433085931683955,0.41074915825955144,0.10911025739194419,40,2.25
0.2,0.01,2023,140,0.3645833333333333,0.25,0.2857353418001107,0.2619684781460834,-0.035735341800110676,0.023766863654027238,0.36752197326828284,0.1076136550344364,39,3.58974358974359
0.2,0.01,2024,77,0.228486646884273,0.2857142857142857,0.3127112460213822,0.29115828881137484,-0.02699696030709653,0.021552957210007398,0.389962607666975,0.08740425027028893,38,2.026315789473684
0.2,0.02,2021,58,0.1288888888888889,0.25862068965517243,0.3290942044093691,0.28913534276885455,-0.07047351475419666,0.03995886164051444,0.4862849565348111,0.15310372051824186,37,1.5675675675675675
0.2,0.02,2022,42,0.09699769053117784,0.2619047619047619,0.30708054169302895,0.27104945916055123,-0.045175779788267034,0.036031082532477735,0.46877834618407777,0.15389075789738574,28,1.5
0.2,0.02,2023,76,0.19791666666666666,0.3157894736842105,0.3070206789201812,0.27576668148436356,0.008768794764029308,0.031253997435817506,0.4061019379941699,0.13501799472591322,34,2.235294117647059
0.2,0.02,2024,34,0.10089020771513353,0.2647058823529412,0.3486700838103014,0.31867748358919146,-0.08396420145736022,0.02999260022110993,0.43049779625223283,0.10774342620181283,22,1.5454545454545454
0.2,0.03,2021,31,0.06888888888888889,0.1935483870967742,0.3412142304643508,0.2874477386171653,-0.1476658433675766,0.0537664918471855,0.5485851947130167,0.2051816974820628,23,1.3478260869565217
0.2,0.03,2022,25,0.057736720554272515,0.16,0.312472807765007,0.2684278536471166,-0.15247280776500702,0.04404495411789038,0.5045689837327096,0.19049259602361243,19,1.3157894736842106
0.2,0.03,2023,30,0.078125,0.4,0.3289968766272068,0.2869586756333174,0.07100312337279324,0.04203820099388942,0.4403818929046794,0.16861873428026827,21,1.4285714285714286
0.2,0.03,2024,12,0.03560830860534125,0.3333333333333333,0.4028990219036738,0.3612866082205705,-0.06956568857034051,0.0416124136831033,0.4819471006888827,0.12882068652019948,11,1.0909090909090908
0.2,0.05,2021,15,0.03333333333333333,0.26666666666666666,0.3683539003133774,0.29747991337657814,-0.10168723364671073,0.07087398693679917,0.610154195737462,0.26022405068079624,13,1.1538461538461537
0.2,0.05,2022,7,0.016166281755196306,0.2857142857142857,0.3454040608235768,0.28436246293389156,-0.05968977510929108,0.061041597889685266,0.5410490761163972,0.23778616530554633,6,1.1666666666666667
0.2,0.05,2023,8,0.020833333333333332,0.5,0.343880794942379,0.2878473437757856,0.156119205057621,0.05603345116659339,0.4898359245251177,0.21178306210786096,7,1.1428571428571428
0.2,0.05,2024,2,0.005934718100890208,0.5,0.4483374208211899,0.3869047619047619,0.05166257917881012,0.06143265891642796,0.5293395140199011,0.17502222277901391,2,1.0
0.2,0.075,2021,5,0.011111111111111112,0.0,0.3493227928876877,0.2632287472656055,-0.3493227928876877,0.08609404562208214,0.632250670446527,0.35145891696214665,5,1.0
