fight_id,fighter,side,market_key,american_odds,raw_implied_p,market_overround,fair_market_p,model_p,edge
00e8d4b961a65d21,Bo Nickal,red,win_by_decision,200,0.3333333333333333,1.1950207686431906,0.2789351801072003,0.27416130900382996,-0.004773871103370353
00e8d4b961a65d21,Bo Nickal,red,win_by_ko_tko_dq,205,0.32786885245901637,1.1950207686431906,0.27436247223659044,0.39297813177108765,0.11861565953449721
00e8d4b961a65d21,Bo Nickal,red,win_by_submission,350,0.2222222222222222,1.1950207686431906,0.18595678673813354,0.1381596177816391,-0.04779716895649444
00e8d4b961a65d21,Kyle Daukaus,blue,win_by_decision,875,0.10256410256410256,1.1950207686431906,0.08582620926375394,0.04630875587463379,-0.03951745338912015
00e8d4b961a65d21,Kyle Daukaus,blue,win_by_ko_tko_dq,1150,0.08,1.1950207686431906,0.06694444322572808,0.0817403495311737,0.014795906305445625
00e8d4b961a65d21,Kyle Daukaus,blue,win_by_submission,675,0.12903225806451613,1.1950207686431906,0.10797490842859367,0.0421612448990345,-0.06581366352955917
127ba4a1ccb3d4a6,Diego Lopes,red,win_by_decision,400,0.2,1.1893079207783375,0.16816502816958528,0.12045910209417343,-0.04770592607541185
127ba4a1ccb3d4a6,Diego Lopes,red,win_by_ko_tko_dq,265,0.273972602739726,1.1893079207783375,0.23036305228710308,0.2879490852355957,0.05758603294849263
127ba4a1ccb3d4a6,Diego Lopes,red,win_by_submission,425,0.19047619047619047,1.1893079207783375,0.1601571696853193,0.1849435269832611,0.02478635729794182
127ba4a1ccb3d4a6,Steve Garcia,blue,win_by_decision,380,0.20833333333333334,1.1893079207783375,0.175171904343318,0.21741633117198944,0.04224442682867144
127ba4a1ccb3d4a6,Steve Garcia,blue,win_by_ko_tko_dq,265,0.273972602739726,1.1893079207783375,0.23036305228710308,0.15741004049777985,-0.07295301178932323
127ba4a1ccb3d4a6,Steve Garcia,blue,win_by_submission,2250,0.0425531914893617,1.1893079207783375,0.035779793227571334,0.021765979006886482,-0.014013814220684852
30cdb851f6c63444,Derrick Lewis,blue,win_by_decision,2250,0.0425531914893617,1.1963601688257508,0.03556888017354208,0.0501427985727787,0.014573918399236621
30cdb851f6c63444,Derrick Lewis,blue,win_by_ko_tko_dq,450,0.18181818181818182,1.1963601688257508,0.15197612437786162,0.15542273223400116,0.0034466078561395386
30cdb851f6c63444,Derrick Lewis,blue,win_by_submission,5000,0.0196078431372549,1.1963601688257508,0.016389582040749782,0.03307968005537987,0.016690098014630086
30cdb851f6c63444,Josh Hokit,red,win_by_decision,600,0.14285714285714285,1.1963601688257508,0.11940981201117697,0.14180468022823334,0.02239486821705637
30cdb851f6c63444,Josh Hokit,red,win_by_ko_tko_dq,-110,0.5238095238095238,1.1963601688257508,0.4378359773743156,0.5786570906639099,0.1408211132895943
30cdb851f6c63444,Josh Hokit,red,win_by_submission,250,0.2857142857142857,1.1963601688257508,0.23881962402235393,0.2608281373977661,0.02200851337541218
60de0423ae6ed097,Aiemann Zahabi,blue,win_by_decision,640,0.13513513513513514,1.1892640209913328,0.11362921332009253,0.11455107480287552,0.0009218614827829902
60de0423ae6ed097,Aiemann Zahabi,blue,win_by_ko_tko_dq,1150,0.08,1.1892640209913328,0.06726849428549476,0.06032499298453331,-0.006943501300961455
60de0423ae6ed097,Aiemann Zahabi,blue,win_by_submission,2400,0.04,1.1892640209913328,0.03363424714274738,0.0141843156889081,-0.019449931453839282
60de0423ae6ed097,Sean O'Malley,red,win_by_decision,105,0.4878048780487805,1.1892640209913328,0.41017374564326076,0.43488040566444397,0.024706660021183213
60de0423ae6ed097,Sean O'Malley,red,win_by_ko_tko_dq,165,0.37735849056603776,1.1892640209913328,0.31730421832780553,0.25457054376602173,-0.0627336745617838
60de0423ae6ed097,Sean O'Malley,red,win_by_submission,1350,0.06896551724137931,1.1892640209913328,0.05799008128059894,0.014737945050001144,-0.043252136230597794
9a9b30b3165b62e4,Mauricio Ruffy,red,win_by_decision,380,0.20833333333333334,1.194400499048207,0.17442502200840493,0.19117671251296997,0.016751690504565042
9a9b30b3165b62e4,Mauricio Ruffy,red,win_by_ko_tko_dq,-220,0.6875,1.194400499048207,0.5756025726277362,0.5239153504371643,-0.05168722219057187
9a9b30b3165b62e4,Mauricio Ruffy,red,win_by_submission,1100,0.08333333333333333,1.194400499048207,0.06977000880336195,0.059346433728933334,-0.01042357507442862
9a9b30b3165b62e4,Michael Chandler,blue,win_by_decision,1450,0.06451612903225806,1.194400499048207,0.05401549068647378,0.060901083052158356,0.006885592365684576
9a9b30b3165b62e4,Michael Chandler,blue,win_by_ko_tko_dq,850,0.10526315789473684,1.194400499048207,0.08813053743582563,0.05766358599066734,-0.03046695144515829
9a9b30b3165b62e4,Michael Chandler,blue,win_by_submission,2100,0.045454545454545456,1.194400499048207,0.03805636843819744,0.020722633227705956,-0.01733373521049148
