scope,variant,family,n,positives,observed_rate,mean_probability,log_loss,brier,auc,calibration_error_mean_p_minus_rate
2021,existing_hierarchical_v5,conditional_ko_given_actual_win,450,153,0.34,0.3373890639265313,0.6077708865009461,0.2092558521990742,0.6552672696463546,-0.0026109360734687392
2021,existing_hierarchical_v5,exact_side_ko_two_rows_per_fight,900,153,0.17,0.1693797778438031,0.4295274782550056,0.13352028721560952,0.6750750277799652,-0.0006202221561969201
2021,existing_hierarchical_v5,fight_ko_event,450,153,0.34,0.33875955568760624,0.6191062251935247,0.21464589655737074,0.6292775247023613,-0.0012404443123937847
2021,existing_hierarchical_v5,projected_winner_exact_ko,450,102,0.22666666666666666,0.22184275734358605,0.5186003023139,0.16951020782036752,0.6342123056118999,-0.004823909323080605
2021,full_history_ko_specialist,conditional_ko_given_actual_win,450,153,0.34,0.3407807332608435,0.6334643726813579,0.22016645547938676,0.575372460993376,0.0007807332608434914
2021,full_history_ko_specialist,exact_side_ko_two_rows_per_fight,900,153,0.17,0.17212832826213725,0.4404893852699816,0.13657414450078115,0.6307933258086813,0.0021283282621372412
2021,full_history_ko_specialist,fight_ko_event,450,153,0.34,0.34425665652427445,0.643524492852472,0.225306822674404,0.5296538368433793,0.004256656524274427
2021,full_history_ko_specialist,projected_winner_exact_ko,450,102,0.22666666666666666,0.2242894713041952,0.5296221291248406,0.17306982176110453,0.5751352265043949,-0.002377195362471468
2022,existing_hierarchical_v5,conditional_ko_given_actual_win,432,150,0.3472222222222222,0.34407694238972225,0.5928625385560662,0.2022254313827691,0.6950827423167849,-0.0031452798324999587
2022,existing_hierarchical_v5,exact_side_ko_two_rows_per_fight,864,150,0.1736111111111111,0.175636805891357,0.42372293447374787,0.13110620162091297,0.6942390289449113,0.0020256947802458902
2022,existing_hierarchical_v5,fight_ko_event,432,150,0.3472222222222222,0.351273611782714,0.5999421037897319,0.20596204662096604,0.6787234042553192,0.0040513895604917805
2022,existing_hierarchical_v5,projected_winner_exact_ko,432,103,0.23842592592592593,0.23271930792368653,0.5119500540933897,0.1662155827280227,0.6804084162068049,-0.0057066180022394
2022,full_history_ko_specialist,conditional_ko_given_actual_win,432,150,0.3472222222222222,0.33904852873335284,0.6180855527262983,0.21402756651352015,0.6375531914893617,-0.008173693488869371
2022,full_history_ko_specialist,exact_side_ko_two_rows_per_fight,864,150,0.1736111111111111,0.16935460547861336,0.42978705013898666,0.13415098787884125,0.6825116713352007,-0.004256505632497742
2022,full_history_ko_specialist,fight_ko_event,432,150,0.3472222222222222,0.3387092109572267,0.6325939656772782,0.2207720156805557,0.6009219858156029,-0.008513011264995485
2022,full_history_ko_specialist,projected_winner_exact_ko,432,103,0.23842592592592593,0.22623295044399128,0.5277580839630011,0.17341888396780517,0.6345501224658423,-0.012192975481934654
2023,existing_hierarchical_v5,conditional_ko_given_actual_win,378,115,0.30423280423280424,0.3623903423536686,0.5992681799011776,0.20631409122166544,0.6486030748884113,0.05815753812086438
2023,existing_hierarchical_v5,exact_side_ko_two_rows_per_fight,756,115,0.15211640211640212,0.18142854489110088,0.40670726921895034,0.12409799694809323,0.6646951095435122,0.029312142774698763
2023,existing_hierarchical_v5,fight_ko_event,378,115,0.30423280423280424,0.3628570897822018,0.589605175991272,0.2015040874229552,0.6494296577946768,0.05862428554939758
2023,existing_hierarchical_v5,projected_winner_exact_ko,378,71,0.18783068783068782,0.2410499772783758,0.46828376040045205,0.14844078462823493,0.6496765609946323,0.05321928944768797
2023,full_history_ko_specialist,conditional_ko_given_actual_win,378,115,0.30423280423280424,0.3419604891585925,0.6092804255984594,0.20986213722304475,0.5883617126797818,0.03772768492578826
2023,full_history_ko_specialist,exact_side_ko_two_rows_per_fight,756,115,0.15211640211640212,0.17042713081521693,0.41157401849396225,0.12532292674321058,0.6426778810282846,0.01831072869881481
2023,full_history_ko_specialist,fight_ko_event,378,115,0.30423280423280424,0.340854261630434,0.6103673099230655,0.20993021204012616,0.5731856505207472,0.03662145739762973
2023,full_history_ko_specialist,projected_winner_exact_ko,378,71,0.18783068783068782,0.22895222500294626,0.4731256012743056,0.14971442685038847,0.6338945726476121,0.04112153717225844
2024,existing_hierarchical_v5,conditional_ko_given_actual_win,335,106,0.3164179104477612,0.349260814787474,0.5648940326623819,0.19075123152824983,0.7094422015325039,0.03284290433971282
2024,existing_hierarchical_v5,exact_side_ko_two_rows_per_fight,670,106,0.1582089552238806,0.17983451939644868,0.39639778220755406,0.12170507946401793,0.7215810250234176,0.021625564172568085
2024,existing_hierarchical_v5,fight_ko_event,335,106,0.3164179104477612,0.35966903879289736,0.5896910877614291,0.2022463830613958,0.6727774573617863,0.04325112834513617
2024,existing_hierarchical_v5,projected_winner_exact_ko,335,74,0.2208955223880597,0.24715329417070545,0.48601998696718074,0.15812806159847081,0.7005281143212178,0.02625777178264574
2024,full_history_ko_specialist,conditional_ko_given_actual_win,335,106,0.3164179104477612,0.3381751351392091,0.5993911620753478,0.2057232709475262,0.638357913817253,0.02175722469144792
2024,full_history_ko_specialist,exact_side_ko_two_rows_per_fight,670,106,0.1582089552238806,0.17174347259266043,0.4069709943874924,0.12541042366165245,0.6881941656630537,0.013534517368779836
2024,full_history_ko_specialist,fight_ko_event,335,106,0.3164179104477612,0.3434869451853208,0.6086856269120611,0.20965945809521302,0.6207464777127791,0.027069034737559616
2024,full_history_ko_specialist,projected_winner_exact_ko,335,74,0.2208955223880597,0.23746176276817674,0.5132211950963294,0.16705107374586556,0.61587449518484,0.01656624038011703
pooled_2021_2024,existing_hierarchical_v5,conditional_ko_given_actual_win,1595,524,0.3285266457680251,0.3476189593998681,0.5927124692954165,0.20276796795654728,0.6743198551685305,0.019092313631842994
pooled_2021_2024,existing_hierarchical_v5,exact_side_ko_two_rows_per_fight,3190,524,0.16426332288401255,0.1761257392736201,0.4155888888474642,0.12815188264205887,0.6870937677167384,0.011862416389607555
pooled_2021_2024,existing_hierarchical_v5,fight_ko_event,1595,524,0.3285266457680251,0.3522514785472402,0.600746119811304,0.20657513539969832,0.6549169286035025,0.02372483277921511
pooled_2021_2024,existing_hierarchical_v5,projected_winner_exact_ko,1595,350,0.219435736677116,0.23465656851790515,0.4980316717711447,0.1612340078261014,0.6626207687894435,0.01522083184078915
pooled_2021_2024,full_history_ko_specialist,conditional_ko_given_actual_win,1595,524,0.3285266457680251,0.34004390567634546,0.6164112643610226,0.21302821149673792,0.6085068887605933,0.011517259908320365
pooled_2021_2024,full_history_ko_specialist,exact_side_ko_two_rows_per_fight,3190,524,0.16426332288401255,0.17089307589430466,0.42369811356869075,0.13090667713140947,0.6603604622529679,0.0066297530102921165
pooled_2021_2024,full_history_ko_specialist,fight_ko_event,1595,524,0.3285266457680251,0.3417861517886093,0.625388804465615,0.21714803736084384,0.5778112771826288,0.013259506020584233
pooled_2021_2024,full_history_ko_specialist,projected_winner_exact_ko,1595,350,0.219435736677116,0.22868747853112537,0.5122834031455502,0.16636522929210076,0.6121170395869191,0.009251741854009371
