fold,feature,gain,weight,cover,gain_rank,used
2021,recent_form_recent_td_avg_diff,9.03501033782959,11.0,545.2147827148438,42,True
2021,recent_form_recent_win_pct_diff,0.0,0.0,0.0,117,False
2021,recent_form_sapm_diff,10.21805191040039,5.0,547.3697509765625,33,True
2021,recent_form_splm_diff,12.889739036560059,1.0,555.2642211914062,14,True
2021,recent_form_str_acc_diff,0.0,0.0,0.0,118,False
2021,recent_form_str_def_diff,0.0,0.0,0.0,119,False
2021,recent_form_sub_avg_diff,0.0,0.0,0.0,120,False
2021,recent_form_sub_win_rate_diff,12.08474349975586,17.0,551.741455078125,18,True
2021,recent_form_td_acc_diff,6.729513168334961,1.0,540.2048950195312,54,True
2021,recent_form_td_avg_diff,0.0,0.0,0.0,121,False
2021,recent_form_td_def_diff,0.0,0.0,0.0,122,False
2021,recent_form_win_pct_diff,8.06344223022461,1.0,549.4287109375,47,True
2021,recent_form_win_streak_diff,0.0,0.0,0.0,123,False
2021,recent_form_wins_diff,9.229084014892578,1.0,548.3190307617188,39,True
2021,recent_form_worst_loss_elo_diff,9.098894119262695,7.0,547.4547729492188,41,True
2021,recent_ko_losses_3_diff,0.0,0.0,0.0,124,False
2021,recent_sapm_diff,10.555597305297852,1.0,548.0499877929688,29,True
2021,recent_splm_diff,9.609353065490723,1.0,559.0299072265625,36,True
2021,recent_td_avg_diff,0.0,0.0,0.0,125,False
2021,recent_win_pct_diff,0.0,0.0,0.0,126,False
2021,sapm_diff,0.0,0.0,0.0,127,False
2021,splm_diff,10.640761375427246,1.0,552.1512451171875,27,True
2021,str_acc_diff,0.0,0.0,0.0,128,False
2021,str_def_diff,7.880755424499512,1.0,540.7863159179688,49,True
2021,style_all_round_finisher_score_diff,11.792831420898438,2.0,549.3118896484375,22,True
2021,style_control_wrestler_score_diff,13.31577205657959,7.0,545.9560546875,13,True
2021,style_decision_technician_score_diff,0.0,0.0,0.0,129,False
2021,style_flexibility_score_diff,0.0,0.0,0.0,130,False
2021,style_ko_finisher_score_diff,19.151514053344727,10.0,555.0816650390625,9,True
2021,style_primary_score_diff,11.676883697509766,9.0,552.56494140625,23,True
2021,style_score_spread_diff,12.15503978729248,1.0,549.4032592773438,17,True
2021,style_submission_grappler_score_diff,7.536020278930664,1.0,537.3578491210938,52,True
2021,sub_avg_diff,0.0,0.0,0.0,131,False
2021,sub_win_rate_diff,15.6848783493042,3.0,553.439697265625,10,True
2021,submission_dependency_diff,10.925708770751953,1.0,556.62353515625,24,True
2021,submission_mismatch_diff,0.0,0.0,0.0,132,False
2021,submission_win_concentration_diff,20.13336753845215,12.0,556.087158203125,8,True
2021,td_acc_diff,0.0,0.0,0.0,133,False
2021,td_avg_diff,23.200164794921875,5.0,553.4444580078125,4,True
2021,td_def_diff,0.0,0.0,0.0,134,False
2021,victory_concentration_index_diff,0.0,0.0,0.0,135,False
2021,weight_diff,10.694579124450684,14.0,550.3738403320312,26,True
2021,win_method_entropy_diff,0.0,0.0,0.0,136,False
2021,win_pct_diff,0.0,0.0,0.0,137,False
2021,win_streak_diff,0.0,0.0,0.0,138,False
2021,wins_diff,0.0,0.0,0.0,139,False
2021,worst_loss_elo_diff,0.0,0.0,0.0,140,False
2021,wrestling_mismatch_diff,11.97395133972168,5.0,549.7017822265625,19,True
2022,age_diff,0.0,0.0,0.0,50,False
2022,age_squared_diff,0.0,0.0,0.0,51,False
2022,age_x_career_ko_losses_diff,21.357267379760742,32.0,634.2536010742188,7,True
2022,aggression_index_diff,8.812769889831543,3.0,625.0267944335938,39,True
2022,avg_fight_time_diff,0.0,0.0,0.0,52,False
2022,avg_opponent_elo_diff,0.0,0.0,0.0,53,False
2022,best_win_elo_diff,0.0,0.0,0.0,54,False
