fight_id,event_name,fight_display,refresh_timestamp,red_fighter,blue_fighter,predicted_side,bet_slug,model_probability,normalized_market_probability,signed_logit_residual,raw_implied_probability,american_odds,decimal_odds,target,won,profit_units
7ecb154439aca0f9,UFC Fight Night: Medic vs. Rodriguez,Vlasto Cepo vs Gilbert Urbina,2026-07-31 21:20:50.686938+00:00,Vlasto Cepo,Gilbert Urbina,red,red_ko,0.6670624021587006,0.5952220636160414,0.3093325788775154,0.7142857142857143,-250.0,1.4,,,
4ace64aa144389c5,UFC Fight Night: Ankalaev vs. Guskov,Magomed Zaynukov vs Damian Rzepecki,2026-07-24 20:31:56.149697+00:00,Magomed Zaynukov,Damian Rzepecki,red,red_dec,0.42833017669044976,0.3424320870334568,0.3638074426923632,0.4166666666666667,140.0,2.4,,,
bbd05484f8c8d739,UFC Fight Night: Hernandez vs. Rodrigues,Chris Padilla vs Nasrat Haqparast,2026-08-21 20:39:18.694686+00:00,Chris Padilla,Nasrat Haqparast,red,red_dec,0.3501266154992439,0.27192505917427706,0.3663947697955333,0.32786885245901637,205.0,3.0500000000000003,,,
fb77b08a90b92d5b,UFC Fight Night: Hernandez vs. Rodrigues,Anthony Hernandez vs Gregory Rodrigues,2026-08-21 20:39:18.694686+00:00,Anthony Hernandez,Gregory Rodrigues,red,red_dec,0.21131580366222563,0.1520183671117687,0.40184535818364253,0.18181818181818182,450.0,5.5,,,
13380a8d6cdbb381,UFC Fight Night: Gamrot vs. Salkilld,Diyar Nurgozhay vs Bruno Lopes,2026-08-07 20:54:02.712432+00:00,Diyar Nurgozhay,Bruno Lopes,red,red_ko,0.44878506593870227,0.37074705111402356,0.3234325582674965,0.4444444444444444,125.0,2.25,,,
35985895d4ef321e,UFC Fight Night: Fiziev vs. Torres,Abus Magomedov vs Michal Oleksiejczuk,2026-06-26 23:21:05.564609+00:00,Abus Magomedov,Michal Oleksiejczuk,red,red_dec,0.13910331881870294,0.09889263905078374,0.38683205967365897,0.11764705882352941,750.0,8.5,,,
e79e4d13546d2360,UFC 330: Makhachev vs. Machado Garry,Vicente Luque vs Tresean Gore,2026-08-14 20:42:43.693741+00:00,Vicente Luque,Tresean Gore,blue,blue_dec,0.2118457041851377,0.16374021578167974,0.31682251138703577,0.2,400.0,5.0,,,
a10deecfb8558335,UFC Fight Night: Gamrot vs. Salkilld,Mateusz Gamrot vs Quillan Salkilld,2026-08-07 20:54:02.712432+00:00,Mateusz Gamrot,Quillan Salkilld,blue,blue_dec,0.21704140721196574,0.1641393823110726,0.34475425508468804,0.2,400.0,5.0,,,
64829a32c78ab656,UFC Fight Night: Gamrot vs. Salkilld,Louie Sutherland vs Jose Montanha,2026-08-07 20:54:02.712432+00:00,Louie Sutherland,Jose Montanha,red,red_dec,0.2903043403837803,0.21857824073021143,0.3800645897480306,0.26666666666666666,275.0,3.75,,,
5e7f4ba1210f433d,UFC Fight Night: Fiziev vs. Torres,Nursulton Ruziboev vs Andrey Pulyaev,2026-06-26 23:21:05.564609+00:00,Nursulton Ruziboev,Andrey Pulyaev,red,red_dec,0.33456742267708,0.2616076982181405,0.35003031143279795,0.31746031746031744,215.0,3.1500000000000004,,,
a6873fd459587d17,UFC Fight Night: Hernandez vs. Rodrigues,Terrance Chatman vs Anthony Wint,2026-08-21 20:39:18.694686+00:00,Anthony Wint,Terrance Chatman,red,red_dec,0.12197992001582811,0.09306089419380943,0.3030082323099088,0.1111111111111111,800.0,9.0,,,
1162a74e3604c488,UFC 329: McGregor vs. Holloway 2,Ryan Gandra vs Zach Reese,2026-07-10 20:36:17.559163+00:00,Ryan Gandra,Zach Reese,red,red_dec,0.08565744062531994,0.06362259317089101,0.3212007626046489,0.07692307692307693,1200.0,13.0,,,
365fd759c03e93cf,UFC 330: Makhachev vs. Machado Garry,Islam Makhachev vs Ian Machado Garry,2026-08-14 20:42:43.693741+00:00,Islam Makhachev,Ian Machado Garry,red,red_dec,0.48626543069761574,0.37798553794463513,0.4431553064532192,0.45454545454545453,120.0,2.2,,,
