fight_id,fighter,side,market_key,american_odds,fair_market_p,model_p,edge,actual_hit,mapped_predictors,total_predictors
701c97405da76603,Kamaru Usman,blue,win_by_submission,2000,0.040857523643459896,0.010335089638829231,-0.030522434004630665,0,346,399
701c97405da76603,Kamaru Usman,blue,win_by_decision,423,0.16405506625481028,0.19485615193843842,0.030801085683628132,0,346,399
9e525f939fba3e73,Ezra Elliott,red,win_by_ko_tko_dq,750,0.09711989454039585,0.08891323953866959,-0.008206655001726265,0,346,399
9e525f939fba3e73,Ezra Elliott,red,win_by_submission,300,0.2063797758983412,0.15708982944488525,-0.04928994645345594,0,346,399
9e525f939fba3e73,Ezra Elliott,red,win_by_decision,400,0.16510382071867297,0.19282259047031403,0.02771876975164106,1,346,399
9e525f939fba3e73,Damien Anderson,blue,win_by_ko_tko_dq,450,0.15009438247152088,0.11716710776090622,-0.03292727471061466,0,346,399
9e525f939fba3e73,Damien Anderson,blue,win_by_submission,333,0.19065106318553457,0.11566519737243652,-0.07498586581309805,0,346,399
9e525f939fba3e73,Damien Anderson,blue,win_by_decision,333,0.19065106318553457,0.25515061616897583,0.06449955298344126,0,346,399
c64c6ba6eb1e1d06,Tommy McMillen,red,win_by_ko_tko_dq,253,0.24536343838408095,0.2900627851486206,0.044699346764539655,1,346,399
c64c6ba6eb1e1d06,Tommy McMillen,red,win_by_submission,328,0.20236750876070228,0.15771476924419403,-0.04465273951650825,0,346,399
c64c6ba6eb1e1d06,Tommy McMillen,red,win_by_decision,525,0.13858126999932893,0.15934741497039795,0.020766144971069017,0,346,399
c64c6ba6eb1e1d06,Alberto Montes,blue,win_by_ko_tko_dq,750,0.10189799264656538,0.07558856904506683,-0.026309423601498544,0,346,399
c64c6ba6eb1e1d06,Alberto Montes,blue,win_by_submission,333,0.2000307015001861,0.1301925629377365,-0.06983813856244958,0,346,399
c64c6ba6eb1e1d06,Alberto Montes,blue,win_by_decision,675,0.11175908870913623,0.1197226271033287,0.007963538394192476,0,346,399
e05155c1b5c2dc74,RJ Harris,red,win_by_ko_tko_dq,355,0.19115820716063356,0.2047494500875473,0.013591242926913744,1,346,399
e05155c1b5c2dc74,RJ Harris,red,win_by_submission,588,0.12642003525884923,0.07110817730426788,-0.05531185795458135,0,346,399
e05155c1b5c2dc74,RJ Harris,red,win_by_decision,500,0.14496164043014712,0.17221403121948242,0.027252390789335307,0,346,399
e05155c1b5c2dc74,Alvin Hines,blue,win_by_ko_tko_dq,200,0.28992328086029423,0.2962052524089813,0.006281971548687093,0,346,399
e05155c1b5c2dc74,Alvin Hines,blue,win_by_submission,1250,0.06442739574673205,0.02767975814640522,-0.03674763760032683,0,346,399
e05155c1b5c2dc74,Alvin Hines,blue,win_by_decision,375,0.18310944054334372,0.19323121011257172,0.010121769569228,0,346,399
f2abca7379982d4f,Chase Hooper,red,win_by_ko_tko_dq,370,0.18479665026229536,0.18516458570957184,0.00036793544727647953,0,346,399
f2abca7379982d4f,Chase Hooper,red,win_by_submission,160,0.33405548316645706,0.29001036286354065,-0.04404512030291641,1,346,399
f2abca7379982d4f,Chase Hooper,red,win_by_decision,310,0.211840062495802,0.2777414619922638,0.06590139949646179,0,346,399
f2abca7379982d4f,Mitch Ramirez,blue,win_by_ko_tko_dq,488,0.14771160820285514,0.11383343487977982,-0.03387817332307533,0,346,399
f2abca7379982d4f,Mitch Ramirez,blue,win_by_submission,2400,0.03474177024931153,0.012335583567619324,-0.022406186681692204,0,346,399
f2abca7379982d4f,Mitch Ramirez,blue,win_by_decision,900,0.08685442562327883,0.08755370229482651,0.0006992766715476773,0,346,399
f2eb569176e46edf,Jean-Paul Lebosnoyani,red,win_by_ko_tko_dq,700,0.10806510451028026,0.11851220577955246,0.010447101269272202,0,346,399
f2eb569176e46edf,Jean-Paul Lebosnoyani,red,win_by_submission,800,0.09605787067580467,0.06034553796052933,-0.03571233271527534,0,346,399
f2eb569176e46edf,Jean-Paul Lebosnoyani,red,win_by_decision,420,0.16625400693889272,0.1657399982213974,-0.0005140087174953234,1,346,399
f2eb569176e46edf,Seokhyeon Ko,blue,win_by_ko_tko_dq,425,0.16467063544423657,0.10221914947032928,-0.06245148597390729,0,346,399
f2eb569176e46edf,Seokhyeon Ko,blue,win_by_submission,750,0.10170833365673436,0.06546693295240402,-0.03624140070433034,0,346,399
f2eb569176e46edf,Seokhyeon Ko,blue,win_by_decision,138,0.3632440487740513,0.4120126962661743,0.04876864749212301,0,346,399
