fight_id,fighter,side,american_odds,fair_market_p,model_p,edge,actual_win,mapped_predictors,total_predictors,one_sided_state
012c307c9d446c4d,Shara Magomedov,red,-425,0.774798927613941,0.8156833052635193,0.04088437764957831,1,373,432,0
012c307c9d446c4d,Michel Pereira,blue,325,0.22520107238605896,0.1653929203748703,-0.059808152011188664,0,373,432,0
0e60ab32f3d03929,Daniil Donchenko,red,-500,0.7894736842105263,0.8185360431671143,0.02906235895658793,1,373,432,0
0e60ab32f3d03929,Theodor Berggren,blue,350,0.21052631578947367,0.1844211369752884,-0.02610517881418528,0,373,432,0
1a7119f3996b5635,Kaan Ofli,red,190,0.33099297893681046,0.3321382701396942,0.001145291202883758,1,373,432,0
1a7119f3996b5635,Javier Reyes,blue,-230,0.6690070210631895,0.6506457924842834,-0.018361228578906097,0,373,432,0
35985895d4ef321e,Abus Magomedov,red,-105,0.48427672955974843,0.5340312123298645,0.04975448277011607,1,373,432,0
35985895d4ef321e,Michal Oleksiejczuk,blue,-120,0.5157232704402516,0.48370927572250366,-0.03201399471774791,0,373,432,0
48b1ee7ab45add4c,Abdul Rakhman Yakhyaev,red,-750,0.8353510895883778,0.8273652791976929,-0.007985810390684911,1,373,432,0
48b1ee7ab45add4c,Julius Walker,blue,475,0.1646489104116223,0.15181584656238556,-0.012833063849236742,0,373,432,0
5e7f4ba1210f433d,Nursulton Ruziboev,red,-185,0.6224665518611737,0.5438703894615173,-0.07859616239965639,1,373,432,0
5e7f4ba1210f433d,Andrey Pulyaev,blue,154,0.3775334481388264,0.5014510154724121,0.12391756733358572,0,373,432,0
6a35ff33b8597904,Farman Hasanov,red,-170,0.5967139656460044,0.5601415634155273,-0.036572402230477086,1,373,432,0
6a35ff33b8597904,Eric Nolan,blue,135,0.4032860343539955,0.41711142659187317,0.013825392237877654,0,373,432,0
809814f03ff3140c,Nazim Sadykhov,red,-190,0.6209150326797385,0.5122377276420593,-0.10867730503767914,0,373,432,0
809814f03ff3140c,Matheus Camilo,blue,150,0.3790849673202614,0.4990256428718567,0.11994067555159527,1,373,432,0
81cde317c156723b,Asu Almabayev,red,-330,0.7229381443298969,0.7312617897987366,0.00832364546883968,1,135,432,1
81cde317c156723b,Charles Johnson,blue,240,0.27706185567010305,0.2839961647987366,0.00693430912863352,0,135,432,1
ae0a91c8f92f4758,Bekzat Almakhan,red,140,0.39325842696629215,0.45249688625335693,0.05923845928706478,0,373,432,0
ae0a91c8f92f4758,Jean Matsumoto,blue,-180,0.6067415730337079,0.5695943236351013,-0.037147249398606585,1,373,432,0
c13dc0cccef263f7,Rafael Fiziev,red,-110,0.5,0.49487826228141785,-0.005121737718582153,1,373,432,0
c13dc0cccef263f7,Manuel Torres,blue,-110,0.5,0.49150803685188293,-0.008491963148117065,0,373,432,0
d83294b031502177,Ikram Aliskerov,red,-275,0.6910401647785788,0.6377170085906982,-0.05332315618788053,1,373,432,0
d83294b031502177,Brunno Ferreira,blue,205,0.3089598352214212,0.3554200232028961,0.04646018798147494,0,373,432,0
f1cb2e7ef096ec7c,Tahir Abdullayev,red,120,0.4310344827586207,0.43855682015419006,0.007522337395569345,1,373,432,0
f1cb2e7ef096ec7c,Jefferson Nascimento,blue,-150,0.5689655172413793,0.5574749708175659,-0.01149054642381342,0,373,432,0
