scope,variant,family,n,positives,observed_rate,mean_probability,log_loss,brier,auc,calibration_error_mean_p_minus_rate
2022,existing_hierarchical_v5,conditional_ko_given_actual_win,432,150,0.3472222222222222,0.34407694238972225,0.5928625385560662,0.2022254313827691,0.6950827423167849,-0.0031452798324999587
2022,existing_hierarchical_v5,exact_side_ko_two_rows_per_fight,864,150,0.1736111111111111,0.175636805891357,0.42372293447374787,0.13110620162091297,0.6942390289449113,0.0020256947802458902
2022,existing_hierarchical_v5,fight_ko_event,432,150,0.3472222222222222,0.351273611782714,0.5999421037897319,0.20596204662096604,0.6787234042553192,0.0040513895604917805
2022,existing_hierarchical_v5,projected_winner_exact_ko,432,103,0.23842592592592593,0.23271930792368653,0.5119500540933897,0.1662155827280227,0.6804084162068049,-0.0057066180022394
2022,ko_specialist_no_ml,conditional_ko_given_actual_win,432,150,0.3472222222222222,0.34203107360129553,0.6511915213337653,0.22874195120599966,0.5580023640661939,-0.005191148620926678
2022,ko_specialist_no_ml,exact_side_ko_two_rows_per_fight,864,150,0.1736111111111111,0.17190861568274426,0.44470020336683513,0.13916585165414141,0.6413165266106443,-0.0017024954283668403
2022,ko_specialist_no_ml,fight_ko_event,432,150,0.3472222222222222,0.3438172313654885,0.6504242997578131,0.2288328688115936,0.5195862884160757,-0.003404990856733736
2022,ko_specialist_no_ml,projected_winner_exact_ko,432,103,0.23842592592592593,0.22700804086128917,0.5537906573812001,0.1825372001354807,0.560391890695547,-0.011417885064636757
2022,ko_specialist_plus_v5_ml,conditional_ko_given_actual_win,432,150,0.3472222222222222,0.34192353925081315,0.6503349053283332,0.2283918454997236,0.5613829787234043,-0.005298682971409063
2022,ko_specialist_plus_v5_ml,exact_side_ko_two_rows_per_fight,864,150,0.1736111111111111,0.17177177882765818,0.4441937431517065,0.139006789257703,0.6418674136321195,-0.0018393322834529269
2022,ko_specialist_plus_v5_ml,fight_ko_event,432,150,0.3472222222222222,0.34354355765531636,0.6493711728753155,0.22838666082456013,0.5253900709219859,-0.0036786645669058538
2022,ko_specialist_plus_v5_ml,projected_winner_exact_ko,432,103,0.23842592592592593,0.22664195316727512,0.5528186256537663,0.1822167078452681,0.5620444418213474,-0.011783972758650813
2023,existing_hierarchical_v5,conditional_ko_given_actual_win,378,115,0.30423280423280424,0.3623903423536686,0.5992681799011776,0.20631409122166544,0.6486030748884113,0.05815753812086438
2023,existing_hierarchical_v5,exact_side_ko_two_rows_per_fight,756,115,0.15211640211640212,0.18142854489110088,0.40670726921895034,0.12409799694809323,0.6646951095435122,0.029312142774698763
2023,existing_hierarchical_v5,fight_ko_event,378,115,0.30423280423280424,0.3628570897822018,0.589605175991272,0.2015040874229552,0.6494296577946768,0.05862428554939758
2023,existing_hierarchical_v5,projected_winner_exact_ko,378,71,0.18783068783068782,0.2410499772783758,0.46828376040045205,0.14844078462823493,0.6496765609946323,0.05321928944768797
2023,ko_specialist_no_ml,conditional_ko_given_actual_win,378,115,0.30423280423280424,0.3473404814641942,0.614584617354083,0.21169108342684526,0.5808232765746404,0.043107677231389974
2023,ko_specialist_no_ml,exact_side_ko_two_rows_per_fight,756,115,0.15211640211640212,0.17418259889633989,0.41511906960013595,0.12602873415120738,0.6297225802075561,0.022066196779937763
2023,ko_specialist_no_ml,fight_ko_event,378,115,0.30423280423280424,0.34836519779267977,0.6135661552540781,0.21123178435632,0.5656968093899818,0.04413239355987553
2023,ko_specialist_no_ml,projected_winner_exact_ko,378,71,0.18783068783068782,0.2327977425842437,0.47842682038522244,0.15113554352894584,0.6071936505023627,0.04496705475355589
2023,ko_specialist_plus_v5_ml,conditional_ko_given_actual_win,378,115,0.30423280423280424,0.3472853541058838,0.6171831248924384,0.21281844896280147,0.574772689700777,0.04305254987307955
2023,ko_specialist_plus_v5_ml,exact_side_ko_two_rows_per_fight,756,115,0.15211640211640212,0.1742692485134652,0.41621641205198145,0.12632253498395418,0.6258427728413485,0.02215284639706308
2023,ko_specialist_plus_v5_ml,fight_ko_event,378,115,0.30423280423280424,0.3485384970269304,0.6147595745200048,0.2117591420671706,0.5590841461398578,0.04430569279412616
2023,ko_specialist_plus_v5_ml,projected_winner_exact_ko,378,71,0.18783068783068782,0.23231865744006372,0.4795062441883952,0.1514991498244997,0.6008625040143138,0.0444879696093759
2024,existing_hierarchical_v5,conditional_ko_given_actual_win,335,106,0.3164179104477612,0.349260814787474,0.5648940326623819,0.19075123152824983,0.7094422015325039,0.03284290433971282
