year,bets,wins,profit_units,roi,avg_signed_logit_residual,avg_price_edge,avg_model_prob,avg_decimal_odds
2025,252,76,0.5598901098901194,0.002221786150357617,0.3078929443636496,0.06880647478316054,0.36365218711869113,4.854467282355853
2026,79,29,32.981469979296065,0.41748696176324135,0.3083265386888319,0.09597457629029872,0.35638896734276904,5.2674869617632405
