fight_id,event_name,fight_display,refresh_timestamp,red_fighter,blue_fighter,v5_model_p_red,predicted_side,bet_fighter,bet_slug,model_probability,normalized_market_probability,raw_implied_probability,american_odds,decimal_odds,actual_winner,actual_method,target,won,stake_units,profit_units
307ea95ad7ebe466,UFC Fight Night: Du Plessis vs. Usman,Anna Melisano vs Dione Barbosa,2026-07-17 20:16:59.459648+00:00,Anna Melisano,Dione Barbosa,0.2082557140522101,blue,Dione Barbosa,blue_sub,0.3989792344032473,0.4219501899535669,0.5121951219512195,-105.0,1.9523809523809523,Dione Barbosa,Submission,4,1,1.0,0.9523809523809523
410e6b9e01660b35,UFC Fight Night: Du Plessis vs. Usman,Alden Coria vs Stewart Nicoll,2026-07-17 20:16:59.459648+00:00,Alden Coria,Stewart Nicoll,0.902358988577186,red,Alden Coria,red_dec,0.3472879557553826,0.2801605163701218,0.3333333333333333,200.0,3.0,Alden Coria,Decision - Unanimous,2,1,1.0,2.0
c13dc0cccef263f7,UFC Fight Night: Fiziev vs. Torres,Rafael Fiziev vs Manuel Torres,2026-06-26 23:21:05.564609+00:00,Rafael Fiziev,Manuel Torres,0.5098181373702144,red,Rafael Fiziev,red_ko,0.3124415996297289,0.3070823626251223,0.36363636363636365,175.0,2.75,Rafael Fiziev,KO/TKO,0,1,1.0,1.75
8e482cead0c7eb15,UFC 330: Makhachev vs. Machado Garry,Edson Barboza vs Esteban Ribovics,2026-08-14 20:42:43.693741+00:00,Edson Barboza,Esteban Ribovics,0.1666336507561855,blue,Esteban Ribovics,blue_ko,0.5682225548877936,0.5287452790600083,0.6363636363636364,-175.0,1.5714285714285714,Esteban Ribovics,KO/TKO,3,1,1.0,0.5714285714285714
0eba299c9b6760fa,UFC Fight Night: Hernandez vs. Rodrigues,Reinier de Ridder vs Roman Dolidze,2026-08-21 20:39:18.694686+00:00,Reinier de Ridder,Roman Dolidze,0.7968586702585095,red,Reinier de Ridder,red_dec,0.419743575861989,0.3789188335023166,0.45454545454545453,120.0,2.2,Reinier de Ridder,KO/TKO,0,0,1.0,-1.0
eb8753ed0476b3d1,UFC Fight Night: Medic vs. Rodriguez,Aleksandar Rakic vs Marcin Tybura,2026-07-31 21:20:50.686938+00:00,Aleksandar Rakic,Marcin Tybura,0.7872495934028725,red,Aleksandar Rakic,red_dec,0.3896249853456285,0.2998618489219282,0.35714285714285715,180.0,2.8,Aleksandar Rakic,Decision - Unanimous,2,1,1.0,1.7999999999999998
4700d42c9869674a,UFC 330: Makhachev vs. Machado Garry,Mackenzie Dern vs Gillian Robertson,2026-08-14 20:42:43.693741+00:00,Mackenzie Dern,Gillian Robertson,0.6322861785768025,red,Mackenzie Dern,red_dec,0.3585361934266688,0.3155212720315907,0.37735849056603776,165.0,2.65,Mackenzie Dern,Decision - Unanimous,2,1,1.0,1.65
f78f34ef2ee7b02c,UFC Fight Night: Medic vs. Rodriguez,Nina Milosevic vs Hailey Cowan,2026-07-31 21:20:50.686938+00:00,Nina Milosevic,Hailey Cowan,0.8213377812256463,red,Nina Milosevic,red_dec,0.3976677416004372,0.3347398745106298,0.4,150.0,2.5,Nina Milosevic,KO/TKO,0,0,1.0,-1.0
e7077d030d5fc15f,UFC 330: Makhachev vs. Machado Garry,Neil Magny vs Ramiz Brahimaj,2026-08-14 20:42:43.693741+00:00,Neil Magny,Ramiz Brahimaj,0.4723458338658812,blue,Ramiz Brahimaj,blue_sub,0.3107230099113386,0.3413865546218487,0.4166666666666667,140.0,2.4,Neil Magny,KO/TKO,0,0,1.0,-1.0
360b13f97e7ca703,UFC 330: Makhachev vs. Machado Garry,Rafael Tobias vs Lucas Fernando,2026-08-14 20:42:43.693741+00:00,Rafael Tobias,Lucas Fernando,0.293183226956325,blue,Lucas Fernando,blue_ko,0.4315604169038176,0.3889081455805893,0.47619047619047616,110.0,2.1,Lucas Fernando,KO/TKO,3,1,1.0,1.1
