logit_bucket,bets,wins,profit_units,roi,avg_signed_logit_residual,avg_price_edge,avg_model_prob,avg_decimal_odds
<0,167,24,166.55833333333334,0.9973552894211577,-0.08752783116625132,0.037224901516011474,0.1405166123553129,22.58712020403637
0-.05,60,11,39.2,0.6533333333333334,0.024432231477791076,0.06643259706587094,0.20115328713630637,15.2375
.05-.10,53,18,124.6823857302118,2.3524978439662605,0.07788761605419528,0.0922123584899065,0.2728865837221438,12.082686523211544
.10-.15,41,14,71.75,1.75,0.13106562858196769,0.0866419996430008,0.3038586799691363,10.040301974448315
.15-.20,97,18,15.5,0.15979381443298968,0.1765340777636863,0.07216139847135644,0.2588398485761328,7.636176194939081
.20-.25,107,29,35.60606060606061,0.3327669215519683,0.22753321083901284,0.06091705585524738,0.29530674045052485,6.693939843472554
.25-.30,80,18,-18.921678321678318,-0.23652097902097896,0.27446731560993665,0.07758100684984182,0.3455403776839375,4.960770687645687
.30-.40,126,50,50.67645832428442,0.40219411368479696,0.3386336344618817,0.06998582578937763,0.3750084729066917,4.574376597336816
.40+,41,14,-1.119480519480521,-0.02730440291415905,0.44882166316107375,0.09294825789204746,0.4205023880775382,4.028598917202786
