fight_id,date,market_p,v5_p,cal_p,bucket,k_applied,y
85e94a6c071fd9fa,2026-03-28,0.5330897279740154,0.5355647930617712,0.5368840351814764,50-60%,1.533299179911695,0
9a0ecee6e8ca173f,2026-03-28,0.4216237416655772,0.4357565529787198,0.4433609700887851,40-50%,1.5349123073491988,1
6102e7a6dcbc62f0,2026-03-28,0.8540284360189573,0.8687325836501822,0.8821599156534117,80%+,1.9999999697914885,1
f9f5071b993a5f4b,2026-03-28,0.2815013404825737,0.2835008273196517,0.28152423074371885,<30%,0.011472419453922142,0
e32dc26b11d1f81d,2026-03-28,0.5783762583344229,0.6101008685644046,0.6266640004031949,50-60%,1.533299179911695,0
a76e14495e61cf19,2026-03-28,0.5667244367417678,0.6084680866885154,0.6301374644480429,50-60%,1.533299179911695,1
fa96d6252579b51e,2026-03-28,0.7050037341299478,0.7002176098029642,0.6985946580498513,70-80%,1.33701242654353,0
689384b01b40ef5c,2026-03-28,0.6955128205128205,0.7266204448558566,0.7159800348841444,60-70%,0.6506438648360436,0
08d4e3864c44f8a5,2026-03-28,0.4812406203101549,0.4947339930382245,0.5019561677359011,40-50%,1.5349123073491988,0
1c50e43770ba84fc,2026-03-28,0.5,0.5194427837284014,0.5297913146792418,50-60%,1.533299179911695,1
dbf1ee1a1912c735,2026-03-28,0.7696245733788397,0.7969875630038648,0.8056452873164271,70-80%,1.33701242654353,1
796e1151896195aa,2026-03-28,0.7806354009077155,0.8123588159063236,0.8222224144968903,70-80%,1.33701242654353,1
346e3897c2ead99a,2026-03-21,0.6803652968036529,0.7290277951592199,0.7125622250319388,60-70%,0.6506438648360436,1
fa534aaa5b997a69,2026-03-21,0.6596858638743455,0.6950286767844288,0.6829138705140382,60-70%,0.6506438648360436,1
5ee11b727e89e8ad,2026-03-21,0.6097259658580413,0.6632899030674978,0.644969385987755,60-70%,0.6506438648360436,1
43e26b46cbb51985,2026-03-21,0.813463098134631,0.7622521879273412,0.7021302139219956,80%+,1.9999999697914885,1
562d916f55918901,2026-03-21,0.2160727824109173,0.2155164280944038,0.21606639378557882,<30%,0.011472419453922142,0
4e58bcc0d27042fd,2026-03-21,0.6643612693246542,0.7177997535908772,0.6997192131757444,60-70%,0.6506438648360436,0
3ee578ddd071ad4c,2026-03-21,0.5514173703256936,0.5288554968358329,0.5167689181169809,50-60%,1.533299179911695,1
3b9f50f07d9a1601,2026-03-21,0.3238524359335398,0.3193867975348032,0.32385243593337065,30-40%,3.773039301454846e-11,1
90187edeeda7e6d6,2026-03-21,0.8577524893314368,0.8587705256345277,0.8597824670584019,80%+,1.9999999697914885,1
8817bd21b6d0a989,2026-03-21,0.8388625592417062,0.8612371148166028,0.8809458030068241,80%+,1.9999999697914885,1
bfd17ed83ec5b598,2026-03-21,0.3076274757690687,0.3263526985845183,0.30762747576976385,30-40%,3.773039301454846e-11,0
bbe0f3653de9f6a8,2026-03-21,0.4850248160191682,0.4959913834211685,0.5018597913524733,40-50%,1.5349123073491988,0
216bc9b661485017,2026-03-21,0.778672032193159,0.8281828508956629,0.8427607358156797,70-80%,1.33701242654353,1
f594fc5c2bc6237e,2026-03-14,0.1925465838509316,0.2044899585542309,0.1926805400735625,<30%,0.011472419453922142,0
3b7b771b9578383d,2026-03-14,0.3251721499617444,0.3240415044346461,0.3251721499617017,30-40%,3.773039301454846e-11,0
8bee5192baec71d8,2026-03-14,0.2045133991537376,0.2355097254757817,0.20485117343521117,<30%,0.011472419453922142,0
e0acd0cf4930671b,2026-03-14,0.7328244274809161,0.7739212557518561,0.7867196090891689,70-80%,1.33701242654353,1
db7694f4513120d5,2026-03-14,0.2727272727272727,0.2279116917137357,0.27218305438237794,<30%,0.011472419453922142,1
fc9168fd102e2e66,2026-03-14,0.6154910096818811,0.6422569823698251,0.6329969204335568,60-70%,0.6506438648360436,1
f26c0bdf7689aea2,2026-03-14,0.2045133991537376,0.1987373810351344,0.20444643266525686,<30%,0.011472419453922142,0
2c330a6f7f1e55f0,2026-03-14,0.6659815005138747,0.6976420352688604,0.6867735869971299,60-70%,0.6506438648360436,1
f44b4e998b6829f6,2026-03-14,0.6946564885496184,0.725226296031689,0.7147643009324408,60-70%,0.6506438648360436,1
c769dd861357af9f,2026-03-14,0.299837925445705,0.265530084654421,0.29943020803817744,<30%,0.011472419453922142,0
cff81d681a01ae18,2026-03-14,0.4532666458268208,0.4865334386220152,0.5043963211497943,40-50%,1.5349123073491988,0
8cab057e6549afd0,2026-03-14,0.8475336322869956,0.8695689642286465,0.8888373230835753,80%+,1.9999999697914885,1
32d371462c539bee,2026-03-14,0.3638867033831628,0.329614333564015,0.36388670338184054,30-40%,3.773039301454846e-11,0
244285b7fd0ddece,2026-03-14,0.578989574979952,0.626208700723214,0.6504999665280697,50-60%,1.533299179911695,1
f030febede41c661,2026-03-07,0.6361132966168371,0.6186750046816554,0.6248046369067053,60-70%,0.6506438648360436,0
d564db29997e1371,2026-03-07,0.6690070210631895,0.687362611290796,0.6810127554169757,60-70%,0.6506438648360436,1
bed89a91da9d04c1,2026-03-07,0.2742474916387959,0.2254221525175773,0.2736515447925775,<30%,0.011472419453922142,0
f02c0adc4ae629c6,2026-03-07,0.6411483253588516,0.6434827452625035,0.6426679691870117,60-70%,0.6506438648360436,1
6a4738656c493ee9,2026-03-07,0.5965276928719893,0.5919684733355333,0.5895305041900489,50-60%,1.533299179911695,1
9c8d5dbd8905a715,2026-03-07,0.86468200270636,0.900955570351495,0.9283117357728404,80%+,1.9999999697914885,1
6feb49a6b7e8433c,2026-03-07,0.3725551071095933,0.3459823210558775,0.3725551071085748,30-40%,3.773039301454846e-11,0
f661ef429055f8c1,2026-03-07,0.3664556015356235,0.3581176610127627,0.3664556015353074,30-40%,3.773039301454846e-11,0
a22fd3735819d858,2026-03-07,0.6067545685866297,0.7939878700633106,0.7367835800404967,60-70%,0.6506438648360436,1
cc03e698c4b7da52,2026-03-07,0.609708848498661,0.7002310597985956,0.6699256878121086,60-70%,0.6506438648360436,0
