fold,fight_id,won,market_margin,correction
2021,0165bd3c26f0c076,1,0.5132365083503012,0.01939578296668487
2021,358f816aff469270,1,-0.3449852634557981,-0.12196607698113732
2021,3d903bc35023f50a,0,-0.6686060716438279,0.12764224308013772
2021,3fcd53eb27945231,0,-0.8212471831872611,-0.13004276861403896
2021,6b0da0b1cda7799f,1,0.4482202509431261,0.25747245754915293
2021,775c1f401815bbd8,0,0.8401293709085906,-0.0558528854654754
2021,97ad63e644757cf4,0,0.0,-0.07656882703304291
2021,97c80f69ac312030,0,0.6686060716438279,0.06265089017868186
2021,a4817b7e46028b4a,1,0.3863523191546703,0.22956333693511244
2021,aeb7ff8ce6e1beac,0,0.9402001411229882,-0.054517379453829284
2021,031e6624f96aceb8,0,0.40243020441301014,-0.06481253888375904
2021,11558384f80f6506,1,1.3853018052071397,0.2655499213248427
2021,4abcf14faa7f92f2,1,1.1631508098056806,0.056346155602644554
2021,4e451881e0e47b05,1,0.3130917879771496,-0.015573028011252987
2021,4f6d3cdf2c77fb57,1,0.1844560293225874,-0.040413105276070976
2021,57e784028ef2c17d,1,-0.14729493468270358,0.27885152011380254
2021,61bedad39b15db7a,1,-0.27224088796340296,0.07004914768897363
2021,76b61ff4c9760f79,1,0.2352510290589303,-0.003120784684655098
2021,a003e8305d4dbdc8,0,-1.0197183461984467,0.07105451544130559
2021,ac475de5a3d0d7e2,1,-0.33625158348704304,0.274870910287151
2021,ae38fb2a6b6a0cc1,0,-0.6113171623123131,0.14610088328246695
2021,d27ac1bc677b89cf,1,0.9402001411229882,0.2729708641260352
2021,dd34dd337e637767,1,-0.6863056487432287,-0.17228817278234498
2021,3d3e7dc7b4bf2bc4,1,-0.9691876779962408,0.2568675290513861
2021,65352221c0bfe52d,0,-0.2352510290589303,-0.07039190359449682
2021,83da743f6dda7dcc,1,-0.14729493468270358,0.2835615685509211
2021,92f569a6d9374b86,1,0.1603584777435264,-0.13579044713284583
2021,a5075f4eaee6036f,0,0.1603584777435264,0.0987248528877297
2021,aaf45b095452be23,1,-0.050626636354089524,0.11097137337720468
2021,c597fd8bb66d54d8,0,0.9915474692317503,0.03467583265576191
2021,cd08b68f0bafafbf,1,-0.9915474692317503,-0.07009660806927509
2021,f3ccbfd7036f3cf3,0,-1.4249321538253046,-0.08156785189674132
2021,2c81668d1459991f,1,0.10536051565782614,-0.05596900383011885
2021,86d6e09932c5b551,1,-0.6505875661411494,-0.1330712959728032
2021,8b9bdacca749ec90,0,-0.4783903480128368,0.007834267671497697
2021,9ef858837dfc65eb,1,1.1631508098056806,0.009973265130232445
2021,af8ea6db042674ef,0,0.7094835998796387,-0.21465623996485905
2021,bbade63ca780668f,0,0.13005312824819815,-0.025379660671694393
2021,d65da3a3bc675449,0,0.4276009637403903,-0.08304960909370757
2021,f4fbb11055301e75,0,0.6438761315531626,0.06748223684359644
2021,17616514e8fdacb9,1,-0.06744128079553277,0.09439614401598603
2021,25b8c932da5e91f4,0,0.0,0.019335400313138962
2021,26fbf026beb8e9f8,1,0.6106561229309755,0.14534022354271836
2021,54e2490959f66dc2,1,0.798323543285324,0.24047180869679274
2021,8cf076524cad5a55,1,1.2797143331158034,-0.012408005295979185
2021,9201312dd860fa5a,0,-0.4482202509431262,0.06458139214796016
2021,96b1430379c0694a,0,1.3501065228537583,-0.014301702793028337
2021,be94e5b7a35ce5f2,1,0.8805703404671019,0.146983337091797
