fight_id,date,won,model_p,market_p
0165bd3c26f0c076,2021-01-16,1,0.6284829262650149,0.6255648805681084
358f816aff469270,2021-01-16,1,0.38859286872599563,0.4145990075236113
3d903bc35023f50a,2021-01-16,0,0.36469635202111855,0.33880903490759745
3fcd53eb27945231,2021-01-16,0,0.2837355996692392,0.30549898167006106
6b0da0b1cda7799f,2021-01-16,1,0.6721753422629922,0.610215999437135
775c1f401815bbd8,2021-01-16,0,0.6853764992241367,0.6984924623115577
97ad63e644757cf4,2021-01-16,0,0.4788302065822315,0.5
97c80f69ac312030,2021-01-16,0,0.6744149450049823,0.6611909650924026
a4817b7e46028b4a,2021-01-16,1,0.6501026086235094,0.5954042868614491
aeb7ff8ce6e1beac,2021-01-16,0,0.7028489140879312,0.7191400832177531
031e6624f96aceb8,2021-01-20,0,0.5789280869571867,0.599271402550091
11558384f80f6506,2021-01-20,1,0.8389549672908946,0.7998411437648929
4abcf14faa7f92f2,2021-01-20,1,0.763774224847786,0.7619047619047619
4e451881e0e47b05,2021-01-20,1,0.5706687032685694,0.5776397515527951
4f6d3cdf2c77fb57,2021-01-20,1,0.5351531314227768,0.5459837019790454
57e784028ef2c17d,2021-01-20,1,0.534671957434616,0.46324269889224573
61bedad39b15db7a,2021-01-20,1,0.4553837416928351,0.4323570432357044
76b61ff4c9760f79,2021-01-20,1,0.5624687496484893,0.5585430102643292
a003e8305d4dbdc8,2021-01-20,0,0.28571239451680275,0.26508226691042047
ac475de5a3d0d7e2,2021-01-20,1,0.49050402191739356,0.4167202986227314
ae38fb2a6b6a0cc1,2021-01-20,0,0.38379563660499844,0.3517587939698492
d27ac1bc677b89cf,2021-01-20,1,0.7706876321065629,0.7191400832177531
dd34dd337e637767,2021-01-20,1,0.30038139568905875,0.334855403348554
3d3e7dc7b4bf2bc4,2021-01-23,1,0.33493089399063614,0.2750424448217317
65352221c0bfe52d,2021-01-23,0,0.4272939539124015,0.44145698973567077
83da743f6dda7dcc,2021-01-23,1,0.5307526324462293,0.46324269889224573
92f569a6d9374b86,2021-01-23,1,0.5063939436597211,0.5400039315903282
a5075f4eaee6036f,2021-01-23,0,0.560211087959306,0.5400039315903282
aaf45b095452be23,2021-01-23,1,0.5171503358650992,0.48734604352961025
