fight_id,date,won,market_p,model_p,whr_p_red
0165bd3c26f0c076,2021-01-16,1,0.6255648805681084,0.634661409518078,0.5699725191398801
358f816aff469270,2021-01-16,1,0.4145990075236113,0.3781667964250333,0.5547494423121472
3d903bc35023f50a,2021-01-16,0,0.33880903490759745,0.36920825480699865,0.38926943328020086
3fcd53eb27945231,2021-01-16,0,0.30549898167006106,0.28902089789003843,0.0966953068364671
6b0da0b1cda7799f,2021-01-16,1,0.610215999437135,0.6766168338229612,0.5037584685372557
775c1f401815bbd8,2021-01-16,0,0.6984924623115577,0.6841574801446796,0.7486517142978167
97ad63e644757cf4,2021-01-16,0,0.5,0.4764724765144437,0.4364418241466962
97c80f69ac312030,2021-01-16,0,0.6611909650924026,0.6751807777705485,0.5764550204826431
a4817b7e46028b4a,2021-01-16,1,0.5954042868614491,0.6474145317966339,0.6866256449255547
aeb7ff8ce6e1beac,2021-01-16,0,0.7191400832177531,0.7002075377197973,0.8314066916418058
031e6624f96aceb8,2021-01-20,0,0.599271402550091,0.5775419318349094,0.5583827817109791
11558384f80f6506,2021-01-20,1,0.7998411437648929,0.8393455806699325,0.5
4abcf14faa7f92f2,2021-01-20,1,0.7619047619047619,0.7668205264963338,0.8014669445455871
4e451881e0e47b05,2021-01-20,1,0.5776397515527951,0.5608646487667764,0.6588018368799738
4f6d3cdf2c77fb57,2021-01-20,1,0.5459837019790454,0.5341753534582782,0.48706121907093863
57e784028ef2c17d,2021-01-20,1,0.46324269889224573,0.5299360520546568,0.6246173430645802
61bedad39b15db7a,2021-01-20,1,0.4323570432357044,0.43416286566506496,0.519602526775674
76b61ff4c9760f79,2021-01-20,1,0.5585430102643292,0.5516464372744817,0.6277748172773746
a003e8305d4dbdc8,2021-01-20,0,0.26508226691042047,0.2833230883660606,0.3567634717367999
ac475de5a3d0d7e2,2021-01-20,1,0.4167202986227314,0.4887532687503148,0.5561765388782678
ae38fb2a6b6a0cc1,2021-01-20,0,0.3517587939698492,0.3857502886288985,0.5
d27ac1bc677b89cf,2021-01-20,1,0.7191400832177531,0.7740642241905387,0.5152600597552851
dd34dd337e637767,2021-01-20,1,0.334855403348554,0.30262639993854223,0.6433207735026019
3d3e7dc7b4bf2bc4,2021-01-23,1,0.2750424448217317,0.33669026250816836,0.4338816803945859
65352221c0bfe52d,2021-01-23,0,0.44145698973567077,0.43239833511963127,0.40983765743700856
83da743f6dda7dcc,2021-01-23,1,0.46324269889224573,0.5405121007357269,0.6061449780018615
92f569a6d9374b86,2021-01-23,1,0.5400039315903282,0.5039396723306228,0.6880127633377104
a5075f4eaee6036f,2021-01-23,0,0.5400039315903282,0.5612401960520627,0.8434189748566691
aaf45b095452be23,2021-01-23,1,0.48734604352961025,0.5091650054209961,0.6290279362392364
c597fd8bb66d54d8,2021-01-23,0,0.7293934681181959,0.7443448636518116,0.8038207821633742
cd08b68f0bafafbf,2021-01-23,1,0.27060653188180406,0.2527332315478194,0.13310611133874325
f3ccbfd7036f3cf3,2021-01-23,0,0.1938895417156287,0.18491946935993267,0.36350390691261036
2c81668d1459991f,2021-02-06,1,0.5263157894736842,0.5062174218520579,0.7657040888584322
86d6e09932c5b551,2021-02-06,1,0.3428571428571428,0.30979930009774215,0.4233855126075406
8b9bdacca749ec90,2021-02-06,0,0.38263229308005425,0.3930533225542945,0.5920909734707765
9ef858837dfc65eb,2021-02-06,1,0.7619047619047619,0.7569619636999814,0.6030067481051791
af8ea6db042674ef,2021-02-06,0,0.6702870442203258,0.6219199823974498,0.41528156381649445
bbade63ca780668f,2021-02-06,0,0.5324675324675325,0.5231899607858984,0.606418975502657
d65da3a3bc675449,2021-02-06,0,0.6053006554573952,0.577101391494736,0.5690576006550074
f4fbb11055301e75,2021-02-06,0,0.6556291390728478,0.6775878213317919,0.44490805697721203
17616514e8fdacb9,2021-02-13,1,0.4831460674157303,0.5098355128605913,0.22316196729467805
25b8c932da5e91f4,2021-02-13,0,0.5,0.5096878958479374,0.5448021842363293
26fbf026beb8e9f8,2021-02-13,1,0.6480904580593055,0.6886208388470291,0.5557720066523397
54e2490959f66dc2,2021-02-13,1,0.689615756616548,0.7448336450651863,0.6925636496486336
8cf076524cad5a55,2021-02-13,1,0.7824011456758693,0.7848138028284033,0.8145738303863155
9201312dd860fa5a,2021-02-13,0,0.389784000562865,0.40140667227297844,0.27633008587065466
96b1430379c0694a,2021-02-13,0,0.7941470428363521,0.7971858857965507,0.7686152156706184
be94e5b7a35ce5f2,2021-02-13,1,0.7069403957079948,0.732761670896128,0.88558479232113
f98e954823bd6e02,2021-02-13,0,0.4557395319216686,0.46390673431767954,0.462707269538209
05ceb8b2f93993a6,2021-02-20,1,0.5203045685279188,0.5364423305495156,0.37097206376076364
15b1c7ddc4415fdd,2021-02-20,0,0.3146551724137931,0.32985503437568425,0.43895102193892604
1d892fec31dc7ad7,2021-02-20,0,0.42236024844720504,0.37512728543756413,0.354252177701417
82243207b4dfce87,2021-02-20,0,0.6209150326797385,0.6372870031309501,0.5946243912385732
8f7328fe18806fb0,2021-02-20,0,0.3946993445426048,0.4393850757982028,0.47325078414069327
931fd51ab69fb443,2021-02-20,1,0.4501789414202298,0.41562457358283483,0.5539922335644293
990c2378caec68d4,2021-02-20,0,0.47368421052631565,0.4294716638707554,0.6023244510528692
b12bc15f384ecc42,2021-02-20,0,0.7619047619047619,0.8180813767776113,0.6688776379472481
b9cd4910f0ecff45,2021-02-20,1,0.3790849673202614,0.33679580423190714,0.3647206746703651
c3b6aa47e7532a7b,2021-02-20,1,0.6781609195402298,0.6717727175702736,0.6027597368933618
e175c1a0bff30187,2021-02-20,0,0.5,0.5696931505387008,0.6907383810770708
11a83369d49ad138,2021-02-27,0,0.3720626631853787,0.3582271416678351,0.351549088933505
3a4e2dffcdd1c838,2021-02-27,0,0.2758620689655172,0.3064097078238322,0.48231850655881275
3eac2d47ac252f4b,2021-02-27,0,0.6581196581196581,0.6755168861007081,0.7159346201452538
4a704dae3091adaf,2021-02-27,0,0.33635187580853815,0.3540620066552983,0.5717185892962027
6a0341234ecc4e87,2021-02-27,1,0.5798319327731092,0.5641731669129479,0.37356305606842394
a7315147a7022a93,2021-02-27,1,0.3451298345568095,0.4411281445542319,0.47835775940336145
bc86601cf781a89c,2021-02-27,1,0.5914733980829453,0.6668702322128134,0.4030196800070567
c2ee423d1f0b4f6f,2021-02-27,1,0.447405997144217,0.4206971467015046,0.3784325885453997
04a788abbbd1f256,2021-03-06,0,0.3720626631853787,0.3588638058265812,0.4973661340823198
15c9cb5f9320c555,2021-03-06,0,0.5260865852617197,0.538231547503811,0.6178502376020162
2704d31de2c2f43b,2021-03-06,1,0.5882115462252725,0.6033359375782906,0.530900380097174
50ef636148fa6fac,2021-03-06,0,0.320754716981132,0.4070409410016075,0.7167572182662668
5980ab31e4718a83,2021-03-06,0,0.6581196581196581,0.6266123063827039,0.7883534458404818
7ad09f889d2cdb6f,2021-03-06,1,0.6581196581196581,0.6439939094761596,0.5541539199845995
7de9867b7cc2b1b1,2021-03-06,1,0.3158617532616159,0.33450618829581774,0.10291865350424446
873306ad79b62f5e,2021-03-06,0,0.4435793295775703,0.486402735758663,0.3925293179515044
ae5d14a9fc1ad19c,2021-03-06,0,0.42888402625820565,0.39790515989988245,0.6682050024912832
c06d7bb29bc24d00,2021-03-06,1,0.7925157465728047,0.8339183449875884,0.7672236643218062
c096342c57a6f2c4,2021-03-06,0,0.6792452830188679,0.6675358632050514,0.6061715323802508
d170f6580e1c244f,2021-03-06,1,0.33099297893681046,0.3195472628542331,0.49115454579566487
e2abba69c3371618,2021-03-06,1,0.6428571428571429,0.6014630641540333,0.6953425203548071
f4363f1317b47213,2021-03-06,1,0.43795620437956206,0.45847462807561973,0.6672617772962334
fd92fe0c494d0959,2021-03-06,1,0.84,0.8625681534758292,0.9427603287875279
01f262b68a6a2223,2021-03-13,0,0.5427435387673957,0.6564772465760529,0.21319279565593152
03bdbf2d18f3025d,2021-03-13,1,0.7065820777160983,0.6451815191238811,0.7998276867082177
18c67631b76c18e5,2021-03-13,1,0.7395517867958813,0.7111877392980474,0.6686071858353503
4944437e73071671,2021-03-13,0,0.5324675324675325,0.587826250467629,0.5112211228407552
70aa6b8f863e6861,2021-03-13,0,0.7241379310344829,0.7360861676475862,0.5837188447644818
8a7b0cd5ad9ca4fe,2021-03-13,0,0.6428571428571429,0.6756279415311491,0.7669834085571527
a6828a6dfb21d33c,2021-03-13,1,0.8122418325197146,0.7899432164260265,0.6128137815084124
bb7ce8a6ba7f7cc5,2021-03-13,1,0.7241379310344829,0.7176190474784477,0.49091891905887003
d0ebb0551377a1c1,2021-03-13,1,0.5427435387673957,0.5772627585646667,0.6279622811412208
d15a87087b6f1452,2021-03-13,1,0.6345305608065531,0.6866779725452202,0.3624144379731534
e8adfbbe0053c321,2021-03-13,0,0.4342832531763693,0.45184848188955096,0.5896995309077103
2efbcd870f1f7bc7,2021-03-20,1,0.34929577464788736,0.3779621151963007,0.6137761682407238
55bf7f19a132e0fc,2021-03-20,1,0.447405997144217,0.43504675256433994,0.22946349289992973
68cf99b6551dc3b3,2021-03-20,1,0.5108342361863488,0.5601002603923938,0.4889736907925327
9e45cc594a5a2506,2021-03-20,1,0.783098015142214,0.7965950617681598,0.6020651631002081
a043e279434d5c8c,2021-03-20,0,0.3720626631853787,0.35762967257654976,0.7024486643981853
afc86d1076c4c3a9,2021-03-20,1,0.6548701654431905,0.6755412517942212,0.5851257238292114
b8a0047c927faa75,2021-03-20,1,0.8250000000000002,0.8192942373134608,0.6566392814087879
dcfbbebc0aee6ded,2021-03-20,0,0.33635187580853815,0.38724780286616994,0.3750059301947472
edac9fd482177a64,2021-03-20,0,0.3654694391934467,0.4031898963522928,0.6361879674743743
0aa335dbc4cb3473,2021-03-27,1,0.7634625062908907,0.7950918022053456,0.6735323490401026
2220b73ece1730c3,2021-03-27,0,0.35714285714285715,0.42830633399313656,0.42350619377071846
390694c179f05c7f,2021-03-27,1,0.447405997144217,0.5310992267406733,0.15856298430816185
39d188fa9b95d550,2021-03-27,0,0.35714285714285715,0.3912421956491927,0.45838019725757934
41622791b276ad9e,2021-03-27,1,0.5366306721917165,0.5400786655264053,0.3285714833819388
48292a027df02443,2021-03-27,1,0.7107039537126325,0.6644140035863569,0.5040091900240214
4b3af85b0df51d09,2021-03-27,0,0.34929577464788736,0.343224717782588,0.5862431013370418
6002c24f0b7f8cc7,2021-03-27,0,0.3784721747803632,0.39043459192380836,0.4195060811575252
8317208cfb030ed3,2021-03-27,0,0.42888402625820565,0.4437628129848127,0.47866908560218785
b1eff235241e719b,2021-03-27,0,0.4435793295775703,0.43971614146113225,0.5765114547162457
0992795fd0fa06d0,2021-04-10,0,0.5217391304347826,0.5531811903837773,0.2533962969180793
1fee9eca658d9808,2021-04-10,0,0.3720626631853787,0.35072268118276584,0.4571031303470522
3209bcfaf95de90b,2021-04-10,1,0.6888888888888889,0.7862804713873532,0.3161218217620776
444f0a732695dc81,2021-04-10,0,0.7285666997682886,0.7239076586488614,0.5647510001545625
