fight_id,fighter,side,american_odds,fair_market_p,model_p,edge,actual_win,mapped_predictors,total_predictors
307ea95ad7ebe466,Anna Melisano,red,455,0.17287630402384502,0.17138764262199402,-0.0014886614018509992,0,373,432
307ea95ad7ebe466,Dione Barbosa,blue,-625,0.827123695976155,0.8276429176330566,0.0005192216569016583,1,373,432
410e6b9e01660b35,Alden Coria,red,-1050,0.8761776581426649,0.8488122820854187,-0.027365376057246205,1,373,432
410e6b9e01660b35,Stewart Nicoll,blue,675,0.12382234185733514,0.17482617497444153,0.05100383311710639,0,373,432
46d800ce45fdd3e6,Levi Rodrigues Jr.,red,-142,0.5634920634920635,0.46692436933517456,-0.09656769415688893,0,373,432
46d800ce45fdd3e6,Felipe Franco,blue,120,0.43650793650793646,0.548930823802948,0.11242288729501154,1,373,432
4eff5a845db17572,Jared Cannonier,red,310,0.23409789548356585,0.1447526216506958,-0.08934527383287005,0,373,432
4eff5a845db17572,Christian Leroy Duncan,blue,-395,0.7659021045164341,0.851331889629364,0.08542978511292987,1,373,432
52ddf20a10890b41,Tabatha Ricci,red,360,0.20863836017569545,0.16257543861865997,-0.04606292155703548,0,373,432
52ddf20a10890b41,Fatima Kline,blue,-470,0.7913616398243045,0.8514427542686462,0.06008111444434172,1,373,432
701c97405da76603,Dricus Du Plessis,red,-205,0.644729178800233,0.6121181845664978,-0.03261099423373515,1,373,432
701c97405da76603,Kamaru Usman,blue,170,0.35527082119976705,0.3469069302082062,-0.008363890991560874,0,373,432
9e525f939fba3e73,Ezra Elliott,red,110,0.4572564612326044,0.4916155934333801,0.034359132200775744,1,373,432
9e525f939fba3e73,Damien Anderson,blue,-130,0.5427435387673957,0.5099862813949585,-0.032757257372437176,0,373,432
c64c6ba6eb1e1d06,Tommy McMillen,red,-175,0.6092362344582594,0.551884114742279,-0.05735211971598031,1,373,432
c64c6ba6eb1e1d06,Alberto Montes,blue,145,0.39076376554174075,0.4462548792362213,0.055491113694480565,0,373,432
e05155c1b5c2dc74,RJ Harris,red,100,0.4782608695652174,0.5057068467140198,0.02744597714880237,1,373,432
e05155c1b5c2dc74,Alvin Hines,blue,-120,0.5217391304347826,0.4944746494293213,-0.027264481005461305,0,373,432
f2abca7379982d4f,Chase Hooper,red,-375,0.7571884984025559,0.8328332304954529,0.07564473209289702,1,373,432
f2abca7379982d4f,Mitch Ramirez,blue,295,0.2428115015974441,0.17984500527381897,-0.06296649632362514,0,373,432
f2eb569176e46edf,Jean-Paul Lebosnoyani,red,150,0.3835616438356164,0.4458322823047638,0.06227063846914738,1,373,432
f2eb569176e46edf,Seokhyeon Ko,blue,-180,0.6164383561643836,0.5690097212791443,-0.047428634885239296,0,373,432
