fight_id,event_name,fight_display,refresh_timestamp,red_fighter,blue_fighter,predicted_side,bet_slug,model_probability,normalized_market_probability,signed_logit_residual,raw_implied_probability,american_odds,decimal_odds,target,won,profit_units,stake_units,actual_method,actual_winner
6a35ff33b8597904,UFC Fight Night: Fiziev vs. Torres,Farman Hasanov vs Eric Nolan,2026-06-26 23:21:05.564609+00:00,Farman Hasanov,Eric Nolan,red,red_dec,0.2407001412510462,0.1804523556789417,0.364440910734092,0.2222222222222222,350.0,4.5,2,1,3.5,1.0,Decision - Unanimous,Farman Hasanov
b223b10ef19f912c,UFC 329: McGregor vs. Holloway 2,Damian Pinas vs Cesar Almeida,2026-07-10 20:36:17.559163+00:00,Damian Pinas,Cesar Almeida,red,red_dec,0.2260533335473174,0.1529816367301885,0.4806724777197955,0.1818181818181818,450.0,5.5,0,0,-1.0,1.0,KO/TKO,Damian Pinas
48b1ee7ab45add4c,UFC Fight Night: Fiziev vs. Torres,Abdul Rakhman Yakhyaev vs Julius Walker,2026-06-26 23:21:05.564609+00:00,Abdul Rakhman Yakhyaev,Julius Walker,red,red_dec,0.1860715962094976,0.1381859228780541,0.3546986333697599,0.1666666666666666,500.0,6.0,0,0,-1.0,1.0,KO/TKO,Abdul Rakhman Yakhyaev
c64c6ba6eb1e1d06,UFC Fight Night: Du Plessis vs. Usman,Tommy McMillen vs Alberto Montes,2026-07-17 20:16:59.459648+00:00,Tommy McMillen,Alberto Montes,red,red_dec,0.1864053397725271,0.1373367443112966,0.3640497824796325,0.1666666666666666,500.0,6.0,0,0,-1.0,1.0,KO/TKO,Tommy McMillen
a3ab1979192b647c,UFC 329: McGregor vs. Holloway 2,Brandon Royval vs Lone'er Kavanagh,2026-07-10 20:36:17.559163+00:00,Brandon Royval,Lone'er Kavanagh,blue,blue_dec,0.4220898792092112,0.3498814841396503,0.3053601170133017,0.4166666666666667,140.0,2.4,1,0,-1.0,1.0,Submission,Brandon Royval
0e60ab32f3d03929,UFC Fight Night: Fiziev vs. Torres,Daniil Donchenko vs Theodor Berggren,2026-06-26 23:21:05.564609+00:00,Daniil Donchenko,Theodor Berggren,red,red_dec,0.257800106927104,0.1866217226792271,0.4146784930975968,0.2222222222222222,350.0,4.5,0,0,-1.0,1.0,KO/TKO,Daniil Donchenko
52ddf20a10890b41,UFC Fight Night: Du Plessis vs. Usman,Tabatha Ricci vs Fatima Kline,2026-07-17 20:16:59.459648+00:00,Tabatha Ricci,Fatima Kline,blue,blue_dec,0.6386011317894982,0.5534618913493783,0.3546296530396415,0.6666666666666666,-200.0,1.5,5,1,0.5,1.0,Decision - Unanimous,Fatima Kline
3bd159c1bed14700,UFC Fight Night: Du Plessis vs. Usman,Austin Bashi vs Jose Delgado,2026-07-17 20:16:59.459648+00:00,Austin Bashi,Jose Delgado,red,red_dec,0.3562614415426556,0.2719886965736488,0.3929282351709712,0.3333333333333333,200.0,3.0,5,0,-1.0,1.0,Decision - Unanimous,Jose Delgado
a4b3becc0cc394d7,UFC Fight Night: Hernandez vs. Rodrigues,Carli Judice vs Jeisla Chaves,2026-08-21 20:39:18.694686+00:00,Carli Judice,Jeisla Chaves,red,red_dec,0.491851483546066,0.3823241500711086,0.4470980441313035,0.4545454545454545,120.0,2.2,0,0,-1.0,1.0,KO/TKO,Carli Judice
a26ea74f2e908842,UFC 329: McGregor vs. Holloway 2,King Green vs Terrance McKinney,2026-07-10 20:36:17.559163+00:00,King Green,Terrance McKinney,red,red_dec,0.0674200646647171,0.0491442189907082,0.3355909808132984,0.0588235294117647,1600.0,17.0,0,0,-1.0,1.0,KO/TKO,King Green
5425c577ed4f50b3,UFC Fight Night: Medic vs. Rodriguez,Mateusz Rebecki vs Kyle Prepolec,2026-07-31 21:20:50.686938+00:00,Mateusz Rebecki,Kyle Prepolec,red,red_dec,0.3828309870413031,0.2765876234553175,0.4839024465691852,0.3333333333333333,200.0,3.0,0,0,-1.0,1.0,KO/TKO,Mateusz Rebecki
118c25bda9392140,UFC 329: McGregor vs. Holloway 2,Gable Steveson vs Elisha Ellison,2026-07-10 20:36:17.559163+00:00,Gable Steveson,Elisha Ellison,red,red_dec,0.0626767969471409,0.0447567780753998,0.3556862499339268,0.0526315789473684,1800.0,19.0,0,0,-1.0,1.0,KO/TKO,Gable Steveson
46d800ce45fdd3e6,UFC Fight Night: Du Plessis vs. Usman,Levi Rodrigues Jr. vs Felipe Franco,2026-07-17 20:16:59.459648+00:00,Levi Rodrigues Jr.,Felipe Franco,red,red_dec,0.1502366292557627,0.0836536854420859,0.6609625376462707,0.1,900.0,10.0,3,0,-1.0,1.0,KO/TKO,Felipe Franco
d5245f5b96b8afdf,UFC Fight Night: Gamrot vs. Salkilld,Diego Ferreira vs Billy Quarantillo,2026-08-07 20:54:02.712432+00:00,Diego Ferreira,Billy Quarantillo,red,red_dec,0.2339034703011878,0.1837985879042187,0.3044209564309972,0.2222222222222222,350.0,4.5,2,1,3.5,1.0,Decision - Unanimous,Diego Ferreira
e05155c1b5c2dc74,UFC Fight Night: Du Plessis vs. Usman,RJ Harris vs Alvin Hines,2026-07-17 20:16:59.459648+00:00,RJ Harris,Alvin Hines,red,red_dec,0.2321708249628004,0.1490294487302641,0.5461397293642114,0.1818181818181818,450.0,5.5,0,0,-1.0,1.0,KO/TKO,RJ Harris
3050549d19395f6f,UFC Fight Night: Gamrot vs. Salkilld,Steven Asplund vs Guilherme Pat,2026-08-07 20:54:02.712432+00:00,Steven Asplund,Guilherme Pat,red,red_dec,0.4064581840355632,0.3188072273633985,0.3806321090697744,0.3773584905660377,165.0,2.65,2,1,1.65,1.0,Decision - Unanimous,Steven Asplund
13aa6688d0538095,UFC Fight Night: Medic vs. Rodriguez,Dennis Buzukja vs Bogdan Grad,2026-07-31 21:20:50.686938+00:00,Dennis Buzukja,Bogdan Grad,blue,blue_dec,0.4274091980306536,0.3300138661288289,0.4156928789432076,0.4,150.0,2.5,4,0,-1.0,1.0,Submission,Bogdan Grad
7e86f774f19e5e59,UFC Fight Night: Hernandez vs. Rodrigues,Marcio Barbosa vs Ryan Kuse,2026-08-21 20:39:18.694686+00:00,Marcio Barbosa,Ryan Kuse,red,red_dec,0.1053601744527396,0.0770186912630832,0.3445243531584583,0.0909090909090909,1000.0,11.0,0,0,-1.0,1.0,KO/TKO,Marcio Barbosa
3859314324918eeb,UFC Fight Night: Ankalaev vs. Guskov,Nurullo Aliev vs Mike Davis,2026-07-24 20:31:56.149697+00:00,Nurullo Aliev,Mike Davis,red,red_dec,0.5189752140971207,0.4314087372328601,0.3520431721884889,0.5238095238095238,-110.0,1.909090909090909,2,1,0.909090909090909,1.0,Decision - Unanimous,Nurullo Aliev
61280e5644189c61,UFC Fight Night: Ankalaev vs. Guskov,Abubakar Vagaev vs Saygid Izagakhmaev,2026-07-24 20:31:56.149697+00:00,Abubakar Vagaev,Saygid Izagakhmaev,red,red_dec,0.5509671325446805,0.4704334238012995,0.3229835134613034,0.574468085106383,-135.0,1.7407407407407405,2,1,0.7407407407407405,1.0,Decision - Unanimous,Abubakar Vagaev
