fight_id,fighter,side,american_odds,market_source,fighter_state_found,fair_market_p,model_p,edge,market_overround
paris_20260905_01,Salahdine Parnasse,blue,-500,UFC,False,0.7983193277310925,0.8322538733482361,0.0339345456171436,1.043859649122807
paris_20260905_01,Dan Hooker,red,375,UFC,True,0.20168067226890757,0.17350663244724274,-0.02817403982166483,1.043859649122807
paris_20260905_02,Axel Sola,blue,125,UFC,True,0.4255319148936171,0.39221256971359253,-0.03331934518002455,1.0444444444444443
paris_20260905_02,Fares Ziam,red,-150,UFC,True,0.574468085106383,0.592021644115448,0.017553559009064967,1.0444444444444443
paris_20260905_03,Nursulton Ruziboev,blue,165,UFC,True,0.3614457831325302,0.35840851068496704,-0.003037272447563133,1.0440251572327044
paris_20260905_03,Michael Page,red,-200,UFC,True,0.6385542168674698,0.6445202827453613,0.005966065877891502,1.0440251572327044
paris_20260905_04,Punahele Soriano,blue,172,Oddschecker,True,0.35007779506557013,0.3401254415512085,-0.009952353514361634,1.050186741363212
paris_20260905_04,Daniil Donchenko,red,-215,Oddschecker,True,0.6499222049344299,0.6343225240707397,-0.015599680863690124,1.050186741363212
paris_20260905_05,Felipe Lima,blue,-205,UFC,True,0.644729178800233,0.6618582606315613,0.01712908183132833,1.042501517911354
paris_20260905_05,Morgan Charriere,red,170,UFC,True,0.35527082119976705,0.3449622094631195,-0.010308611736647544,1.042501517911354
paris_20260905_06,Muhammad Naimov,blue,240,UFC,True,0.28169014084507044,0.22511686384677887,-0.056573276998291566,1.0441176470588236
paris_20260905_06,Losene Keita,red,-300,UFC,True,0.7183098591549295,0.7564637660980225,0.03815390694309295,1.0441176470588236
paris_20260905_07,Ryan Spann,blue,210,UFC,True,0.30874785591766724,0.25971776247024536,-0.049030093447421874,1.0448028673835126
paris_20260905_07,Mario Pinto,red,-260,UFC,True,0.6912521440823327,0.7407668232917786,0.049514679209445855,1.0448028673835126
paris_20260905_08,Trevor Peek,blue,270,UFC,True,0.2591283863368669,0.22051356732845306,-0.03861481900841385,1.042997542997543
paris_20260905_08,Kurtis Campbell,red,-340,UFC,True,0.740871613663133,0.7911050915718079,0.05023347790867483,1.042997542997543
paris_20260905_09,Modestas Bukauskas,blue,155,UFC,True,0.37661050545094155,0.33510303497314453,-0.041507470477797015,1.0412796697626419
paris_20260905_09,Oumar Sy,red,-185,UFC,True,0.6233894945490586,0.6958903670310974,0.07250087248203885,1.0412796697626419
paris_20260905_10,Mairon Santos,blue,-134,BestFightOdds,True,0.5436105476673427,0.6063932180404663,0.06278267037312357,1.0534188034188035
paris_20260905_10,Nathaniel Wood,red,108,BestFightOdds,True,0.4563894523326572,0.41385605931282043,-0.042533393019836774,1.0534188034188035
paris_20260905_11,Fabia Sintes,blue,130,UFC,False,0.4170073589533933,0.4568001627922058,0.03979280383881251,1.0426257459505541
paris_20260905_11,Michael Aljarouj,red,-155,UFC,False,0.5829926410466066,0.5518033504486084,-0.031189290597998243,1.0426257459505541
paris_20260905_12,Klaudia Sygula,blue,110,UFC,True,0.4572564612326044,0.44215095043182373,-0.015105510800780653,1.041407867494824
paris_20260905_12,Nora Cornolle,red,-130,UFC,True,0.5427435387673957,0.536564826965332,-0.006178711802063641,1.041407867494824
paris_20260905_13,Luis Felipe Dias,blue,-120,UFC,True,0.5217391304347826,0.5093609094619751,-0.012378220972807497,1.0454545454545454
paris_20260905_13,Matthieu Letho Duclos,red,100,UFC,False,0.4782608695652174,0.5093609094619751,0.031100039896757692,1.0454545454545454
paris_20260905_14,Sofia Montenegro,blue,135,UFC,False,0.4088050314465409,0.4568001627922058,0.04799513134566491,1.0409165302782324
paris_20260905_14,Delphine Benouaich,red,-160,UFC,False,0.5911949685534592,0.5518033504486084,-0.03939161810485081,1.0409165302782324
