fight_id,date,year,market_p,v5_p,cal_p,bucket,k_applied,y
3738135e4c9d8273,2022-01-15,2022,0.4675324675324674,0.4850549181220979,0.502614187671294,40-50%,1.9999999697914885,1
3a8c0158d910546d,2022-01-15,2022,0.6581196581196581,0.7057766237467902,0.7402201048612008,60-70%,1.7823958156633684,1
3bcbb0e039f4f5d8,2022-01-15,2022,0.562043795620438,0.5627009466364274,0.563306030288327,50-60%,1.921064148669502,1
7c2a02b5ea169b54,2022-01-15,2022,0.7553516819571866,0.67980266416085,0.6639179334716115,70-80%,1.1924233736031942,1
8.69E+73,2022-01-15,2022,0.4117884537747274,0.4050782887033122,0.3984034074848702,40-50%,1.9999999697914885,1
8d89f3b8798f444d,2022-01-15,2022,0.5882115462252725,0.5965089815497939,0.6041030281028905,50-60%,1.921064148669502,1
9dfcf675cf2c1575,2022-01-15,2022,0.3363518758085381,0.3238673394197034,0.3363518758080626,30-40%,3.773039301454846e-11,1
b5b5156c713c5d47,2022-01-15,2022,0.3363518758085381,0.3354068585357624,0.3363518758085024,30-40%,3.773039301454846e-11,0
e8517ed0b49abc37,2022-01-15,2022,0.4288840262582056,0.3896809728508126,0.3518536707574297,40-50%,1.9999999697914885,1
0669231ebe3dd560,2022-01-22,2022,0.776440240756664,0.8024297435978904,0.8071607760051566,70-80%,1.1924233736031942,1
0a0beb5aa9810de4,2022-01-22,2022,0.6301020408163266,0.6347293474746231,0.6383325097934922,60-70%,1.7823958156633684,0
4047c2e259529179,2022-01-22,2022,0.4255319148936171,0.4558895046422832,0.48657843376667886,40-50%,1.9999999697914885,0
44a55ba1de2b30e2,2022-01-22,2022,0.8,0.7694516647949005,0.7694516647949005,80%+,1.0,0
453283e947919ff7,2022-01-22,2022,0.5,0.6568115186521073,0.7767794136205812,50-60%,1.921064148669502,1
5ba543efdce072f5,2022-01-22,2022,0.7183098591549295,0.7091057960925132,0.7073145007567262,70-80%,1.1924233736031942,1
5da7168ac2ff0e1d,2022-01-22,2022,0.6428571428571429,0.6247622056121833,0.6103547073772002,60-70%,1.7823958156633684,1
80f65ee9b6f8d63b,2022-01-22,2022,0.3788903924221921,0.3701643019990294,0.3788903924218613,30-40%,3.773039301454846e-11,0
9687021e5c4d092a,2022-01-22,2022,0.6912521440823327,0.6381657840295247,0.5940558013823213,60-70%,1.7823958156633684,1
cddd3d4febe097f8,2022-01-22,2022,0.6365876193409301,0.730085660966583,0.7916644096449317,60-70%,1.7823958156633684,0
e786542667fdecf0,2022-01-22,2022,0.4088050314465408,0.3875691122139236,0.36675198832176104,40-50%,1.9999999697914885,1
0489b42ac0ab6d4b,2022-02-05,2022,0.5346534653465347,0.6153421448397182,0.6845335121893709,50-60%,1.921064148669502,0
0730c4e6fb247fa1,2022-02-05,2022,0.238095238095238,0.2453230964532725,0.24532309645327247,<30%,1.0,0
208c5dc52ccfd47a,2022-02-05,2022,0.7228793511321393,0.7322769614613118,0.734061908542105,70-80%,1.1924233736031942,1
