fight_id,date,won,market_p,model_p,calibrated_p,logit_residual
85e94a6c071fd9fa,2026-03-28,0,0.5330897279740154,0.5355647930617712,0.535554233198191,0.009947166452426076
9a0ecee6e8ca173f,2026-03-28,1,0.4216237416655772,0.4357565529787198,0.43569599519063285,0.057709234628501416
6102e7a6dcbc62f0,2026-03-28,1,0.8540284360189573,0.8687325836501822,0.8686725877467492,0.12324610521941604
f9f5071b993a5f4b,2026-03-28,0,0.2815013404825737,0.2835008273196517,0.28349227535809784,0.009864579152466857
e32dc26b11d1f81d,2026-03-28,0,0.5783762583344229,0.6101008685644046,0.6099672274792534,0.13162491950052563
a76e14495e61cf19,2026-03-28,1,0.5667244367417678,0.6084680866885154,0.6082928023857083,0.1723781845565458
fa96d6252579b51e,2026-03-28,0,0.7050037341299478,0.7002176098029642,0.7002381310003803,-0.022906088805414226
689384b01b40ef5c,2026-03-28,0,0.6955128205128205,0.7266204448558566,0.7264919647270404,0.1515226536759262
08d4e3864c44f8a5,2026-03-28,0,0.4812406203101549,0.4947339930382245,0.4946763734545741,0.05400795083426636
1c50e43770ba84fc,2026-03-28,1,0.5,0.5194427837284014,0.5193598856982937,0.07781036943197255
dbf1ee1a1912c735,2026-03-28,1,0.7696245733788397,0.7969875630038648,0.7968760997092574,0.16137926968526206
796e1151896195aa,2026-03-28,1,0.7806354009077155,0.8123588159063236,0.8122312454909106,0.19603756711082587
346e3897c2ead99a,2026-03-21,1,0.6803652968036529,0.7290277951592199,0.7288302534325212,0.23424454471977596
fa534aaa5b997a69,2026-03-21,1,0.6596858638743455,0.6950286767844288,0.6948822470981034,0.16184071927503174
5ee11b727e89e8ad,2026-03-21,1,0.6097259658580413,0.6632899030674978,0.6630688893543973,0.23182936460094944
43e26b46cbb51985,2026-03-21,1,0.813463098134631,0.7622521879273412,0.7624900249575798,-0.30760452156498563
562d916f55918901,2026-03-21,0,0.2160727824109173,0.2155164280944038,0.21551880038739446,-0.003287617212300198
4e58bcc0d27042fd,2026-03-21,0,0.6643612693246542,0.7177997535908772,0.717582892748718,0.25078301620357113
3ee578ddd071ad4c,2026-03-21,1,0.5514173703256936,0.5288554968358329,0.5289521077505961,-0.09084871624421344
3b9f50f07d9a1601,2026-03-21,1,0.3238524359335398,0.3193867975348032,0.31940578724224145,-0.020467885569239397
90187edeeda7e6d6,2026-03-21,1,0.8577524893314368,0.8587705256345277,0.8587661936531484,0.008368689028971588
8817bd21b6d0a989,2026-03-21,1,0.8388625592417062,0.8612371148166028,0.8611474156438933,0.1758140387311753
bfd17ed83ec5b598,2026-03-21,0,0.3076274757690687,0.3263526985845183,0.32627153480376414,0.08650659565172836
bbe0f3653de9f6a8,2026-03-21,0,0.4850248160191682,0.4959913834211685,0.495944562757464,0.04388384650691139
216bc9b661485017,2026-03-21,1,0.778672032193159,0.8281828508956629,0.8279915481449113,0.31485881244921954
f594fc5c2bc6237e,2026-03-14,0,0.1925465838509316,0.2044899585542309,0.20443783461682763,0.07508264731473568
3b7b771b9578383d,2026-03-14,0,0.3251721499617444,0.3240415044346461,0.32404632564352387,-0.005157182287895301
8bee5192baec71d8,2026-03-14,0,0.2045133991537376,0.2355097254757817,0.23537077374203516,0.18086341488497992
e0acd0cf4930671b,2026-03-14,1,0.7328244274809161,0.7739212557518561,0.7737557421559008,0.22158663721823246
db7694f4513120d5,2026-03-14,1,0.2727272727272727,0.2279116917137357,0.22809147065942809,-0.23931144256017323
fc9168fd102e2e66,2026-03-14,1,0.6154910096818811,0.6422569823698251,0.6421444772845754,0.11472043839695506
f26c0bdf7689aea2,2026-03-14,0,0.2045133991537376,0.1987373810351344,0.1987617701646882,-0.035883988259856725
2c330a6f7f1e55f0,2026-03-14,1,0.6659815005138747,0.6976420352688604,0.6975105528402467,0.14602898461180025
f44b4e998b6829f6,2026-03-14,1,0.6946564885496184,0.725226296031689,0.7250999325720829,0.1485558219638461
c769dd861357af9f,2026-03-14,0,0.299837925445705,0.265530084654421,0.2656710688826221,-0.16935112478129677
cff81d681a01ae18,2026-03-14,0,0.4532666458268208,0.4865334386220152,0.48639099155312,0.13360136368597547
8cab057e6549afd0,2026-03-14,1,0.8475336322869956,0.8695689642286465,0.8694809516975129,0.18176652946160843
32d371462c539bee,2026-03-14,0,0.3638867033831628,0.329614333564015,0.32975712870827184,-0.15139576141539057
244285b7fd0ddece,2026-03-14,1,0.578989574979952,0.626208700723214,0.6260115161479444,0.19735920863684647
f030febede41c661,2026-03-07,0,0.6361132966168371,0.6186750046816554,0.6187501213845902,-0.07460603769120777
d564db29997e1371,2026-03-07,1,0.6690070210631895,0.687362611290796,0.6872854535831348,0.0841205635619926
bed89a91da9d04c1,2026-03-07,0,0.2742474916387959,0.2254221525175773,0.22561683682750552,-0.2611651840527729
f02c0adc4ae629c6,2026-03-07,1,0.6411483253588516,0.6434827452625035,0.6434727964119042,0.010160887304424326
6a4738656c493ee9,2026-03-07,1,0.5965276928719893,0.5919684733355333,0.5919879662107351,-0.018908876051451085
9c8d5dbd8905a715,2026-03-07,1,0.86468200270636,0.900955570351495,0.9008209904902166,0.3531531427281096
6feb49a6b7e8433c,2026-03-07,0,0.3725551071095933,0.3459823210558775,0.3460938502420168,-0.11547582295087033
f661ef429055f8c1,2026-03-07,0,0.3664556015356235,0.3581176610127627,0.3581530694858402,-0.03609071034029976
a22fd3735819d858,2026-03-07,1,0.6067545685866297,0.7939878700633106,0.7933480505076145,0.9154426840656786
cc03e698c4b7da52,2026-03-07,0,0.609708848498661,0.7002310597985956,0.6998705151883041,0.40230984466136815
a5abdc461cb1538e,2026-03-07,0,0.6613039796782388,0.6878456434802662,0.6877347895153308,0.12095605671882637
1330b5c21269fe92,2026-02-28,0,0.6386477179027017,0.6427284845256571,0.6427111113679959,0.017726664251239477
36d12b31957e94db,2026-02-28,0,0.2630773936983787,0.2450040108321006,0.24507933722558653,-0.09540324235320252
81f3d28d30d17378,2026-02-28,0,0.7590361445783133,0.7729166755306788,0.7728586512715796,0.07745177804319581
7df505d8260ba680,2026-02-28,1,0.7001620745542949,0.7253782913526066,0.7252735097838021,0.12322899104945573
15068d7b095ca9bd,2026-02-28,1,0.7981416212752324,0.8256147126490411,0.8255039915058277,0.18014137284898313
3b76a00f5d0400eb,2026-02-28,1,0.849948258020007,0.8557007631149333,0.8556766059180368,0.04583626828677456
45ec0c5f19c9adbe,2026-02-28,1,0.8448145344436033,0.8833402243474286,0.8831950278712725,0.3299524693911222
c40b934d2666e351,2026-02-28,1,0.6183206106870229,0.6314542165739988,0.6313985592439145,0.056034343843475554
25ab195cefbce1d0,2026-02-28,1,0.8152295632698767,0.845545483737181,0.8454252016886221,0.2157267277974011
6154ee95d3f4fc32,2026-02-28,0,0.3279666070363745,0.3154023400885729,0.3154554111635271,-0.057585978160739404
44d58943ac8e47e1,2026-02-28,1,0.4454847478103291,0.5515177530641315,0.5510682765379568,0.42573623357030377
581292ffe5b09344,2026-02-28,0,0.1434362332397879,0.1501903367629128,0.15016096204037133,0.05392919926716244
c6a85b67fdd2ef3d,2026-02-28,1,0.6777862016679302,0.7268339164010448,0.726634733368519,0.23500141953062692
8d740c844353ae0e,2026-02-21,1,0.2955665024630542,0.2629322741538606,0.26306652509557277,-0.16228322759360259
dd12bf51c5ed7f1e,2026-02-21,0,0.6564885496183206,0.6528657903354423,0.6528812901991742,-0.016024702685275338
dc6f6c8228390ebb,2026-02-21,0,0.3222137983320697,0.3092069246359854,0.3092618192690996,-0.06021300409865038
04b7bcc0e8488604,2026-02-21,1,0.4801762114537444,0.5135456046128002,0.5134032300747224,0.133532421960738
54437b8dba3a6110,2026-02-21,1,0.7328244274809161,0.7172731869862541,0.7173407131413183,-0.07802445439553729
