fight_id,date,won,market_p,model_p,calibrated_p,logit_residual,prob_residual
3738135e4c9d8273,2022-01-15,1,0.4675324675324674,0.4850549181220979,0.4930130375124823,0.07025498816941474,0.01752245058963048
3a8c0158d910546d,2022-01-15,1,0.6581196581196581,0.7057766237467902,0.7260566371109525,0.22003356070644997,0.047656965627132064
3bcbb0e039f4f5d8,2022-01-15,1,0.562043795620438,0.5627009466364274,0.5629987784813121,0.0026701554307484443,0.000657151015989399
7c2a02b5ea169b54,2022-01-15,1,0.7553516819571866,0.67980266416085,0.6417794175141062,-0.3744966258890321,-0.0755490177963366
8.69E+73,2022-01-15,1,0.4117884537747274,0.4050782887033122,0.402047876042765,-0.027772565453290043,-0.006710165071415197
8d89f3b8798f444d,2022-01-15,1,0.5882115462252725,0.5965089815497939,0.6002526235264254,0.03436317023539476,0.00829743532452143
9dfcf675cf2c1575,2022-01-15,1,0.3363518758085381,0.3238673394197034,0.31828800043604694,-0.056461100385621354,-0.012484536388834677
b5b5156c713c5d47,2022-01-15,0,0.3363518758085381,0.3354068585357624,0.3349788903549634,-0.0042365239123852705,-0.0009450172727756834
e8517ed0b49abc37,2022-01-15,1,0.4288840262582056,0.3896809728508126,0.3723368559936209,-0.16224768165445158,-0.039203053407392996
0669231ebe3dd560,2022-01-22,1,0.776440240756664,0.8024297435978904,0.8134370524739193,0.15650913214871154,0.025989502841226475
0a0beb5aa9810de4,2022-01-22,0,0.6301020408163266,0.6347293474746231,0.6368189187093631,0.019905496811273737,0.004627306658296471
4047c2e259529179,2022-01-22,0,0.4255319148936171,0.4558895046422832,0.46977420469697734,0.12320271552391598,0.030357589748666147
44a55ba1de2b30e2,2022-01-22,0,0.8,0.7694516647949005,0.7545689573700319,-0.18107676125111616,-0.030548335205099586
453283e947919ff7,2022-01-22,1,0.5,0.6568115186521073,0.7197818094690922,0.6491172909736632,0.1568115186521073
5ba543efdce072f5,2022-01-22,1,0.7183098591549295,0.7091057960925132,0.7048754201184461,-0.04504826563395714,-0.009204063062416279
5da7168ac2ff0e1d,2022-01-22,1,0.6428571428571429,0.6247622056121833,0.6164394902728628,-0.077975501953511,-0.018094937244959586
80f65ee9b6f8d63b,2022-01-22,0,0.3788903924221921,0.3701643019990294,0.36623591255392074,-0.03725141512713681,-0.008726090423162691
9687021e5c4d092a,2022-01-22,1,0.6912521440823327,0.6381657840295247,0.6128392766435334,-0.23856775188517731,-0.05308636005280798
cddd3d4febe097f8,2022-01-22,0,0.6365876193409301,0.730085660966583,0.7671013704388038,0.43447338300529825,0.0934980416256529
e786542667fdecf0,2022-01-22,1,0.4088050314465408,0.3875691122139236,0.378076094282593,-0.08863440041974607,-0.021235919232617195
0489b42ac0ab6d4b,2022-02-05,0,0.5346534653465347,0.6153421448397182,0.6501889408192225,0.3309877500539261,0.08068867949318348
0730c4e6fb247fa1,2022-02-05,0,0.238095238095238,0.2453230964532725,0.24864806268655118,0.039437197249223344,0.007227858358034495
208c5dc52ccfd47a,2022-02-05,1,0.7228793511321393,0.7322769614613118,0.736469931640109,0.047416428371327424,0.009397610329172523
4b67a1875390e7ad,2022-02-05,0,0.3181818181818181,0.3552402188957981,0.37266384667278446,0.1660564705992954,0.03705840071397998
6b4c2cc27855506a,2022-02-05,1,0.7054263565891473,0.7350539989153398,0.7478394852391219,0.14714458190521418,0.029627642326192527
ace166f26c2ac2e8,2022-02-05,0,0.6301020408163266,0.5562144484902157,0.521664600975026,-0.3068421292549345,-0.07388759232611086
18a1617ee7356352,2022-02-12,1,0.5962732919254659,0.5983592231611101,0.5993036646533483,0.008672260476598193,0.002085931235644267
19e742ccaa09cf08,2022-02-12,0,0.2650822669104204,0.2701788404465264,0.27250947814929327,0.026002940734274227,0.005096573536105986
238832b58a66ae07,2022-02-12,0,0.4201680672268907,0.4442999492294593,0.4553339022018842,0.09835472319102487,0.024131882002568605
