date,event_name,total_fights,non_cold_eligible_fights,cold_start_fights,train_fights,frozen_feature_count,train_valid_feature_count,same_predicted_winner_count,disagreement_count,market_right_v4_wrong,v4_right_market_wrong,moved_toward_actual_winner,moved_away_from_actual_winner,unchanged_actual_winner_probability,mean_probability_movement_actual_winner,median_probability_movement_actual_winner,qualifying_bets,bet_wins,bet_losses,bet_flat_risk,bet_profit,bet_units,bet_roi,max_pair_sum_error,selected_alpha,edge_threshold,flat_stake,all_n,all_market_accuracy,all_market_brier,all_market_log_loss,all_v4_accuracy,all_v4_brier,all_v4_log_loss,noncold_n,noncold_market_accuracy,noncold_market_brier,noncold_market_log_loss,noncold_v4_accuracy,noncold_v4_brier,noncold_v4_log_loss,cold_n,cold_market_accuracy,cold_market_brier,cold_market_log_loss,cold_v4_accuracy,cold_v4_brier,cold_v4_log_loss
2026-01-24,UFC 324: Gaethje vs. Pimblett,11,9,2,6354,141,141,11,0,0,0,9,2,0,0.0102953049931848,0.0179211744642074,1,0,1,10.0,-10.0,-1.0,-1.0,0.0,1.0,0.075,10.0,11,0.7272727272727273,0.1528157948001589,0.4716680467713979,0.7272727272727273,0.1509006242315893,0.4629192641547875,9,0.6666666666666666,0.1708622352071066,0.5078861220777107,0.6666666666666666,0.1708615580573261,0.5035042995291206,2,1.0,0.0716068129688939,0.3086867078929902,1.0,0.0610764220157738,0.2802866049702891
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,13,7,6,6365,141,141,12,1,0,1,8,5,0,0.0085281110932794,0.0129240117880389,0,0,0,0.0,0.0,0.0,,0.0,1.0,0.075,10.0,13,0.6923076923076923,0.1977614788780145,0.5777076187385368,0.7692307692307693,0.1943613019179557,0.569271046789739,7,0.7142857142857143,0.1648354937732076,0.5017872449701978,0.7142857142857143,0.1649537617320999,0.4981943859901758,6,0.6666666666666666,0.2361751281669558,0.6662813881349324,0.8333333333333334,0.2286700988014541,0.6521938177225627
2026-02-07,UFC Fight Night: Bautista vs. Oliveira,13,9,4,6378,141,141,13,0,0,0,8,5,0,0.005356090969403183,0.005984176501565575,1,1,0,10.0,5.376344086021505,0.5376344086021505,0.5376344086021505,0.0,1.0,0.075,10.0,13,0.8461538461538461,0.1354093100405898,0.44190408919907676,0.8461538461538461,0.13549581479829745,0.43840561755739293,9,1.0,0.11745932045922926,0.4111614662433911,1.0,0.11742035220153123,0.40750441379947205,4,0.5,0.17579678659865094,0.5110749908493695,0.5,0.17616560564102138,0.507933326012715
