date,event_name,fight_id,fighter,side,american_odds,fair_market_p,v4_model_p,edge,cold_start,bet_eligible,actual_winner,won,profit_if_bet,raw_tree_correction_logit_red,market_logit_red,model_logit_red,min_prior_fights,cold_start_fighters,fighter_prior_fights,r_pre_fights,b_pre_fights,flat_stake,flat_pnl,units_pnl
2026-01-24,UFC 324: Gaethje vs. Pimblett,836a188a90e479a5,Arnold Allen,red,184.0,0.3386960203217612,0.4144108156247178,0.0757147953029566,False,True,Jean Silva,0,-10.0,0.3233498996448509,-0.669110602731704,-0.345760703086853,6.0,,Arnold Allen:13 | Jean Silva:6,13.0,6.0,10.0,-10.0,-1.0
2026-02-07,UFC Fight Night: Bautista vs. Oliveira,2bbfbb234c255249,Klaudia Sygula,red,-186.0,0.6247507085126481,0.7241941077221635,0.09944339920951539,False,True,Klaudia Sygula,1,5.376344086021505,0.4556000102107923,0.5097621213848192,0.9653621315956116,2.0,,Klaudia Sygula:2 | Priscila Cachoeira:12,2.0,12.0,10.0,5.376344086021505,0.5376344086021505
