market_key,is_synthetic,year,n,mean_implied_p,realized_win_rate,calibration_error,brier,log_loss,flat_bet_roi
goes_distance,True,2012,170.0,0.48522175836257136,0.4647058823529412,-0.020515876009630174,0.22470671977062198,0.638762264544008,-0.06041558038455931
goes_distance,True,2013,346.0,0.5120521242427588,0.4682080924855491,-0.04384403175720969,0.2265712850911837,0.6785242255455761,-0.08685541864088138
goes_distance,True,2014,425.0,0.5339688608037003,0.4682352941176471,-0.06573356668605324,0.24049213866837904,0.6733055288450361,-0.12704417567427206
goes_distance,True,2015,432.0,0.5278642141236684,0.4652777777777778,-0.06258643634589056,0.23432758422469313,0.6586695568254904,-0.12247234673565735
goes_distance,True,2016,437.0,0.5126330229480646,0.4874141876430206,-0.025218835305043985,0.22262821824418685,0.6349758408396816,-0.06536504758204581
goes_distance,True,2017,405.0,0.5296566373117004,0.4765432098765432,-0.053113427435157234,0.23177993826019794,0.6548159309716656,-0.10377102763620048
goes_distance,True,2018,438.0,0.5320012206912594,0.4520547945205479,-0.07994642617071152,0.22988805675716883,0.6522414706595883,-0.16035974713912463
goes_distance,True,2019,458.0,0.5427412071208865,0.5043668122270742,-0.038374394893812225,0.22222459943267686,0.6360063185843047,-0.08594386111678488
goes_distance,True,2020,416.0,0.5351840026376932,0.45913461538461536,-0.0760493872530778,0.2407652435426367,0.6754489658683608,-0.13474895418080807
goes_distance,True,2021,471.0,0.5500120841997846,0.49469214437367304,-0.05531993982611161,0.2455456362056658,0.6856328191479087,-0.06864381347970762
goes_distance,True,2022,481.0,0.513682380756443,0.446985446985447,-0.066696933770996,0.23436890249807937,0.6616674658191205,-0.12075420204411602
goes_distance,True,2023,424.0,0.4616350437778005,0.4528301886792453,-0.00880485509855522,0.21784684803832258,0.6248171993874918,-0.006132656828716716
goes_distance,True,2024,386.0,0.49044978993661303,0.5077720207253886,0.017322230788775594,0.21948456704259456,0.6274979773276906,0.0767339965008568
goes_distance,True,2025,384.0,0.5221919782741503,0.5026041666666666,-0.019587811607483685,0.22632304760544697,0.6432077288097173,-0.030445405991887164
goes_distance,True,2026,114.0,0.467318846616102,0.5614035087719298,0.09408466215582778,0.2627518042831112,0.730483503351496,0.4107072812399556
inside_distance,True,2012,74.0,0.7206369419911982,0.527027027027027,-0.19360991496417124,0.24404386309680762,0.6927445965207091,-0.3060718606704469
inside_distance,True,2013,325.0,0.6920500547448498,0.5138461538461538,-0.17820390089869598,0.25845051619381626,0.7896526476563944,-0.2690087890348404
inside_distance,True,2014,309.0,0.6692322077217238,0.5016181229773463,-0.16761408474437745,0.2558613553727051,0.7624982832362458,-0.26557217955270046
inside_distance,True,2015,432.0,0.6702009990353017,0.5092592592592593,-0.16094173977604243,0.2619134825295866,0.7888412725898911,-0.24420551971137322
inside_distance,True,2016,437.0,0.6989482547269553,0.5034324942791762,-0.19551576044777907,0.2639093509727294,0.8271990858215044,-0.29559046449434573
inside_distance,True,2017,404.0,0.6799054015179179,0.49504950495049505,-0.18485589656742285,0.26824733414680024,0.7894113132411352,-0.2738480603587304
inside_distance,True,2018,438.0,0.6686720489525443,0.5068493150684932,-0.1618227338840511,0.24843451073145484,0.8088181809373589,-0.25799557139886536
inside_distance,True,2019,458.0,0.6611430291448556,0.46943231441048033,-0.19171071473437523,0.26463845219604903,0.870830936312273,-0.29896902583536356
inside_distance,True,2020,416.0,0.689322208099971,0.5,-0.18932220809997102,0.27348469537145026,0.9603126002695123,-0.2720952846691855
inside_distance,True,2021,470.0,0.666418553200094,0.4851063829787234,-0.18131217022137064,0.27222741021152985,0.7594030761866107,-0.2704973576937188
inside_distance,True,2022,481.0,0.6638726722949738,0.5135135135135135,-0.15035915878146033,0.2600056440309056,0.7693310678223776,-0.21238251762484364
inside_distance,True,2023,424.0,0.6819942469778156,0.49056603773584906,-0.19142820924196657,0.2470878554246938,0.7900122242087254,-0.31804723629514364
inside_distance,True,2024,386.0,0.6537513439784142,0.4481865284974093,-0.20556481548100486,0.27076551539074994,0.9498645813957711,-0.30418396404830245
inside_distance,True,2025,384.0,0.47538429944561594,0.4791666666666667,0.003782367221050742,0.28222696110707596,0.8238430453824273,0.49763183049027326
inside_distance,True,2026,114.0,0.46276998502895966,0.43859649122807015,-0.02417349380088951,0.31726641641832304,0.9262271331778545,0.4984871429754339
moneyline,False,2010,412.0,0.514604213026517,0.5,-0.014604213026517043,0.2241997553095012,0.6389035558307476,-0.01858254569088321
moneyline,False,2011,568.0,0.5120180224755095,0.5,-0.012018022475509538,0.201815101941138,0.5919025307133746,-0.05349168993885363
moneyline,False,2012,648.0,0.5100487482325319,0.5,-0.010048748232531879,0.21012446700767226,0.6079872328304209,-0.0365552535005151
