market_key,n,mean_implied_p,realized_win_rate,calibration_error,brier,log_loss,flat_bet_roi
moneyline,12982.0,0.5177426233561345,0.5,-0.017742623356134524,0.21048473003089543,0.6081297553483216,-0.05286272630219623
win_by_decision,11300.0,0.26563813312378926,0.24424778761061947,-0.02139034551316979,0.17118820596461465,0.5190000468631302,-0.09504459222784437
win_by_ko_tko_dq,10838.0,0.2084389945457987,0.16599003506181953,-0.04244895948397917,0.13125171290585613,0.42418679314925833,-0.14127266765768137
win_by_submission,10837.0,0.12858206262097785,0.08646304327765987,-0.04211901934331798,0.07391133090726534,0.2700207385593774,-0.3936284174036795
