logit_threshold,bets,wins,profit_units,roi,avg_signed_logit_residual,avg_price_edge,avg_model_prob,avg_decimal_odds
0.0,428,132,79.35418060200669,0.1854069640233801,0.2734554627859726,0.08094045351131475,0.35668365163815635,5.223204480157158
0.05,428,132,79.35418060200669,0.1854069640233801,0.2734554627859726,0.08094045351131475,0.35668365163815635,5.223204480157158
0.1,416,125,61.64136008918618,0.148176346368236,0.278855330249247,0.08009697375542016,0.35475987125223934,5.237184367775104
0.15,394,116,30.641360089186175,0.07776994946493954,0.2870646853081905,0.07811608883878345,0.3527241982803278,5.206513492492543
0.2,331,105,33.541360089186185,0.10133341416672563,0.3079964306225299,0.07529070444800622,0.36191866940782147,4.953042976232541
0.25,242,81,31.435299483125565,0.12989793174845274,0.33713455096318784,0.07748540770902079,0.3770403508250871,4.562006867278544
0.3,165,64,51.55697780480389,0.3124665321503266,0.36632725568734453,0.07626736043288433,0.3885546818827138,4.420266708301532
0.4,41,14,-1.119480519480521,-0.02730440291415905,0.44882166316107375,0.09294825789204746,0.4205023880775382,4.028598917202786
