test_year,train_start_date,train_end_date,calibration_start_date,calibration_end_date,test_start_date,test_end_date,train_rows,train_rows_after_symmetry,calibration_rows,test_rows,accuracy,log_loss,roc_auc,brier_score,best_threshold,calibration_method
2022,2014-01-01,2020-12-31,2021-01-01,2021-12-31,2022-01-01,2022-12-31,3306,6612,497,506,0.6126482213438735,0.645803740248075,0.6368689733408962,0.2273913231862913,0.48,isotonic
2023,2014-01-01,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,3803,7606,506,504,0.6170634920634921,0.6703713548721222,0.6414098334272149,0.23180020952417366,0.51,isotonic
2024,2014-01-01,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,4309,8618,504,513,0.6354775828460039,0.6455247553938416,0.6692926635256684,0.22733576573053013,0.49,isotonic
2025,2014-01-01,2023-12-31,2024-01-01,2024-12-31,2025-01-01,2025-12-31,4813,9626,513,515,0.6679611650485436,0.6485559095962717,0.6990265297389816,0.2221761530998243,0.45,isotonic
