market_type,threshold,card,date,fight_id,fighter,market_key,odds,market_fair_p,model_p,edge,won,flat_stake,flat_pnl,kelly_full_fraction,quarter_kelly_stake,quarter_kelly_pnl,kelly_bankroll_basis
moneyline,0.02,Freedom 250,2026-06-14,00e8d4b961a65d21,Bo Nickal,moneyline,-305.0,0.7220792588780237,0.7654616,0.0433823647906469,1,10.0,3.2786885245901636,0.050119479999999834,6.264934999999979,2.0540770491803206,500.0
moneyline,0.02,Freedom 250,2026-06-14,127ba4a1ccb3d4a6,Steve Garcia,moneyline,120.0,0.4365079365079364,0.4877237,0.0512157716448345,0,10.0,-10.0,0.06082678333333332,7.6033479166666655,-7.6033479166666655,500.0
moneyline,0.02,Freedom 250,2026-06-14,30cdb851f6c63444,Josh Hokit,moneyline,-410.0,0.771505376344086,0.8229615,0.0514561328836666,1,10.0,2.4390243902439024,0.09710365000000006,12.137956250000007,2.9604771341463434,500.0
moneyline,0.02,Freedom 250,2026-06-14,5727d5be8c373346,Ciryl Gane,moneyline,-112.0,0.5043297540699688,0.647314,0.1429842579806598,1,10.0,8.928571428571429,0.25230567999999987,31.53820999999998,28.159116071428556,500.0
moneyline,0.02,Freedom 250,2026-06-14,60de0423ae6ed097,Sean O'Malley,moneyline,-440.0,0.7819063004846527,0.86872584,0.0868195357923553,1,10.0,2.2727272727272725,0.2911195359999998,36.38994199999998,8.270441363636358,500.0
moneyline,0.02,Freedom 250,2026-06-14,7208e40818401e88,Ilia Topuria,moneyline,-470.0,0.7913616398243045,0.8656716,0.0743099352451229,0,10.0,-10.0,0.23432811999999997,29.291014999999998,-29.291014999999998,500.0
moneyline,0.02,Vegas 119,2026-06-20,17d31249c9ab18af,Andre Lima,moneyline,-625.0,0.827123695976155,0.8843174576759338,0.0571937616997788,0,10.0,-10.0,0.16130156815052035,20.3461664188848,-20.3461664188848,504.5497487017249
moneyline,0.02,Vegas 119,2026-06-20,33afdd7ad43a2756,Kyoji Horiguchi,moneyline,130.0,0.4170073589533933,0.4502317309379577,0.0332243719845644,0,10.0,-10.0,0.027333062428694505,3.447722444911593,-3.447722444911593,504.5497487017249
moneyline,0.02,Vegas 119,2026-06-20,3b4803afa824fea3,Mitch Raposo,moneyline,140.0,0.4003612281757977,0.5337233543395996,0.1333621261638019,1,10.0,14.0,0.20066860743931358,25.311823863957688,35.436553409540764,504.5497487017249
moneyline,0.02,Vegas 119,2026-06-20,571a3eabff5c7ba7,Vinicius Oliveira,moneyline,-290.0,0.7135512302607419,0.755476713180542,0.0419254829198001,1,10.0,3.4482758620689657,0.04635918140411389,5.8476283318658355,2.0164235627123572,504.5497487017249
moneyline,0.02,Vegas 119,2026-06-20,6658fe4531c86674,Levan Chokheli,moneyline,-360.0,0.7508125677139762,0.7893742918968201,0.0385617241828438,1,10.0,2.7777777777777777,0.031121742725372346,3.925616867811588,1.0904491299476635,504.5497487017249
moneyline,0.02,Vegas 119,2026-06-20,aaec28fa3c0c576d,Christian Rodriguez,moneyline,-198.0,0.6369041816941223,0.6843646168708801,0.0474604351767578,1,10.0,5.050505050505051,0.059406558275222766,7.493391012249506,3.7845409152775287,504.5497487017249
moneyline,0.02,Vegas 119,2026-06-20,afc021700481ac4e,Ion Cutelaba,moneyline,250.0,0.2742474916387959,0.3148898184299469,0.0406423267911509,0,10.0,-10.0,0.04084574580192566,5.152177694974032,-5.152177694974032,504.5497487017249
moneyline,0.02,Vegas 119,2026-06-20,b23a1a5d35eb438a,Luana Santos,moneyline,-105.0,0.4891657638136511,0.544291615486145,0.0551258516724939,1,10.0,9.523809523809524,0.06579781174659723,8.299567345467258,7.90434985282596,504.5497487017249
moneyline,0.02,Vegas 119,2026-06-20,e4849375d1949c74,Murtazali Magomedov,moneyline,-325.0,0.7335423197492164,0.7743521332740784,0.040809813524862,1,10.0,3.076923076923077,0.040996566414833124,5.171201820559407,1.591139021710587,504.5497487017249
moneyline,0.02,Baku,2026-06-27,012c307c9d446c4d,Shara Magomedov,moneyline,-425.0,0.774798927613941,0.8156833052635193,0.0408843776495783,1,10.0,2.3529411764705883,0.0323373526334763,4.263899337775496,1.0032704324177637,527.4271380349694
moneyline,0.02,Baku,2026-06-27,0e60ab32f3d03929,Daniil Donchenko,moneyline,-500.0,0.7894736842105263,0.8185360431671143,0.0290623589565879,1,10.0,2.0,0.0,0.0,0.0,527.4271380349694
moneyline,0.02,Baku,2026-06-27,35985895d4ef321e,Abus Magomedov,moneyline,-105.0,0.4842767295597484,0.5340312123298645,0.049754482770116,1,10.0,9.523809523809524,0.04476398527622215,5.90243516031934,5.621366819351752,527.4271380349694
moneyline,0.02,Baku,2026-06-27,5e7f4ba1210f433d,Andrey Pulyaev,moneyline,154.0,0.3775334481388264,0.5014510154724121,0.1239175673335857,0,10.0,-10.0,0.17771790863631606,23.433311982403087,-23.433311982403087,527.4271380349694
moneyline,0.02,Baku,2026-06-27,809814f03ff3140c,Matheus Camilo,moneyline,150.0,0.3790849673202614,0.4990256428718567,0.1199406755515952,1,10.0,15.0,0.16504273811976114,21.76200475499014,32.64300713248521,527.4271380349694
moneyline,0.02,Baku,2026-06-27,ae0a91c8f92f4758,Bekzat Almakhan,moneyline,140.0,0.3932584269662921,0.4524968862533569,0.0592384592870647,0,10.0,-10.0,0.061423233577183205,8.099070073616794,-8.099070073616794,527.4271380349694
moneyline,0.02,Baku,2026-06-27,d83294b031502177,Brunno Ferreira,moneyline,205.0,0.3089598352214212,0.3554200232028961,0.0464601879814749,0,10.0,-10.0,0.04099076622869907,5.404910629465807,-5.404910629465807,527.4271380349694
moneyline,0.02,UFC 329,2026-07-11,118c25bda9392140,Elisha Ellison,moneyline,900.0,0.096045197740113,0.149601012468338,0.053555814728225,0,10.0,-10.0,0.055112236075931124,7.299029959299613,-7.299029959299613,529.7574897337385
moneyline,0.02,UFC 329,2026-07-11,1b6a3b0d27654d3e,Cody Durden,moneyline,190.0,0.3309929789368104,0.3614765107631683,0.0304835318263578,0,10.0,-10.0,0.02541151642799368,3.365485288305397,-3.365485288305397,529.7574897337385
moneyline,0.02,UFC 329,2026-07-11,7765e5e779dd7dc9,Nikita Krylov,moneyline,105.0,0.4675324675324675,0.5026230812072754,0.0350906136748078,0,10.0,-10.0,0.028930777595156755,3.831574028713831,-3.831574028713831,529.7574897337385
moneyline,0.02,UFC 329,2026-07-11,930317fde9dbc55e,Luke Riley,moneyline,-225.0,0.6636481241914618,0.7090601921081543,0.0454120679166925,1,10.0,4.444444444444445,0.054445624351501465,7.210744320859379,3.2047752537152796,529.7574897337385
moneyline,0.02,UFC 329,2026-07-11,989760fa75321d69,Max Holloway,moneyline,-265.0,0.6957699520733487,0.7561987638473511,0.0604288117740023,1,10.0,3.7735849056603774,0.11012548804283145,14.584950525318305,5.503754915214455,529.7574897337385
moneyline,0.02,UFC 329,2026-07-11,9e00ee7644774e18,Farid Basharat,moneyline,-675.0,0.8370993168681029,0.8733301162719727,0.0362307994038697,1,10.0,1.4814814814814814,0.018308401107787982,2.4247531529750392,0.3592226893296354,529.7574897337385
moneyline,0.02,UFC 329,2026-07-11,a26ea74f2e908842,King Green,moneyline,-112.0,0.5043297540699688,0.5279808044433594,0.0236510503733905,1,10.0,8.928571428571429,0.0,0.0,0.0,529.7574897337385
moneyline,0.02,UFC 329,2026-07-11,a3ab1979192b647c,Lone'er Kavanagh,moneyline,-218.0,0.6574752261956054,0.6849393844604492,0.0274641582648438,0,10.0,-10.0,0.0,0.0,-0.0,529.7574897337385
moneyline,0.02,UFC 329,2026-07-11,c572daedf2012a49,Mario Bautista,moneyline,120.0,0.4365079365079364,0.4598616063594818,0.0233536698515453,1,10.0,12.0,0.009746278325716656,1.2907909850194996,1.5489491820233996,529.7574897337385
moneyline,0.02,UFC 329,2026-07-11,e84c3f1f9a33fa90,Tracy Cortez,moneyline,102.0,0.4739134147382802,0.4985700249671936,0.0246566102289134,0,10.0,-10.0,0.006972010229148108,0.9233686593478622,-0.9233686593478622,529.7574897337385
