market_type,card,date,fight_id,fighter,market_key,odds,market_fair_p,model_p,edge,won,min_prior_fights,cold_start,cold_start_fighters,fighter_prior_fights,eligible,eligibility_reason
moneyline,UFC 329,2026-07-11,1b6a3b0d27654d3e,Cody Durden,moneyline,190.0,0.3309929789368104,0.3614765107631683,0.0304835318263578,0,7.0,False,,Alessandro Costa:7 | Cody Durden:15,True,eligible
moneyline,UFC 329,2026-07-11,7765e5e779dd7dc9,Nikita Krylov,moneyline,105.0,0.4675324675324675,0.5026230812072754,0.0350906136748078,0,21.0,False,,Nikita Krylov:21 | Robert Whittaker:24,True,eligible
moneyline,UFC 329,2026-07-11,930317fde9dbc55e,Luke Riley,moneyline,-225.0,0.6636481241914618,0.7090601921081543,0.0454120679166925,1,2.0,False,,Luke Riley:2 | Kai Kamaka III:4,True,eligible
moneyline,UFC 329,2026-07-11,989760fa75321d69,Max Holloway,moneyline,-265.0,0.6957699520733487,0.7561987638473511,0.0604288117740023,1,14.0,False,,Max Holloway:32 | Conor McGregor:14,True,eligible
moneyline,UFC 329,2026-07-11,9e00ee7644774e18,Farid Basharat,moneyline,-675.0,0.8370993168681029,0.8733301162719727,0.0362307994038697,1,0.0,True,John Garza,Farid Basharat:6 | John Garza:0,False,cold_start_fighter_lt_2_prior_fights
moneyline,UFC 329,2026-07-11,a26ea74f2e908842,King Green,moneyline,-112.0,0.5043297540699688,0.5279808044433594,0.0236510503733905,1,13.0,False,,Terrance McKinney:13 | King Green:28,True,eligible
moneyline,UFC 329,2026-07-11,a3ab1979192b647c,Lone'er Kavanagh,moneyline,-218.0,0.6574752261956054,0.6849393844604492,0.0274641582648438,0,4.0,False,,Brandon Royval:12 | Lone'er Kavanagh:4,True,eligible
moneyline,UFC 329,2026-07-11,c572daedf2012a49,Mario Bautista,moneyline,120.0,0.4365079365079364,0.4598616063594818,0.0233536698515453,1,14.0,False,,Cory Sandhagen:16 | Mario Bautista:14,True,eligible
moneyline,UFC 329,2026-07-11,e84c3f1f9a33fa90,Tracy Cortez,moneyline,102.0,0.4739134147382802,0.4985700249671936,0.0246566102289134,0,5.0,False,,Wang Cong:5 | Tracy Cortez:8,True,eligible
moneyline,Oklahoma City,2026-07-18,410e6b9e01660b35,Stewart Nicoll,moneyline,675.0,0.1238223418573351,0.1748261749744415,0.0510038331171063,0,2.0,False,,Stewart Nicoll:3 | Alden Coria:2,True,eligible
moneyline,Oklahoma City,2026-07-18,46d800ce45fdd3e6,Felipe Franco,moneyline,120.0,0.4365079365079364,0.548930823802948,0.1124228872950115,1,0.0,True,Levi Rodrigues Jr. | Felipe Franco,Levi Rodrigues Jr.:0 | Felipe Franco:1,False,cold_start_fighter_lt_2_prior_fights
moneyline,Oklahoma City,2026-07-18,4eff5a845db17572,Christian Leroy Duncan,moneyline,-395.0,0.7659021045164341,0.851331889629364,0.0854297851129298,1,9.0,False,,Jared Cannonier:20 | Christian Leroy Duncan:9,True,eligible
moneyline,Oklahoma City,2026-07-18,52ddf20a10890b41,Fatima Kline,moneyline,-470.0,0.7913616398243045,0.8514427542686462,0.0600811144443417,1,4.0,False,,Fatima Kline:4 | Tabatha Ricci:11,True,eligible
moneyline,Oklahoma City,2026-07-18,9e525f939fba3e73,Ezra Elliott,moneyline,110.0,0.4572564612326044,0.4916155934333801,0.0343591322007757,1,0.0,True,Ezra Elliott | Damien Anderson,Ezra Elliott:0 | Damien Anderson:0,False,cold_start_fighter_lt_2_prior_fights
moneyline,Oklahoma City,2026-07-18,c64c6ba6eb1e1d06,Alberto Montes,moneyline,145.0,0.3907637655417407,0.4462548792362213,0.0554911136944805,0,1.0,True,Tommy McMillen | Alberto Montes,Tommy McMillen:1 | Alberto Montes:1,False,cold_start_fighter_lt_2_prior_fights
moneyline,Oklahoma City,2026-07-18,e05155c1b5c2dc74,RJ Harris,moneyline,100.0,0.4782608695652174,0.5057068467140198,0.0274459771488023,1,0.0,True,Alvin Hines | RJ Harris,Alvin Hines:1 | RJ Harris:0,False,cold_start_fighter_lt_2_prior_fights
moneyline,Oklahoma City,2026-07-18,f2abca7379982d4f,Chase Hooper,moneyline,-375.0,0.7571884984025559,0.8328332304954529,0.075644732092897,1,2.0,False,,Chase Hooper:13 | Mitch Ramirez:2,True,eligible
moneyline,Oklahoma City,2026-07-18,f2eb569176e46edf,Jean-Paul Lebosnoyani,moneyline,150.0,0.3835616438356164,0.4458322823047638,0.0622706384691473,1,1.0,True,Jean-Paul Lebosnoyani,Seokhyeon Ko:2 | Jean-Paul Lebosnoyani:1,False,cold_start_fighter_lt_2_prior_fights
method,Freedom 250,2026-06-14,00e8d4b961a65d21,Bo Nickal,win_by_ko_tko_dq,205.0,0.2743624722365904,0.3929781317710876,0.1186156595344972,1,6.0,False,,Bo Nickal:6 | Kyle Daukaus:8,True,eligible
method,Freedom 250,2026-06-14,127ba4a1ccb3d4a6,Diego Lopes,win_by_ko_tko_dq,265.0,0.230363052287103,0.2879490852355957,0.0575860329484926,1,9.0,False,,Steve Garcia:10 | Diego Lopes:9,True,eligible
method,Freedom 250,2026-06-14,127ba4a1ccb3d4a6,Diego Lopes,win_by_submission,425.0,0.1601571696853193,0.1849435269832611,0.0247863572979418,0,9.0,False,,Steve Garcia:10 | Diego Lopes:9,True,eligible
method,Freedom 250,2026-06-14,127ba4a1ccb3d4a6,Steve Garcia,win_by_decision,380.0,0.175171904343318,0.2174163311719894,0.0422444268286714,0,9.0,False,,Steve Garcia:10 | Diego Lopes:9,True,eligible
method,Freedom 250,2026-06-14,30cdb851f6c63444,Josh Hokit,win_by_decision,600.0,0.1194098120111769,0.1418046802282333,0.0223948682170563,0,3.0,False,,Josh Hokit:3 | Derrick Lewis:31,True,eligible
method,Freedom 250,2026-06-14,30cdb851f6c63444,Josh Hokit,win_by_ko_tko_dq,-110.0,0.4378359773743156,0.5786570906639099,0.1408211132895943,1,3.0,False,,Josh Hokit:3 | Derrick Lewis:31,True,eligible
method,Freedom 250,2026-06-14,30cdb851f6c63444,Josh Hokit,win_by_submission,250.0,0.2388196240223539,0.2608281373977661,0.0220085133754121,0,3.0,False,,Josh Hokit:3 | Derrick Lewis:31,True,eligible
method,Freedom 250,2026-06-14,5727d5be8c373346,Ciryl Gane,win_by_decision,250.0,0.2405121522676194,0.266859233379364,0.0263470811117446,0,12.0,False,,Ciryl Gane:12 | Alex Pereira:12,True,eligible
method,Freedom 250,2026-06-14,60de0423ae6ed097,Sean O'Malley,win_by_decision,105.0,0.4101737456432607,0.4348804056644439,0.0247066600211832,0,10.0,False,,Aiemann Zahabi:10 | Sean O'Malley:14,True,eligible
method,Freedom 250,2026-06-14,7208e40818401e88,Ilia Topuria,win_by_decision,1200.0,0.0646866081809534,0.1280408352613449,0.0633542270803915,0,9.0,False,,Ilia Topuria:9 | Justin Gaethje:15,True,eligible
method,Freedom 250,2026-06-14,7208e40818401e88,Justin Gaethje,win_by_ko_tko_dq,500.0,0.140154317725399,0.1642291396856308,0.0240748219602318,1,9.0,False,,Ilia Topuria:9 | Justin Gaethje:15,True,eligible
method,Vegas 119,2026-06-20,33afdd7ad43a2756,Kyoji Horiguchi,win_by_decision,325.0,0.2007264836354836,0.2537969052791595,0.0530704216436759,0,10.0,False,,Manel Kape:10 | Kyoji Horiguchi:10,True,eligible
method,Vegas 119,2026-06-20,3b4803afa824fea3,Mitch Raposo,win_by_decision,260.0,0.2454203851573508,0.3106938600540161,0.0652734748966652,1,3.0,False,,Mitch Raposo:3 | Allan Nascimento:5,True,eligible
method,Vegas 119,2026-06-20,8b809ba1880aded0,Gaston Bolanos,win_by_decision,700.0,0.1083172062504641,0.1474147737026214,0.0390975674521572,1,3.0,False,,Michael Aswell Jr.:3 | Gaston Bolanos:4,True,eligible
