market_type,threshold,card,date,bets,wins,losses,flat_start_bankroll,flat_risk,flat_profit,flat_end_bankroll,flat_card_roi,kelly_start_bankroll,kelly_risk,kelly_profit,kelly_end_bankroll,kelly_card_roi
moneyline,0.02,Freedom 250,2026-06-14,6,4,2,500.0,60.0,-3.080988383867232,496.91901161613276,-0.0513498063977872,500.0,123.22540616666662,4.549748701724912,504.5497487017249,0.03692216437551214
moneyline,0.02,Vegas 119,2026-06-20,9,6,3,496.91901161613276,90.0,7.877291291084395,504.7963029072172,0.08752545878982662,504.5497487017249,84.9952958006817,22.877389333244434,527.4271380349694,0.2691606531600652
moneyline,0.02,Baku,2026-06-27,7,4,3,504.7963029072172,70.0,-1.1232492997198875,503.6730536074973,-0.016046418567426963,527.4271380349694,68.86563193857067,2.3303516987690394,529.7574897337385,0.0338391100636055
moneyline,0.02,UFC 329,2026-07-11,10,5,5,503.6730536074973,100.0,-19.371917739842267,484.30113586765503,-0.19371917739842268,529.7574897337385,40.93069691983892,-4.802755895383934,524.9547338383545,-0.11733872757627199
moneyline,0.02,Oklahoma City,2026-07-18,9,7,2,484.30113586765503,90.0,35.32597181075501,519.6271076784101,0.39251079789727783,524.9547338383545,135.24184607462604,52.95177633752968,577.9065101758843,0.39153396581344396
moneyline,0.03,Freedom 250,2026-06-14,6,4,2,500.0,60.0,-3.080988383867232,496.91901161613276,-0.0513498063977872,500.0,123.22540616666662,4.549748701724912,504.5497487017249,0.03692216437551214
moneyline,0.03,Vegas 119,2026-06-20,9,6,3,496.91901161613276,90.0,7.877291291084395,504.7963029072172,0.08752545878982662,504.5497487017249,84.9952958006817,22.877389333244434,527.4271380349694,0.2691606531600652
moneyline,0.03,Baku,2026-06-27,6,3,3,504.7963029072172,60.0,-3.1232492997198875,501.6730536074973,-0.05205415499533146,527.4271380349694,68.86563193857067,2.3303516987690394,529.7574897337385,0.0338391100636055
moneyline,0.03,UFC 329,2026-07-11,6,3,3,501.6730536074973,60.0,-20.300489168413698,481.3725644390836,-0.3383414861402283,529.7574897337385,38.71653727547156,-5.428336418059471,524.329153315679,-0.14020717760569293
moneyline,0.03,Oklahoma City,2026-07-18,8,6,2,481.3725644390836,80.0,25.325971810755007,506.6985362498386,0.3165746476344376,524.329153315679,133.584547383499,51.39254146318306,575.7216947788621,0.3847192094430176
moneyline,0.05,Freedom 250,2026-06-14,5,3,2,500.0,50.0,-6.359676908457396,493.6403230915426,-0.1271935381691479,500.0,116.96047116666664,2.495671652544594,502.4956716525446,0.02133773596883263
moneyline,0.05,Vegas 119,2026-06-20,3,2,1,493.6403230915426,30.0,13.523809523809524,507.1641326153521,0.4507936507936508,502.4956716525446,53.7378905270193,22.901122762167496,525.3967944147121,0.4261634116555591
moneyline,0.05,Baku,2026-06-27,3,1,2,507.1641326153521,30.0,-5.0,502.1641326153521,-0.16666666666666666,525.3967944147121,53.089228770298654,1.1063496981696677,526.5031441128817,0.020839438127016587
moneyline,0.05,UFC 329,2026-07-11,2,1,1,502.1641326153521,20.0,-6.226415094339623,495.9377175210125,-0.3113207547169811,526.5031441128817,21.749545318646362,-1.7842465157657408,524.718897597116,-0.08203603751826789
moneyline,0.05,Oklahoma City,2026-07-18,7,5,2,495.9377175210125,70.0,14.325971810755005,510.26368933176747,0.20465674015364294,524.718897597116,129.82086932331626,47.181471040375015,571.900368637491,0.36343518023185095
moneyline,0.075,Freedom 250,2026-06-14,2,2,0,500.0,20.0,11.2012987012987,511.2012987012987,0.560064935064935,500.0,67.92815199999995,36.429557435064915,536.4295574350649,0.5362954292509671
moneyline,0.075,Vegas 119,2026-06-20,1,1,0,511.2012987012987,10.0,14.0,525.2012987012987,1.4,536.4295574350649,26.91114306994544,37.67560029792361,574.1051577329886,1.3999999999999997
moneyline,0.075,Baku,2026-06-27,2,1,1,525.2012987012987,20.0,5.0,530.2012987012987,0.25,574.1051577329886,49.19516379263972,10.024765707941405,584.1299234409299,0.20377543106058832
