card,date,bets,wins,losses,profit_units,roi
Freedom 250,2026-06-14,6,4,2,-0.30809883838672325,-0.05134980639778721
Vegas 119,2026-06-20,7,6,1,2.787729129108439,0.39824701844406274
Baku,2026-06-27,5,2,3,-1.2647058823529411,-0.2529411764705882
UFC 329,2026-07-11,4,3,1,-0.030048916841369677,-0.007512229210342419
Oklahoma City,2026-07-18,8,5,3,0.43259718107550027,0.054074647634437534
Abu Dhabi,2026-07-25,4,3,1,-0.45305239129306957,-0.11326309782326739
Belgrade,2026-08-01,6,6,0,1.5246417311081744,0.2541069551846957
