market_type,threshold,card,date,fight_id,fighter,market_key,odds,market_fair_p,model_p,edge,won,prior_fight_floor,fighter_prior_fights,flat_stake,flat_pnl,kelly_full_fraction,quarter_kelly_stake,quarter_kelly_pnl,kelly_bankroll_basis
moneyline,0.02,Baku,2026-06-27,ae0a91c8f92f4758,Bekzat Almakhan,moneyline,140.0,0.3932584269662921,0.4524968862533569,0.0592384592870647,0,3.0,Bekzat Almakhan:3 | Jean Matsumoto:5,10.0,-10.0,0.061423233577183205,8.057892119767516,-8.057892119767516,524.7455498833111
moneyline,0.02,Baku,2026-06-27,d83294b031502177,Brunno Ferreira,moneyline,205.0,0.3089598352214212,0.3554200232028961,0.0464601879814749,0,5.0,Brunno Ferreira:9 | Ikram Aliskerov:5,10.0,-10.0,0.04099076622869907,5.377430541204238,-5.377430541204238,524.7455498833111
moneyline,0.02,UFC 329,2026-07-11,1b6a3b0d27654d3e,Cody Durden,moneyline,190.0,0.3309929789368104,0.3614765107631683,0.0304835318263578,0,7.0,Alessandro Costa:7 | Cody Durden:15,10.0,-10.0,0.02541151642799368,3.3483742130063066,-3.3483742130063066,527.0640534175585
moneyline,0.02,UFC 329,2026-07-11,7765e5e779dd7dc9,Nikita Krylov,moneyline,105.0,0.4675324675324675,0.5026230812072754,0.0350906136748078,0,21.0,Nikita Krylov:21 | Robert Whittaker:24,10.0,-10.0,0.028930777595156755,3.8120932269563013,-3.8120932269563013,527.0640534175585
moneyline,0.02,UFC 329,2026-07-11,930317fde9dbc55e,Luke Riley,moneyline,-225.0,0.6636481241914618,0.7090601921081543,0.0454120679166925,1,2.0,Luke Riley:2 | Kai Kamaka III:4,10.0,4.444444444444445,0.054445624351501465,7.174082865388023,3.1884812735057877,527.0640534175585
moneyline,0.02,UFC 329,2026-07-11,989760fa75321d69,Max Holloway,moneyline,-265.0,0.6957699520733487,0.7561987638473511,0.0604288117740023,1,14.0,Max Holloway:32 | Conor McGregor:14,10.0,3.7735849056603774,0.11012548804283145,14.510796528110404,5.4757722747586435,527.0640534175585
moneyline,0.02,UFC 329,2026-07-11,a26ea74f2e908842,King Green,moneyline,-112.0,0.5043297540699688,0.5279808044433594,0.0236510503733905,1,13.0,Terrance McKinney:13 | King Green:28,10.0,8.928571428571429,0.0,0.0,0.0,527.0640534175585
moneyline,0.02,UFC 329,2026-07-11,a3ab1979192b647c,Lone'er Kavanagh,moneyline,-218.0,0.6574752261956054,0.6849393844604492,0.0274641582648438,0,4.0,Brandon Royval:12 | Lone'er Kavanagh:4,10.0,-10.0,0.0,0.0,-0.0,527.0640534175585
moneyline,0.02,UFC 329,2026-07-11,c572daedf2012a49,Mario Bautista,moneyline,120.0,0.4365079365079364,0.4598616063594818,0.0233536698515453,1,14.0,Cory Sandhagen:16 | Mario Bautista:14,10.0,12.0,0.009746278325716656,1.284228240021979,1.5410738880263748,527.0640534175585
moneyline,0.02,UFC 329,2026-07-11,e84c3f1f9a33fa90,Tracy Cortez,moneyline,102.0,0.4739134147382802,0.4985700249671936,0.0246566102289134,0,5.0,Wang Cong:5 | Tracy Cortez:8,10.0,-10.0,0.006972010229148108,0.9186739929608707,-0.9186739929608707,527.0640534175585
moneyline,0.02,Oklahoma City,2026-07-18,410e6b9e01660b35,Stewart Nicoll,moneyline,675.0,0.1238223418573351,0.1748261749744415,0.0510038331171063,0,2.0,Stewart Nicoll:3 | Alden Coria:2,10.0,-10.0,0.05257820089658098,6.9559676801958075,-6.9559676801958075,529.1902394209259
