threshold,cards,bets,wins,losses,win_rate,flat_total_risk,flat_profit,flat_roi,flat_end_bankroll,flat_max_drawdown,kelly_total_risk,kelly_profit,kelly_roi_on_staked,kelly_end_bankroll,kelly_return_on_start_bankroll,kelly_max_drawdown
0.02,7,34,13,21,0.38235294117647056,340.0,45.904862579281186,0.13501430170376819,545.9048625792813,0.05425888254997629,133.1248297011855,54.57904002773023,0.4099839237371374,554.5790400277301,0.10915808005546013,0.03317880255118837
0.03,7,24,11,13,0.4583333333333333,240.0,78.40486257928119,0.3266869274136716,578.4048625792813,0.05124658491530228,133.1248297011855,54.57904002773023,0.4099839237371374,554.5790400277301,0.10915808005546013,0.03317880255118837
0.05,7,16,8,8,0.5,160.0,68.90486257928119,0.43065539112050744,568.9048625792813,0.0343294062573145,121.15627680561745,54.798853986013896,0.45229892689697715,554.7988539860138,0.10959770797202761,0.030043770414550412
0.075,7,7,5,2,0.7142857142857143,70.0,49.904862579281186,0.7129266082754455,549.9048625792813,0.018515401447567748,78.52415964681668,53.8660018483048,0.6859799848935854,553.8660018483049,0.10773200369660985,0.016507203876972097
0.1,7,4,3,1,0.75,40.0,30.090909090909093,0.7522727272727273,530.0909090909091,0.018515401447567748,58.64027944401357,36.24094036271593,0.6180212766093097,536.2409403627161,0.07248188072543216,0.031207534528913915
