market_type,threshold,cards,bets,wins,losses,win_rate,flat_total_risk,flat_profit,flat_roi,flat_end_bankroll,flat_max_drawdown,kelly_total_risk,kelly_profit,kelly_roi_on_staked,kelly_end_bankroll,kelly_return_on_start_bankroll,kelly_max_drawdown
moneyline,0.02,7,41,25,16,0.6097560975609756,410.0,-9.68872280327796,-0.023631031227507218,490.3112771967221,0.03713945355166243,452.31737391798407,44.99608181724018,0.09947900392921684,544.9960818172401,0.08999216363448026,0.005809439276242266
moneyline,0.03,7,35,22,13,0.6285714285714286,350.0,-21.617294231849385,-0.06176369780528396,478.38270576815063,0.043234588463698743,444.62670521771406,42.63949158289327,0.09589952893633458,542.6394915828934,0.08527898316578675,0.005809439276242148
moneyline,0.05,7,18,12,6,0.6666666666666666,180.0,8.327791895870075,0.04626551053261153,508.32779189587,0.012719353816914804,362.69273793725637,54.22775253255048,0.14951430470033716,554.2277525325504,0.10845550506510082,0.0
moneyline,0.075,7,7,6,1,0.8571428571428571,70.0,35.39961093758562,0.5057087276797946,535.3996109375856,0.0,212.6771284973638,101.9139111633086,0.4791954446788191,601.9139111633086,0.20382782232661723,0.0
moneyline,0.1,7,4,3,1,0.75,40.0,27.92857142857143,0.6982142857142858,527.9285714285714,0.0,106.47114239135064,75.12405824650801,0.7055814050569522,575.124058246508,0.15024811649301584,0.0
method,0.02,7,60,18,42,0.3,600.0,26.4048625792812,0.044008104298802,526.4048625792813,0.1887795993900929,156.24165855648977,23.501079613498124,0.15041493946380005,523.5010796134982,0.047002159226996465,0.10990125851158479
method,0.03,7,41,15,26,0.36585365853658536,410.0,88.9048625792812,0.21684112824214927,588.9048625792813,0.09594647444375386,153.55443182208518,26.315957912044965,0.1713786935341324,526.3159579120451,0.052631915824090214,0.10511517548606465
method,0.05,7,25,11,14,0.44,250.0,68.40486257928119,0.27361945031712476,568.4048625792813,0.051643568392243634,123.08410872864116,24.562821727455336,0.19956127546577157,524.5628217274553,0.04912564345491077,0.07259151107250462
method,0.075,7,8,4,4,0.5,80.0,5.904862579281186,0.07381078224101482,505.90486257928126,0.06329683750680129,57.72844522456801,37.152774582161484,0.6435782990107283,537.1527745821617,0.07430554916432341,0.029560181529420637
method,0.1,7,5,3,2,0.6,50.0,20.090909090909093,0.40181818181818185,520.0909090909091,0.037030802895135495,41.36644809350932,53.51477171322018,1.2936757729899708,553.5147717132203,0.10702954342644055,0.0
