fold,feature,gain,mean_abs_shap,shap_rank
2020,self_hist_career_body_landed_per15_mean,1.993208408355713,0.00031577475601807237,910.0
2020,opp_hist_career_body_landed_per15_mean,2.106522798538208,0.00025029730750247836,965.0
2020,diff_hist_career_body_landed_per15_mean,5.71496057510376,0.0007264105952344835,692.0
2020,self_hist_career_body_attempted_per15_mean,0.0,0.0,1016.0
2020,opp_hist_career_body_attempted_per15_mean,4.420758247375488,0.0012347878655418754,511.0
2020,diff_hist_career_body_attempted_per15_mean,4.03571891784668,0.0019638887606561184,323.0
2020,self_hist_career_leg_landed_per15_mean,6.103935718536377,0.0009980953764170408,593.0
2020,opp_hist_career_leg_landed_per15_mean,3.806931257247925,0.0015965281054377556,407.0
2020,diff_hist_career_leg_landed_per15_mean,2.639075994491577,0.00046402233419939876,833.0
2020,self_hist_career_leg_attempted_per15_mean,0.0,0.0,1016.0
2020,opp_hist_career_leg_attempted_per15_mean,0.0,0.0,1016.0
2020,diff_hist_career_leg_attempted_per15_mean,5.434162139892578,0.005915339570492506,90.0
2020,self_hist_career_distance_landed_per15_mean,4.327245712280273,0.003482498461380601,177.0
2020,opp_hist_career_distance_landed_per15_mean,4.655615329742432,0.0016157268546521664,404.0
2020,diff_hist_career_distance_landed_per15_mean,4.077823638916016,0.00038565380964428186,873.0
2020,self_hist_career_distance_attempted_per15_mean,0.1746826171875,0.00018991934484802186,999.0
2020,opp_hist_career_distance_attempted_per15_mean,0.0,0.0,1016.0
2020,diff_hist_career_distance_attempted_per15_mean,0.0,0.0,1016.0
2020,self_hist_career_clinch_landed_per15_mean,3.0610976219177246,0.0005269577377475798,804.0
2020,opp_hist_career_clinch_landed_per15_mean,2.394636631011963,0.0002168323117075488,987.0
2020,diff_hist_career_clinch_landed_per15_mean,0.0,0.0,1016.0
2020,self_hist_career_clinch_attempted_per15_mean,3.4076242446899414,0.0003465313056949526,892.0
2020,opp_hist_career_clinch_attempted_per15_mean,0.0,0.0,1016.0
2020,diff_hist_career_clinch_attempted_per15_mean,0.0,0.0,1016.0
2020,self_hist_career_ground_landed_per15_mean,5.9780497550964355,0.0019189161248505116,331.0
2020,opp_hist_career_ground_landed_per15_mean,5.728487968444824,0.00204940652474761,310.0
2020,diff_hist_career_ground_landed_per15_mean,4.67337703704834,0.00038975090137682855,872.0
2020,self_hist_career_ground_attempted_per15_mean,4.090353012084961,0.004578787367790937,126.0
2020,opp_hist_career_ground_attempted_per15_mean,8.006963729858398,0.009754459373652935,37.0
2020,diff_hist_career_ground_attempted_per15_mean,7.179944038391113,0.0013710177736356854,474.0
2020,self_hist_career_sig_acc_mean,1.4416494369506836,0.00027026800671592355,944.0
2020,opp_hist_career_sig_acc_mean,3.2873902320861816,0.0015542106702923775,418.0
2020,diff_hist_career_sig_acc_mean,0.0,0.0,1016.0
2020,self_hist_career_total_acc_mean,0.9945306777954102,0.00022122990048956126,986.0
2020,opp_hist_career_total_acc_mean,2.689939022064209,0.00044720369623973966,844.0
2020,diff_hist_career_total_acc_mean,0.0,0.0,1016.0
2020,self_hist_career_td_acc_mean,4.001862049102783,0.007632640190422535,62.0
2020,opp_hist_career_td_acc_mean,4.579590320587158,0.006427510175853968,76.0
2020,diff_hist_career_td_acc_mean,3.7075998783111572,0.0015558942686766386,417.0
2020,self_hist_career_head_acc_mean,4.319584846496582,0.0020989300683140755,302.0
2020,opp_hist_career_head_acc_mean,6.718329429626465,0.0018084010807797313,354.0
2020,diff_hist_career_head_acc_mean,6.15643310546875,0.008991768583655357,46.0
2020,self_hist_career_body_acc_mean,3.9306674003601074,0.0038161752745509148,162.0
2020,opp_hist_career_body_acc_mean,0.0,0.0,1016.0
2020,diff_hist_career_body_acc_mean,0.0,0.0,1016.0
2020,self_hist_career_leg_acc_mean,0.0,0.0,1016.0
2020,opp_hist_career_leg_acc_mean,4.96530294418335,0.0018630027770996094,341.0
2020,diff_hist_career_leg_acc_mean,3.6701571941375732,0.0009602786740288138,605.0
2020,self_hist_career_distance_acc_mean,0.0,0.0,1016.0
2020,opp_hist_career_distance_acc_mean,5.84128999710083,0.00267809652723372,231.0
2020,diff_hist_career_distance_acc_mean,4.10347843170166,0.0010056464234367013,592.0
2020,self_hist_career_clinch_acc_mean,3.9813218116760254,0.0012385566951707006,508.0
2020,opp_hist_career_clinch_acc_mean,5.316557884216309,0.0028543397784233093,214.0
2020,diff_hist_career_clinch_acc_mean,3.2676072120666504,0.002262742491438985,282.0
2020,self_hist_career_ground_acc_mean,5.504117012023926,0.000627102970611304,747.0
2020,opp_hist_career_ground_acc_mean,0.0,0.0,1016.0
2020,diff_hist_career_ground_acc_mean,0.0,0.0,1016.0
2020,self_hist_career_head_attempt_share_mean,4.483422756195068,0.000785905634984374,669.0
2020,opp_hist_career_head_attempt_share_mean,5.982806205749512,0.0017357409233227372,373.0
2020,diff_hist_career_head_attempt_share_mean,0.0,0.0,1016.0
2020,self_hist_career_body_attempt_share_mean,6.383638381958008,0.000773545412812382,676.0
2020,opp_hist_career_body_attempt_share_mean,5.191885948181152,0.0015198324108496308,427.0
2020,diff_hist_career_body_attempt_share_mean,4.462028503417969,0.00382785452529788,161.0
2020,self_hist_career_leg_attempt_share_mean,6.975709438323975,0.003150970907881856,193.0
2020,opp_hist_career_leg_attempt_share_mean,5.048775672912598,0.0014306167140603065,457.0
2020,diff_hist_career_leg_attempt_share_mean,3.056973457336426,0.0002637954894453287,948.0
2020,self_hist_career_distance_attempt_share_mean,3.6513442993164062,0.0012499644653871655,505.0
2020,opp_hist_career_distance_attempt_share_mean,4.810862064361572,0.0006102113984525204,755.0
2020,diff_hist_career_distance_attempt_share_mean,4.692024230957031,0.0004380693717394024,851.0
2020,self_hist_career_clinch_attempt_share_mean,4.5157575607299805,0.002388086635619402,267.0
2020,opp_hist_career_clinch_attempt_share_mean,4.771730899810791,0.0018003417644649744,357.0
2020,diff_hist_career_clinch_attempt_share_mean,0.0,0.0,1016.0
2020,self_hist_career_ground_attempt_share_mean,3.853729724884033,0.0023165291640907526,275.0
2020,opp_hist_career_ground_attempt_share_mean,2.9574170112609863,0.0009429226047359407,610.0
2020,diff_hist_career_ground_attempt_share_mean,4.371092796325684,0.0004558024520520121,840.0
2020,self_hist_career_kd_per100_sig_landed_mean,3.609530448913574,0.004077132325619459,148.0
2020,opp_hist_career_kd_per100_sig_landed_mean,4.769261360168457,0.002720039105042815,224.0
2020,diff_hist_career_kd_per100_sig_landed_mean,0.0,0.0,1016.0
2020,self_hist_career_control_share_mean,4.686390399932861,0.0014476603828370571,453.0
2020,opp_hist_career_control_share_mean,0.0,0.0,1016.0
2020,diff_hist_career_control_share_mean,3.6069324016571045,0.0008475372451357543,636.0
2020,self_hist_career_ground_attempts_per_control_min_mean,4.173852920532227,0.0004621218831744045,834.0
2020,opp_hist_career_ground_attempts_per_control_min_mean,3.461904525756836,0.0006892942474223673,720.0
2020,diff_hist_career_ground_attempts_per_control_min_mean,3.7194623947143555,0.0011073043569922447,554.0
2020,self_hist_career_sub_attempts_per_control_min_mean,5.7595930099487305,0.002388689899817109,266.0
2020,opp_hist_career_sub_attempts_per_control_min_mean,0.0,0.0,1016.0
2020,diff_hist_career_sub_attempts_per_control_min_mean,4.401819705963135,0.007923186756670475,60.0
2020,self_hist_career_r1_sig_str_attempted_mean,0.0,0.0,1016.0
2020,opp_hist_career_r1_sig_str_attempted_mean,0.0,0.0,1016.0
2020,diff_hist_career_r1_sig_str_attempted_mean,3.335428237915039,0.001949006924405694,326.0
2020,self_hist_career_r2_sig_str_attempted_mean,0.0,0.0,1016.0
2020,opp_hist_career_r2_sig_str_attempted_mean,0.0,0.0,1016.0
2020,diff_hist_career_r2_sig_str_attempted_mean,0.0,0.0,1016.0
2020,self_hist_career_r3_sig_str_attempted_mean,0.0,0.0,1016.0
2020,opp_hist_career_r3_sig_str_attempted_mean,0.0,0.0,1016.0
2020,diff_hist_career_r3_sig_str_attempted_mean,0.0,0.0,1016.0
2020,self_hist_career_r2_minus_r1_sig_str_attempted_mean,4.164740562438965,0.000794533989392221,664.0
2020,opp_hist_career_r2_minus_r1_sig_str_attempted_mean,3.812013626098633,0.0007050230051390827,706.0
2020,diff_hist_career_r2_minus_r1_sig_str_attempted_mean,4.195141315460205,0.0017637962009757757,366.0
2020,self_hist_career_r3_minus_r1_sig_str_attempted_mean,3.181788444519043,0.00025343397282995284,959.0
2020,opp_hist_career_r3_minus_r1_sig_str_attempted_mean,3.7274246215820312,0.0010216380469501019,586.0
2020,diff_hist_career_r3_minus_r1_sig_str_attempted_mean,3.756941318511963,0.0002880725369323045,929.0
2020,self_hist_career_r1_sig_str_landed_mean,3.4568519592285156,0.0007755177794024348,674.0
2020,opp_hist_career_r1_sig_str_landed_mean,5.291316032409668,0.0010926639661192894,562.0
2020,diff_hist_career_r1_sig_str_landed_mean,6.665404796600342,0.004796950146555901,118.0
2020,self_hist_career_r2_sig_str_landed_mean,3.9665729999542236,0.0005245312349870801,805.0
2020,opp_hist_career_r2_sig_str_landed_mean,3.450375556945801,0.000583991059102118,775.0
2020,diff_hist_career_r2_sig_str_landed_mean,0.0,0.0,1016.0
2020,self_hist_career_r3_sig_str_landed_mean,0.0,0.0,1016.0
2020,opp_hist_career_r3_sig_str_landed_mean,2.79272198677063,0.000658507167827338,730.0
2020,diff_hist_career_r3_sig_str_landed_mean,3.761312246322632,0.0007089353166520596,703.0
2020,self_hist_career_r2_minus_r1_sig_str_landed_mean,4.473326683044434,0.005020358134061098,111.0
2020,opp_hist_career_r2_minus_r1_sig_str_landed_mean,4.166250705718994,0.008118079043924809,54.0
2020,diff_hist_career_r2_minus_r1_sig_str_landed_mean,0.0,0.0,1016.0
2020,self_hist_career_r3_minus_r1_sig_str_landed_mean,12.441503524780273,0.0013616696232929826,478.0
2020,opp_hist_career_r3_minus_r1_sig_str_landed_mean,0.0,0.0,1016.0
2020,diff_hist_career_r3_minus_r1_sig_str_landed_mean,3.7685210704803467,0.000431921798735857,852.0
2020,self_hist_career_r1_td_attempted_mean,4.378424644470215,0.006136020179837942,86.0
2020,opp_hist_career_r1_td_attempted_mean,5.297269344329834,0.004218780901283026,140.0
2020,diff_hist_career_r1_td_attempted_mean,3.3032264709472656,0.00027752883033826947,940.0
2020,self_hist_career_r2_td_attempted_mean,6.512105464935303,0.002269873395562172,279.0
2020,opp_hist_career_r2_td_attempted_mean,6.262844085693359,0.0030214597936719656,203.0
2020,diff_hist_career_r2_td_attempted_mean,4.138242244720459,0.0036782766692340374,168.0
2020,self_hist_career_r3_td_attempted_mean,0.0,0.0,1016.0
2020,opp_hist_career_r3_td_attempted_mean,5.179245948791504,0.001776195364072919,365.0
2020,diff_hist_career_r3_td_attempted_mean,6.421658515930176,0.0017311039846390486,374.0
2020,self_hist_career_r2_minus_r1_td_attempted_mean,3.4204225540161133,0.0006999092875048518,712.0
2020,opp_hist_career_r2_minus_r1_td_attempted_mean,3.6857666969299316,0.0023427654523402452,271.0
2020,diff_hist_career_r2_minus_r1_td_attempted_mean,5.105342864990234,0.0005713437567465007,782.0
2020,self_hist_career_r3_minus_r1_td_attempted_mean,5.190350532531738,0.0057682148180902,95.0
2020,opp_hist_career_r3_minus_r1_td_attempted_mean,5.672401428222656,0.006905945483595133,71.0
2020,diff_hist_career_r3_minus_r1_td_attempted_mean,0.0,0.0,1016.0
2020,self_hist_career_r1_ctrl_sec_mean,0.0,0.0,1016.0
2020,opp_hist_career_r1_ctrl_sec_mean,5.367936611175537,0.002680503763258457,229.0
2020,diff_hist_career_r1_ctrl_sec_mean,0.0,0.0,1016.0
2020,self_hist_career_r2_ctrl_sec_mean,4.596109390258789,0.002427091356366873,258.0
2020,opp_hist_career_r2_ctrl_sec_mean,4.4414520263671875,0.003275425871834159,185.0
2020,diff_hist_career_r2_ctrl_sec_mean,3.611980438232422,0.00046999866026453674,829.0
